model,candidate,mean_cv_accuracy,std_cv_accuracy,elapsed_seconds,params
Logistic Regression,lr_C0.01,0.7894858272985571,0.00606114651108002,0.023237832996528596,"{""C"": 0.01, ""max_iter"": 1000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs""}"
Logistic Regression,lr_C0.1,0.7899452397508858,0.0068441060307379955,0.022459458967205137,"{""C"": 0.1, ""max_iter"": 1000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs""}"
Logistic Regression,lr_C1.0,0.7883348543851914,0.007916621138428196,0.029793124995194376,"{""C"": 1.0, ""max_iter"": 1000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs""}"
Logistic Regression,lr_C3.0,0.7883349337927537,0.007449399856414936,0.03797270799987018,"{""C"": 3.0, ""max_iter"": 1000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs""}"
Logistic Regression,lr_C10.0,0.7879898285265156,0.007449423417163328,0.04249424999579787,"{""C"": 10.0, ""max_iter"": 1000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs""}"
Random Forest,rf_report_best,0.8093869505899942,0.006642862277492087,0.5895329579943791,"{""max_depth"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 200, ""n_jobs"": -1, ""random_state"": 42}"
Random Forest,rf_baseline_400,0.8055910308840626,0.00611294844506681,1.1843471250031143,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 42}"
Random Forest,rf_depth16_300,0.8082371290862834,0.004987955450126048,0.8284310839953832,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 42}"
Random Forest,rf_depth20_log2,0.8040954688536145,0.005112303463655925,0.7679761670297012,"{""max_depth"": 20, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 24}"
Random Forest,rf_regularized,0.8059362155578631,0.0034549835066790503,0.5748850830132142,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 12, ""n_estimators"": 200, ""n_jobs"": -1, ""random_state"": 7}"
CatBoost,cat_report_best,0.8143344784697909,0.008320212624497027,13.91114583297167,"{""depth"": 6, ""iterations"": 800, ""l2_leaf_reg"": 1, ""learning_rate"": 0.05}"
CatBoost,cat_baseline_500,0.8143339623206352,0.0040663395183461746,8.684655708959326,"{""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.05}"
CatBoost,cat_depth5,0.8139884997203662,0.0016646181786632126,11.063913624966517,"{""depth"": 5, ""iterations"": 800, ""l2_leaf_reg"": 1, ""learning_rate"": 0.05}"
CatBoost,cat_lr0.03_l2_5,0.8155991630125291,0.005524463940244383,14.01166399999056,"{""depth"": 6, ""iterations"": 800, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}"
CatBoost,cat_depth7,0.8105381617260473,0.010035266036593117,13.051354208029807,"{""depth"": 7, ""iterations"": 600, ""l2_leaf_reg"": 3, ""learning_rate"": 0.04}"
