feature,gain,weight,cover,view
IsZeroSpend,206.7045867919922,36.8,531.835107421875,compact_highscore
CryoSleep,28.990423583984374,114.6,388.0175048828125,compact_highscore
SpendCount,17.963208961486817,160.6,211.0044403076172,compact_highscore
Deck,11.25410327911377,273.4,209.91009521484375,compact_highscore
DeckSide,8.974697017669678,738.8,323.2199768066406,compact_highscore
Side,8.075495719909668,85.6,126.47402496337891,compact_highscore
log1p_VRDeck,8.008145427703857,258.4,247.32147216796875,compact_highscore
Spa,6.97196102142334,691.0,240.84273986816407,compact_highscore
VRDeck,6.358780193328857,687.0,241.07480163574218,compact_highscore
log1p_Spa,6.324562931060791,280.6,236.64329223632814,compact_highscore
RoomService,5.79860897064209,664.6,247.30407104492187,compact_highscore
log1p_RoomService,5.5872523307800295,255.6,261.8699249267578,compact_highscore
TotalSpend,5.523315811157227,1030.2,199.05355529785157,compact_highscore
CabinNumBin,5.167662620544434,442.0,226.9941436767578,compact_highscore
log1p_TotalSpend,4.133313179016113,405.6,198.887451171875,compact_highscore
CryoSleepSpendAnomaly,0.0,0.0,0.0,compact_highscore
