feature,gain,weight,cover,view
IsZeroSpend,277.96901245117186,26.6,794.7725830078125,compact_plus_group
SpendCount,25.633656692504882,116.2,220.724853515625,compact_plus_group
CryoSleep,20.995461654663085,103.6,359.6420043945312,compact_plus_group
Deck,17.5498987197876,209.0,206.78980102539063,compact_plus_group
log1p_VRDeck,10.408476734161377,211.4,253.47203674316407,compact_plus_group
DeckSide,9.413869667053223,606.6,316.9912902832031,compact_plus_group
Spa,8.919553661346436,535.6,255.24334106445312,compact_plus_group
Side,8.806481838226318,72.8,138.74412231445314,compact_plus_group
TotalSpend,8.110792255401611,633.4,206.30231323242188,compact_plus_group
log1p_TotalSpend,7.903947257995606,284.2,207.08049926757812,compact_plus_group
VRDeck,7.853220081329345,517.8,248.49168090820314,compact_plus_group
RoomService,7.357526588439941,478.4,272.97096557617186,compact_plus_group
log1p_RoomService,7.168964385986328,183.6,290.9497131347656,compact_plus_group
log1p_Spa,6.89472074508667,206.4,253.90306701660157,compact_plus_group
CabinNumBin,6.0246500968933105,349.8,232.9709045410156,compact_plus_group
SpendPerGroupMember,5.017951774597168,428.2,180.5835968017578,compact_plus_group
IsMultiPassengerGroup,3.747236967086792,8.2,150.8883270263672,compact_plus_group
GroupSize,3.490139198303223,195.2,211.5689727783203,compact_plus_group
IsSolo,3.4855939388275146,23.6,160.7475814819336,compact_plus_group
CryoSleepSpendAnomaly,0.0,0.0,0.0,compact_plus_group
