feature,gain,weight,cover,view
IsZeroSpend,291.77305908203124,22.0,835.6679931640625,compact_plus_group_age
SpendCount,47.5077465057373,86.2,263.3374267578125,compact_plus_group_age
CryoSleep,24.567788314819335,91.6,402.24168090820314,compact_plus_group_age
Deck,21.82721538543701,196.6,222.93912658691406,compact_plus_group_age
log1p_Spa,10.95815200805664,157.2,268.31089477539064,compact_plus_group_age
log1p_VRDeck,10.710660934448242,181.8,270.8197052001953,compact_plus_group_age
Side,9.508124923706054,65.4,130.7093963623047,compact_plus_group_age
TotalSpend,9.258735179901123,518.4,221.83496704101563,compact_plus_group_age
DeckSide,9.113179111480713,560.0,303.919189453125,compact_plus_group_age
VRDeck,9.060250377655029,442.2,242.06565856933594,compact_plus_group_age
Spa,8.983876991271973,474.0,251.40807495117187,compact_plus_group_age
RoomService,8.28322343826294,394.6,284.1720336914062,compact_plus_group_age
log1p_RoomService,7.704147243499756,159.2,276.39240112304685,compact_plus_group_age
SpendPerGroupMember,6.678062438964844,318.4,183.45073547363282,compact_plus_group_age
CabinNumBin,6.379283046722412,307.6,245.4290802001953,compact_plus_group_age
IsChild,6.019290256500244,28.4,103.9836654663086,compact_plus_group_age
log1p_TotalSpend,5.873165035247803,210.6,197.5309326171875,compact_plus_group_age
AgeGroup,4.229692077636718,236.4,173.95650329589844,compact_plus_group_age
GroupSize,3.545085000991821,161.0,200.55502014160157,compact_plus_group_age
IsSolo,2.755569505691528,19.8,134.64969787597656,compact_plus_group_age
IsMultiPassengerGroup,2.5967841386795043,6.0,167.98294830322266,compact_plus_group_age
IsSenior,2.363246536254883,6.2,235.35379333496093,compact_plus_group_age
CryoSleepSpendAnomaly,0.0,0.0,0.0,compact_plus_group_age
