feature,gain,weight,cover,view
IsZeroSpend,272.46319274902345,21.4,646.78525390625,compact_spend_luxury
CryoSleep,27.25425148010254,109.0,398.0951782226563,compact_spend_luxury
SpendCount,13.706970691680908,119.6,190.55223083496094,compact_spend_luxury
Deck,12.362701416015625,257.6,219.5246795654297,compact_spend_luxury
LuxuryShare,12.001443672180176,508.8,260.34153747558594,compact_spend_luxury
log1p_RoomService,11.667005348205567,221.0,246.26536254882814,compact_spend_luxury
Side,8.80383996963501,92.2,153.11294250488282,compact_spend_luxury
TotalSpend,8.717836380004883,573.4,168.37648315429686,compact_spend_luxury
DeckSide,8.663371372222901,645.4,332.84645385742186,compact_spend_luxury
RoomService,8.414814376831055,551.6,258.6839294433594,compact_spend_luxury
log1p_LuxurySpend,7.219015789031983,175.8,238.36172485351562,compact_spend_luxury
BasicSpend,6.312351989746094,507.6,213.37072143554687,compact_spend_luxury
LuxurySpend,5.506534290313721,385.2,208.97342834472656,compact_spend_luxury
CabinNumBin,5.478785228729248,388.2,239.66649780273437,compact_spend_luxury
log1p_BasicSpend,5.436313343048096,196.8,207.66876525878905,compact_spend_luxury
log1p_TotalSpend,4.3353358745574955,239.4,164.42833251953124,compact_spend_luxury
log1p_Spa,3.28171067237854,155.0,232.10523681640626,compact_spend_luxury
Spa,3.2671721458435057,379.0,217.14310302734376,compact_spend_luxury
VRDeck,3.2639190196990966,337.2,205.73733215332032,compact_spend_luxury
log1p_VRDeck,3.104347515106201,132.6,199.64998779296874,compact_spend_luxury
CryoSleepSpendAnomaly,0.0,0.0,0.0,compact_spend_luxury
