feature,gain,weight,cover,view
IsZeroSpend,584.1240478515625,10.6,989.8352416992187,drop_age
SpendCount,57.62510604858399,31.4,285.2403259277344,drop_age
CryoSleep,52.04619216918945,63.6,515.3970458984375,drop_age
LuxuryShare,27.542979049682618,183.8,316.3383422851563,drop_age
RoomService,21.2015811920166,204.4,319.6176818847656,drop_age
Deck,20.028423690795897,120.2,188.71599731445312,drop_age
log1p_RoomService,17.95833511352539,81.6,294.07195434570315,drop_age
HomePlanet,16.093825149536134,64.0,227.47830200195312,drop_age
log1p_TotalSpend,15.464181327819825,53.6,158.22794189453126,drop_age
LuxuryMinusBasic,12.890135574340821,176.4,279.41395874023436,drop_age
Side,11.834213638305664,62.8,109.52967376708985,drop_age
DeckSide,10.720898628234863,419.0,280.2405029296875,drop_age
log1p_BasicSpend,9.919766616821288,28.0,151.07136077880858,drop_age
TotalSpend,9.89891014099121,151.6,146.70497131347656,drop_age
CabinNumBin,9.100161743164062,140.0,234.64605407714845,drop_age
HomePlanetDestination,8.743851852416991,234.0,256.0853302001953,drop_age
log1p_LuxurySpend,8.674419689178468,62.0,241.0356475830078,drop_age
LuxurySpend,7.759720039367676,163.0,241.4023010253906,drop_age
log1p_SpendPerActiveCategory,7.520988845825196,61.6,177.29987487792968,drop_age
FoodCourt,7.080520915985107,120.4,202.1912841796875,drop_age
log1p_FoodCourt,6.753640842437744,52.4,217.71082153320313,drop_age
SpendPerActiveCategory,6.593154430389404,141.2,151.64241638183594,drop_age
log1p_ShoppingMall,6.276554107666016,51.6,205.57667236328126,drop_age
SpendPerGroupMember,5.719294166564941,140.8,146.6354217529297,drop_age
Destination,5.717936038970947,40.6,163.46676330566407,drop_age
CabinNum,5.615158653259277,392.4,206.96010131835936,drop_age
DestinationMissing,5.509838485717774,2.0,290.4849456787109,drop_age
ShoppingMall,5.449260425567627,132.8,203.7123260498047,drop_age
log1p_Spa,5.2702381134033205,41.0,194.72987060546876,drop_age
BasicSpend,5.252229022979736,89.6,127.18212280273437,drop_age
Spa,5.005826187133789,124.2,220.46959533691407,drop_age
FoodCourtMissing,4.931976175308227,9.4,359.3507537841797,drop_age
VRDeckMissing,4.458637046813965,16.8,390.8669738769531,drop_age
VIPMissing,4.391836833953858,7.4,267.46514282226565,drop_age
RoomServiceMissing,4.287044095993042,10.8,404.2443359375,drop_age
GroupSize,4.2780273914337155,77.2,221.5917205810547,drop_age
VRDeck,4.227932977676391,105.8,227.1928253173828,drop_age
log1p_VRDeck,4.207577228546143,35.6,190.50396423339845,drop_age
ShoppingMallMissing,4.128125190734863,10.2,454.47789306640624,drop_age
GroupMemberIsLeader,3.95702223777771,8.6,182.52616271972656,drop_age
CryoSleepMissing,3.8840123653411864,13.8,415.21385498046874,drop_age
HomePlanetMissing,3.848169279098511,5.6,282.5874755859375,drop_age
VIP,3.774275875091553,14.6,306.40358276367186,drop_age
SurnameFreq,3.7324406147003173,129.2,157.28338470458985,drop_age
IsSolo,3.659970188140869,7.0,69.18545150756836,drop_age
MissingCount,3.623215341567993,22.0,96.70657043457031,drop_age
SpaMissing,3.5826314449310304,8.0,437.450927734375,drop_age
GroupMemberNo,3.568131446838379,47.6,286.25641479492185,drop_age
AgeMissing,3.397832489013672,7.0,458.5380126953125,drop_age
IsMultiPassengerGroup,3.3670276641845702,1.8,49.33213481903076,drop_age
NameMissing,3.056852388381958,5.2,194.42050018310547,drop_age
HasAnyLuxurySpend,2.5380080223083494,0.6,11.10614891052246,drop_age
CryoSleepSpendAnomaly,0.0,0.0,0.0,drop_age
CabinMissing,0.0,0.0,0.0,drop_age
