feature,gain,weight,cover,view
IsZeroSpend,542.7841369628907,8.6,1003.5731323242187,drop_broad_categorical
SpendCount,152.83726272583007,30.4,438.63959350585935,drop_broad_categorical
CryoSleep,35.009789276123044,78.2,447.39378051757814,drop_broad_categorical
log1p_RoomService,34.3309268951416,70.2,334.8198974609375,drop_broad_categorical
LuxuryShare,29.343212127685547,157.6,340.930859375,drop_broad_categorical
Deck,24.9178035736084,139.0,237.32137145996094,drop_broad_categorical
RoomService,17.289813423156737,186.2,318.99244384765626,drop_broad_categorical
LuxuryMinusBasic,16.35650768280029,155.2,319.3840393066406,drop_broad_categorical
log1p_TotalSpend,15.321726512908935,46.8,151.72879791259766,drop_broad_categorical
DeckSide,11.690467071533202,378.4,304.4290344238281,drop_broad_categorical
TotalSpend,11.684633445739745,122.0,158.71275024414064,drop_broad_categorical
Side,11.52431869506836,58.8,123.92228851318359,drop_broad_categorical
log1p_SpendPerActiveCategory,10.647844123840333,50.2,165.6586898803711,drop_broad_categorical
LuxurySpend,10.186356544494629,136.2,259.86261596679685,drop_broad_categorical
log1p_LuxurySpend,10.179737854003907,51.6,262.44333801269534,drop_broad_categorical
BasicSpend,9.611229038238525,67.6,165.77235107421876,drop_broad_categorical
log1p_FoodCourt,9.459046363830566,44.4,173.0004135131836,drop_broad_categorical
CabinNumBin,9.204482746124267,137.6,240.0308380126953,drop_broad_categorical
SpendPerGroupMember,8.944140625,91.8,154.87080841064454,drop_broad_categorical
FoodCourt,8.46678352355957,118.2,215.64415893554687,drop_broad_categorical
SpendPerActiveCategory,7.760211372375489,122.2,165.08489990234375,drop_broad_categorical
log1p_ShoppingMall,7.687822246551514,51.6,181.96846618652344,drop_broad_categorical
IsChild,7.449159336090088,5.2,75.45110511779785,drop_broad_categorical
ShoppingMall,6.998269557952881,107.4,218.87200927734375,drop_broad_categorical
AgeGroup,5.846402263641357,99.4,167.4620361328125,drop_broad_categorical
CabinNum,5.766370487213135,351.0,202.09019470214844,drop_broad_categorical
SpendPerAge,5.676446628570557,102.2,139.635693359375,drop_broad_categorical
VIPMissing,5.3232666015625,8.2,269.9448577880859,drop_broad_categorical
log1p_BasicSpend,5.173983526229859,25.0,149.1829360961914,drop_broad_categorical
log1p_Spa,5.118710327148437,39.0,238.44630432128906,drop_broad_categorical
Spa,5.0041172981262205,89.0,229.58331909179688,drop_broad_categorical
Age,4.982082176208496,235.8,220.6717987060547,drop_broad_categorical
VRDeck,4.557467365264893,72.2,206.259326171875,drop_broad_categorical
log1p_VRDeck,4.4096917629241945,36.2,192.58008422851563,drop_broad_categorical
GroupSize,4.4083717346191404,81.8,187.6304168701172,drop_broad_categorical
FoodCourtMissing,4.3436003684997555,10.0,364.1783905029297,drop_broad_categorical
VRDeckMissing,4.333012437820434,15.0,438.0950500488281,drop_broad_categorical
DestinationMissing,4.291223096847534,8.2,401.03961181640625,drop_broad_categorical
RoomServiceMissing,4.28105936050415,9.6,386.27923278808595,drop_broad_categorical
HomePlanetMissing,4.156897163391113,7.6,361.09446716308594,drop_broad_categorical
SurnameFreq,3.834718656539917,106.6,146.70313415527343,drop_broad_categorical
GroupMemberNo,3.615742301940918,42.8,187.89803161621094,drop_broad_categorical
GroupMemberIsLeader,3.563289260864258,5.8,155.7425895690918,drop_broad_categorical
MissingCount,3.358489751815796,18.6,71.95588264465331,drop_broad_categorical
CryoSleepMissing,3.335331344604492,15.4,350.44615478515624,drop_broad_categorical
ShoppingMallMissing,3.279258680343628,9.2,372.7583923339844,drop_broad_categorical
AgeMissing,3.1725730895996094,4.8,435.2984588623047,drop_broad_categorical
IsSolo,2.869585371017456,5.0,70.37465343475341,drop_broad_categorical
SpaMissing,2.5880462646484377,5.6,367.96226806640624,drop_broad_categorical
IsMultiPassengerGroup,2.393583965301514,3.0,22.147615814208983,drop_broad_categorical
NameMissing,2.3208264827728273,3.4,133.17495727539062,drop_broad_categorical
HasAnyLuxurySpend,2.0834210395812987,1.0,29.203438758850098,drop_broad_categorical
IsSenior,1.0473875522613525,1.2,208.28807983398437,drop_broad_categorical
CabinMissing,0.9491225719451905,0.4,83.4973358154297,drop_broad_categorical
CryoSleepSpendAnomaly,0.0,0.0,0.0,drop_broad_categorical
AgeWasOutOfRange,0.0,0.0,0.0,drop_broad_categorical
