feature,gain,weight,cover,view
IsZeroSpend,406.78330688476564,8.6,1106.50576171875,drop_cabin
SpendCount,319.474267578125,14.0,586.0940490722656,drop_cabin
TotalSpend,67.83016777038574,38.0,261.5525177001953,drop_cabin
LuxuryShare,53.387369537353514,77.6,449.4119018554687,drop_cabin
CryoSleep,36.70957565307617,55.2,456.21062622070315,drop_cabin
RoomService,34.6702693939209,105.2,368.4673156738281,drop_cabin
HomePlanet,32.39233665466308,76.6,350.7580078125,drop_cabin
log1p_RoomService,27.91640625,44.6,343.155078125,drop_cabin
LuxuryMinusBasic,22.807048034667968,98.2,362.8588073730469,drop_cabin
log1p_TotalSpend,19.050870418548584,17.0,222.10176696777344,drop_cabin
HomePlanetDestination,15.533345413208007,147.0,313.159619140625,drop_cabin
BasicSpend,14.667093849182129,30.6,184.63533782958984,drop_cabin
SpendPerGroupMember,14.46428461074829,47.8,154.7452880859375,drop_cabin
log1p_FoodCourt,13.989657211303712,29.2,198.28734130859374,drop_cabin
log1p_ShoppingMall,12.873345375061035,20.2,279.3380828857422,drop_cabin
LuxurySpend,12.866168975830078,83.8,306.10337524414064,drop_cabin
FoodCourt,12.714411544799805,73.0,225.03916931152344,drop_cabin
log1p_LuxurySpend,12.068795776367187,28.0,327.29375,drop_cabin
SpendPerActiveCategory,11.92152442932129,72.2,226.51800842285155,drop_cabin
ShoppingMall,9.429442119598388,54.4,231.24309387207032,drop_cabin
log1p_BasicSpend,8.734669876098632,10.0,161.37471084594728,drop_cabin
IsChild,8.491827774047852,6.0,75.20473937988281,drop_cabin
Destination,8.277840709686279,28.0,231.78171081542968,drop_cabin
SpendPerAge,8.044259357452393,55.2,152.7934143066406,drop_cabin
AgeGroup,7.63627986907959,55.6,153.23324127197264,drop_cabin
Age,6.40074987411499,115.4,192.05087585449218,drop_cabin
log1p_SpendPerActiveCategory,6.397014522552491,19.0,165.44334411621094,drop_cabin
Spa,5.809958648681641,44.2,275.1178466796875,drop_cabin
log1p_VRDeck,5.39151964187622,10.6,166.31047973632812,drop_cabin
log1p_Spa,5.375761318206787,16.0,261.28252563476565,drop_cabin
FoodCourtMissing,5.259459447860718,5.6,259.0608245849609,drop_cabin
ShoppingMallMissing,5.049606084823608,4.2,238.05475463867188,drop_cabin
GroupSize,4.813862895965576,36.2,181.42838439941406,drop_cabin
VIPMissing,4.797950410842896,4.8,233.11105041503907,drop_cabin
RoomServiceMissing,4.790051460266113,3.8,357.2906234741211,drop_cabin
VRDeck,4.694696617126465,44.0,174.92257080078124,drop_cabin
VIP,4.5575206756591795,7.4,213.24383239746095,drop_cabin
CryoSleepMissing,4.126635408401489,6.0,297.7430053710938,drop_cabin
SurnameFreq,4.0251282215118405,60.2,131.07538909912108,drop_cabin
CabinMissing,3.905442142486572,2.0,174.54586791992188,drop_cabin
MissingCount,3.898568868637085,10.6,58.52649993896485,drop_cabin
GroupMemberNo,3.876907205581665,17.2,127.25680923461914,drop_cabin
HasAnyLuxurySpend,3.36318359375,0.2,48.58805847167969,drop_cabin
VRDeckMissing,3.3163782596588134,2.2,180.73436889648437,drop_cabin
HomePlanetMissing,3.148476076126099,1.2,114.32146606445312,drop_cabin
AgeMissing,2.8269269466400146,1.8,395.37045135498045,drop_cabin
SpaMissing,2.5132596015930178,1.8,324.0870788574219,drop_cabin
IsSolo,2.3782153129577637,2.8,73.94351921081542,drop_cabin
DestinationMissing,2.3476146697998046,0.6,179.50359497070312,drop_cabin
NameMissing,2.273992395401001,1.6,134.7940528869629,drop_cabin
IsMultiPassengerGroup,2.254192352294922,0.6,11.9779842376709,drop_cabin
GroupMemberIsLeader,1.7978853702545166,2.4,151.48808364868165,drop_cabin
IsSenior,1.5989209175109864,0.4,44.41894683837891,drop_cabin
CryoSleepSpendAnomaly,0.0,0.0,0.0,drop_cabin
AgeWasOutOfRange,0.0,0.0,0.0,drop_cabin
