feature,gain,weight,cover,view
IsZeroSpend,633.5248901367188,6.8,1117.8343994140625,drop_cabinnum
SpendCount,184.58275909423827,30.4,484.8454895019531,drop_cabinnum
CryoSleep,33.08697395324707,66.6,461.5851318359375,drop_cabinnum
LuxuryShare,33.007470703125,138.2,334.61704711914064,drop_cabinnum
RoomService,25.330012130737305,173.8,310.8990417480469,drop_cabinnum
Deck,19.80561180114746,124.6,195.7986297607422,drop_cabinnum
log1p_RoomService,19.644528579711913,69.2,308.2920776367188,drop_cabinnum
HomePlanet,19.145050048828125,63.2,228.35535583496093,drop_cabinnum
LuxuryMinusBasic,15.722348403930663,138.0,322.2477966308594,drop_cabinnum
TotalSpend,14.687408638000488,97.4,170.78662109375,drop_cabinnum
Side,13.417328071594238,54.8,126.02238616943359,drop_cabinnum
DeckSide,11.969431686401368,325.6,292.9396057128906,drop_cabinnum
SpendPerActiveCategory,11.338787174224853,106.2,192.60816345214843,drop_cabinnum
log1p_FoodCourt,11.011365127563476,36.0,212.55258178710938,drop_cabinnum
LuxurySpend,10.857183456420898,159.0,245.94041442871094,drop_cabinnum
log1p_LuxurySpend,10.398143577575684,43.2,255.97154541015624,drop_cabinnum
HomePlanetDestination,9.8853328704834,199.8,258.1621551513672,drop_cabinnum
log1p_BasicSpend,9.033976078033447,22.6,115.23235702514648,drop_cabinnum
log1p_TotalSpend,8.854363441467285,41.6,172.84807739257812,drop_cabinnum
CabinNumBin,8.75686206817627,197.2,243.41558837890625,drop_cabinnum
BasicSpend,8.528473281860352,58.4,135.8231658935547,drop_cabinnum
SpendPerGroupMember,7.855488109588623,96.2,145.80634155273438,drop_cabinnum
FoodCourt,7.505878257751465,110.6,198.4307067871094,drop_cabinnum
ShoppingMall,6.96567440032959,100.2,217.25098266601563,drop_cabinnum
SpendPerAge,5.684737491607666,88.2,126.73882904052735,drop_cabinnum
log1p_SpendPerActiveCategory,5.6762800216674805,32.6,160.85530700683594,drop_cabinnum
AgeGroup,5.571242713928223,85.4,164.72276000976564,drop_cabinnum
Destination,5.523845863342285,34.2,160.7511459350586,drop_cabinnum
HomePlanetMissing,5.507987070083618,4.0,285.1232452392578,drop_cabinnum
log1p_Spa,5.4048844337463375,37.4,198.38731079101564,drop_cabinnum
log1p_ShoppingMall,5.32613582611084,34.4,188.38054504394532,drop_cabinnum
Age,5.151088047027588,201.8,234.1498046875,drop_cabinnum
VRDeckMissing,4.920425891876221,12.4,417.23731689453126,drop_cabinnum
SpaMissing,4.633146667480469,6.4,339.9620056152344,drop_cabinnum
VIPMissing,4.596003484725952,6.4,258.9749099731445,drop_cabinnum
log1p_VRDeck,4.5878369331359865,28.8,179.99530792236328,drop_cabinnum
Spa,4.539621448516845,82.8,237.53045043945312,drop_cabinnum
VRDeck,4.5248363494873045,80.2,176.58788146972657,drop_cabinnum
GroupSize,4.396085977554321,73.6,190.3129150390625,drop_cabinnum
RoomServiceMissing,4.39513897895813,8.4,469.8009490966797,drop_cabinnum
VIP,4.299037504196167,9.8,268.2980010986328,drop_cabinnum
FoodCourtMissing,3.846143102645874,8.2,352.4368408203125,drop_cabinnum
SurnameFreq,3.837046003341675,97.0,126.4540916442871,drop_cabinnum
IsChild,3.830757904052734,2.0,88.72728118896484,drop_cabinnum
MissingCount,3.6913966655731203,19.8,94.68126831054687,drop_cabinnum
GroupMemberIsLeader,3.6207798957824706,4.4,307.52038345336916,drop_cabinnum
GroupMemberNo,3.573964071273804,30.6,221.3726348876953,drop_cabinnum
IsSolo,3.3394914150238035,3.2,36.32978162765503,drop_cabinnum
CryoSleepMissing,3.3200042247772217,9.6,339.8315063476563,drop_cabinnum
ShoppingMallMissing,3.260636901855469,9.0,334.8034362792969,drop_cabinnum
IsMultiPassengerGroup,2.9833367347717283,1.6,59.32942457199097,drop_cabinnum
AgeMissing,2.468275213241577,3.8,285.47120666503906,drop_cabinnum
DestinationMissing,2.327945518493652,2.6,198.47620239257813,drop_cabinnum
NameMissing,1.9796104431152344,2.4,119.05470581054688,drop_cabinnum
IsSenior,1.6141335487365722,0.8,88.38377723693847,drop_cabinnum
HasAnyLuxurySpend,1.2166260719299316,0.2,13.459353637695312,drop_cabinnum
CabinMissing,0.31000595092773436,0.2,8.328657531738282,drop_cabinnum
CryoSleepSpendAnomaly,0.0,0.0,0.0,drop_cabinnum
AgeWasOutOfRange,0.0,0.0,0.0,drop_cabinnum
