feature,gain,weight,cover,view
IsZeroSpend,551.7523193359375,11.8,947.0408325195312,drop_group
SpendCount,77.97873821258545,30.4,315.26458435058595,drop_group
CryoSleep,54.29331817626953,66.8,522.5032165527343,drop_group
LuxuryShare,25.476006317138673,176.6,306.29942016601564,drop_group
RoomService,21.66202583312988,197.0,307.36542358398435,drop_group
Deck,20.026579666137696,129.4,190.06022033691406,drop_group
HomePlanet,16.322954177856445,66.8,221.52842712402344,drop_group
LuxuryMinusBasic,15.469323348999023,167.4,313.13817138671874,drop_group
log1p_RoomService,15.076873588562012,81.2,311.29310913085936,drop_group
log1p_FoodCourt,12.286680316925048,51.4,211.67336730957032,drop_group
Side,11.620644187927246,55.0,132.7085723876953,drop_group
DeckSide,11.142688179016114,418.6,275.58196411132815,drop_group
LuxurySpend,10.32194118499756,155.8,234.53200988769532,drop_group
log1p_TotalSpend,10.225483226776124,55.0,185.77044067382812,drop_group
TotalSpend,9.743403339385987,141.4,156.73251037597657,drop_group
SpendPerActiveCategory,8.981830596923828,129.8,163.06723022460938,drop_group
CabinNumBin,8.935451221466064,153.4,219.57002868652344,drop_group
HomePlanetDestination,8.350846672058106,234.0,259.96051635742185,drop_group
log1p_BasicSpend,8.310505485534668,31.6,171.24634704589843,drop_group
log1p_LuxurySpend,8.102254009246826,56.6,258.89861755371095,drop_group
IsChild,7.684142684936523,5.2,120.64602813720703,drop_group
FoodCourt,7.289959239959717,133.8,207.70638122558594,drop_group
ShoppingMall,6.453057479858399,121.0,213.194921875,drop_group
log1p_SpendPerActiveCategory,6.182334327697754,57.8,176.2231414794922,drop_group
BasicSpend,5.941009044647217,76.0,120.94681854248047,drop_group
log1p_ShoppingMall,5.73997163772583,46.8,191.26940307617187,drop_group
CabinNum,5.729021453857422,379.6,203.7301452636719,drop_group
Destination,5.3615035057067875,39.4,144.8386444091797,drop_group
AgeGroup,5.288308429718017,104.4,165.30107727050782,drop_group
VIPMissing,5.102778339385987,6.4,273.8280746459961,drop_group
SpendPerAge,4.977555465698242,120.8,126.42965087890624,drop_group
VRDeckMissing,4.7583307266235355,15.4,343.0958740234375,drop_group
Age,4.7048543930053714,270.4,218.7568603515625,drop_group
Spa,4.68480339050293,112.4,227.103271484375,drop_group
log1p_Spa,4.619753456115722,47.0,241.73565979003905,drop_group
FoodCourtMissing,4.552127647399902,9.8,373.1485931396484,drop_group
log1p_VRDeck,4.270986652374267,25.8,206.78199768066406,drop_group
VRDeck,4.239757108688354,107.2,194.4901092529297,drop_group
VIP,4.110811471939087,14.0,281.1227172851562,drop_group
RoomServiceMissing,3.9721335887908937,12.0,386.87208557128906,drop_group
HomePlanetMissing,3.967448616027832,7.6,287.29461669921875,drop_group
CryoSleepMissing,3.9172316074371336,13.6,405.86683959960936,drop_group
ShoppingMallMissing,3.72970290184021,11.2,443.2176513671875,drop_group
SurnameFreq,3.7053425788879393,126.2,159.62392578125,drop_group
SpaMissing,3.551740598678589,8.2,440.3582702636719,drop_group
MissingCount,3.5293335914611816,25.0,94.52650527954101,drop_group
NameMissing,3.417665481567383,3.6,248.06868591308594,drop_group
DestinationMissing,2.8522497177124024,2.4,224.14269409179687,drop_group
HasAnyLuxurySpend,2.7604856491088867,1.0,53.420327281951906,drop_group
AgeMissing,2.1853499889373778,3.0,317.0365356445312,drop_group
IsSenior,1.7602948188781737,1.2,160.56822509765624,drop_group
CabinMissing,1.5326656341552733,0.2,1.5213905334472657,drop_group
CryoSleepSpendAnomaly,0.0,0.0,0.0,drop_group
AgeWasOutOfRange,0.0,0.0,0.0,drop_group
