feature,gain,weight,cover,view
IsZeroSpend,589.8423583984375,7.4,1026.6277587890625,drop_groupmemberno
SpendCount,172.5636360168457,32.2,454.804052734375,drop_groupmemberno
CryoSleep,34.666744232177734,67.8,452.16973876953125,drop_groupmemberno
LuxuryShare,33.182216262817384,140.2,337.58131713867186,drop_groupmemberno
RoomService,25.716079330444337,173.6,304.49541625976565,drop_groupmemberno
Deck,22.22015380859375,118.4,202.05137329101564,drop_groupmemberno
log1p_RoomService,18.11988639831543,75.0,308.66051025390624,drop_groupmemberno
HomePlanet,18.01408920288086,63.4,223.97166442871094,drop_groupmemberno
LuxuryMinusBasic,16.754080963134765,130.6,328.3134704589844,drop_groupmemberno
TotalSpend,14.212852478027344,97.8,166.82876586914062,drop_groupmemberno
Side,13.188409042358398,49.4,127.52574005126954,drop_groupmemberno
DeckSide,12.184378051757813,349.4,286.517138671875,drop_groupmemberno
LuxurySpend,11.241936492919923,150.8,258.6138519287109,drop_groupmemberno
SpendPerActiveCategory,10.706843090057372,116.0,167.69095458984376,drop_groupmemberno
log1p_LuxurySpend,10.61555528640747,43.6,278.0280517578125,drop_groupmemberno
log1p_FoodCourt,10.319881248474122,40.8,202.040185546875,drop_groupmemberno
CabinNumBin,9.994155502319336,140.6,216.30921936035156,drop_groupmemberno
HomePlanetDestination,9.507707977294922,201.4,256.7867126464844,drop_groupmemberno
log1p_TotalSpend,9.0527925491333,40.0,158.72532501220704,drop_groupmemberno
log1p_BasicSpend,8.638575744628906,22.0,163.2107177734375,drop_groupmemberno
SpendPerGroupMember,8.551292228698731,88.0,140.66978759765624,drop_groupmemberno
BasicSpend,8.369536113739013,61.6,137.67823333740233,drop_groupmemberno
FoodCourt,7.714808177947998,110.2,203.12756958007813,drop_groupmemberno
ShoppingMall,7.171045970916748,103.2,206.81943054199218,drop_groupmemberno
IsChild,6.816481637954712,4.2,105.8339614868164,drop_groupmemberno
CabinNum,6.281891345977783,324.8,193.3219787597656,drop_groupmemberno
log1p_SpendPerActiveCategory,6.174386310577392,31.6,165.78516845703126,drop_groupmemberno
log1p_ShoppingMall,5.923996925354004,32.8,187.41626892089843,drop_groupmemberno
SpendPerAge,5.734133625030518,90.6,130.7225830078125,drop_groupmemberno
AgeGroup,5.730886363983155,87.6,168.98187866210938,drop_groupmemberno
Destination,5.586619186401367,30.2,177.01381225585936,drop_groupmemberno
log1p_Spa,5.461938190460205,38.0,183.36031799316407,drop_groupmemberno
Age,5.022556304931641,210.2,219.88722534179686,drop_groupmemberno
Spa,4.712507057189941,83.0,229.73426513671876,drop_groupmemberno
VRDeckMissing,4.698559379577636,13.2,404.324853515625,drop_groupmemberno
VIP,4.65096526145935,9.0,267.7877624511719,drop_groupmemberno
VRDeck,4.412498903274536,76.2,189.45016479492188,drop_groupmemberno
log1p_VRDeck,4.3646317481994625,30.6,188.36020202636718,drop_groupmemberno
GroupSize,4.35269079208374,66.2,177.78710327148437,drop_groupmemberno
RoomServiceMissing,4.272947931289673,9.0,380.2646881103516,drop_groupmemberno
FoodCourtMissing,4.267250204086304,9.2,345.447737121582,drop_groupmemberno
CryoSleepMissing,4.207114219665527,11.0,416.1731872558594,drop_groupmemberno
SpaMissing,4.154866504669189,6.2,312.17958679199216,drop_groupmemberno
VIPMissing,4.027786445617676,5.4,301.73997650146487,drop_groupmemberno
ShoppingMallMissing,3.9953284740447996,10.2,426.4440979003906,drop_groupmemberno
IsSolo,3.991290473937988,7.2,71.8667205810547,drop_groupmemberno
SurnameFreq,3.9430185317993165,92.2,134.82744598388672,drop_groupmemberno
GroupMemberIsLeader,3.5999452590942385,12.2,212.59046325683593,drop_groupmemberno
HomePlanetMissing,3.5789288520812987,4.8,297.00779418945314,drop_groupmemberno
MissingCount,3.5403833866119383,20.8,92.1269142150879,drop_groupmemberno
NameMissing,2.7297588348388673,3.6,247.8118469238281,drop_groupmemberno
DestinationMissing,2.6907976627349854,1.8,188.63267211914064,drop_groupmemberno
IsMultiPassengerGroup,2.177873373031616,1.6,56.26121339797974,drop_groupmemberno
AgeMissing,2.008576536178589,3.8,276.88042602539065,drop_groupmemberno
HasAnyLuxurySpend,1.2394399642944336,0.4,11.202459716796875,drop_groupmemberno
IsSenior,1.0819778919219971,0.4,128.22806396484376,drop_groupmemberno
CryoSleepSpendAnomaly,0.0,0.0,0.0,drop_groupmemberno
CabinMissing,0.0,0.0,0.0,drop_groupmemberno
AgeWasOutOfRange,0.0,0.0,0.0,drop_groupmemberno
