feature,gain,weight,cover,view
IsZeroSpend,524.6959045410156,13.4,1022.07431640625,drop_homeplanetdestination
SpendCount,82.93450698852538,33.6,301.7744842529297,drop_homeplanetdestination
CryoSleep,31.938368606567384,72.6,433.6941772460938,drop_homeplanetdestination
LuxuryShare,30.674993896484374,168.8,310.1676879882813,drop_homeplanetdestination
log1p_RoomService,23.524973678588868,74.2,330.0265625,drop_homeplanetdestination
RoomService,22.877205657958985,181.4,300.9684814453125,drop_homeplanetdestination
Deck,19.853548431396483,122.6,190.48681030273437,drop_homeplanetdestination
TotalSpend,14.777067565917969,115.8,178.17678833007812,drop_homeplanetdestination
LuxuryMinusBasic,14.234124374389648,155.0,309.8456237792969,drop_homeplanetdestination
HomePlanet,13.612580871582031,122.6,249.42377014160155,drop_homeplanetdestination
DeckSide,12.37608585357666,394.4,289.073193359375,drop_homeplanetdestination
Side,12.242807769775391,56.2,108.05885314941406,drop_homeplanetdestination
log1p_BasicSpend,10.287876892089844,24.6,146.7179168701172,drop_homeplanetdestination
LuxurySpend,9.718655586242676,143.4,251.1990478515625,drop_homeplanetdestination
CabinNumBin,9.300604438781738,150.0,226.6916290283203,drop_homeplanetdestination
BasicSpend,8.47308406829834,67.0,152.5364791870117,drop_homeplanetdestination
log1p_TotalSpend,8.373507404327393,46.0,158.68131408691406,drop_homeplanetdestination
log1p_FoodCourt,8.117442607879639,41.4,207.47243041992186,drop_homeplanetdestination
log1p_LuxurySpend,8.087863063812256,52.2,269.72010192871096,drop_homeplanetdestination
FoodCourt,7.436603832244873,121.4,198.19283447265624,drop_homeplanetdestination
SpendPerGroupMember,7.3844273567199705,109.6,146.3910903930664,drop_homeplanetdestination
Destination,7.18168306350708,88.8,288.094873046875,drop_homeplanetdestination
SpendPerActiveCategory,6.4257220268249515,119.6,162.15247497558593,drop_homeplanetdestination
IsChild,6.198571300506591,5.2,91.44615592956544,drop_homeplanetdestination
log1p_ShoppingMall,6.089058780670166,36.4,198.9895263671875,drop_homeplanetdestination
ShoppingMall,6.014285278320313,117.4,194.83879699707032,drop_homeplanetdestination
CabinNum,5.770117950439453,345.4,197.86449279785157,drop_homeplanetdestination
AgeGroup,5.701660060882569,108.4,156.6261962890625,drop_homeplanetdestination
SpendPerAge,5.586611938476563,98.8,126.43032531738281,drop_homeplanetdestination
log1p_VRDeck,5.146553897857666,29.6,211.71314086914063,drop_homeplanetdestination
log1p_SpendPerActiveCategory,5.1459403991699215,50.6,166.1017822265625,drop_homeplanetdestination
log1p_Spa,4.8575057029724125,40.2,220.7917236328125,drop_homeplanetdestination
Age,4.742784214019776,228.8,217.47826538085937,drop_homeplanetdestination
Spa,4.658047533035278,96.2,236.54047546386718,drop_homeplanetdestination
RoomServiceMissing,4.6515124320983885,10.0,379.8580718994141,drop_homeplanetdestination
VIPMissing,4.636217355728149,6.2,286.10426330566406,drop_homeplanetdestination
GroupSize,4.457901334762573,68.2,202.89989013671874,drop_homeplanetdestination
VRDeck,4.41135721206665,94.8,184.69395141601564,drop_homeplanetdestination
VRDeckMissing,4.354416131973267,15.0,411.1638977050781,drop_homeplanetdestination
VIP,4.349801731109619,10.4,302.229296875,drop_homeplanetdestination
FoodCourtMissing,4.320490407943725,9.2,396.65227661132815,drop_homeplanetdestination
HomePlanetMissing,4.196279382705688,7.0,269.2368927001953,drop_homeplanetdestination
DestinationMissing,4.0027913570404055,2.8,380.34421997070314,drop_homeplanetdestination
CryoSleepMissing,3.985643720626831,11.6,414.1271484375,drop_homeplanetdestination
ShoppingMallMissing,3.948180150985718,9.6,401.62061767578126,drop_homeplanetdestination
SurnameFreq,3.842895984649658,116.8,142.82477722167968,drop_homeplanetdestination
MissingCount,3.7257424354553224,18.8,75.56521148681641,drop_homeplanetdestination
GroupMemberNo,3.6805325508117677,34.6,220.44988708496095,drop_homeplanetdestination
SpaMissing,3.675690221786499,7.8,393.4764404296875,drop_homeplanetdestination
NameMissing,3.6131076335906984,3.8,264.1730621337891,drop_homeplanetdestination
IsSolo,3.358762836456299,4.6,54.41685848236084,drop_homeplanetdestination
GroupMemberIsLeader,3.128794240951538,3.6,180.37453994750976,drop_homeplanetdestination
IsSenior,2.6258668422698976,0.8,54.34103965759277,drop_homeplanetdestination
HasAnyLuxurySpend,2.4288121700286864,1.2,9.069136047363282,drop_homeplanetdestination
AgeMissing,2.416932487487793,2.6,375.17412719726565,drop_homeplanetdestination
IsMultiPassengerGroup,1.6994240045547486,0.8,64.87533254623413,drop_homeplanetdestination
CabinMissing,1.4276185989379884,0.4,17.03016815185547,drop_homeplanetdestination
CryoSleepSpendAnomaly,0.0,0.0,0.0,drop_homeplanetdestination
AgeWasOutOfRange,0.0,0.0,0.0,drop_homeplanetdestination
