feature,gain,weight,cover,view
IsZeroSpend,488.3306030273437,7.4,1017.8282958984375,drop_missing_flags
SpendCount,163.47638244628905,24.2,430.5533935546875,drop_missing_flags
CryoSleep,46.30298843383789,61.6,510.07464599609375,drop_missing_flags
LuxuryShare,34.22808418273926,131.4,344.10325317382814,drop_missing_flags
log1p_RoomService,25.05401611328125,62.8,366.56757202148435,drop_missing_flags
RoomService,24.678229904174806,157.0,314.51520385742185,drop_missing_flags
Deck,23.646470260620116,107.2,210.82337951660156,drop_missing_flags
SpendPerGroupMember,22.30676965713501,91.6,158.9211669921875,drop_missing_flags
LuxuryMinusBasic,20.58752861022949,131.4,343.861474609375,drop_missing_flags
TotalSpend,20.537897491455077,89.0,180.7142120361328,drop_missing_flags
HomePlanet,17.76474609375,61.2,218.2324005126953,drop_missing_flags
Side,13.182650756835937,49.2,122.83209381103515,drop_missing_flags
DeckSide,12.558270835876465,348.4,272.9928833007813,drop_missing_flags
FoodCourt,11.680873680114747,92.6,205.2288055419922,drop_missing_flags
LuxurySpend,11.024996948242187,132.2,240.54609069824218,drop_missing_flags
CabinNumBin,10.18835391998291,128.0,240.41397399902343,drop_missing_flags
log1p_FoodCourt,10.095873546600341,36.2,243.1392333984375,drop_missing_flags
BasicSpend,9.977655124664306,45.4,145.01236114501953,drop_missing_flags
SpendPerActiveCategory,9.689433479309082,98.4,163.441455078125,drop_missing_flags
HomePlanetDestination,9.677775764465332,191.0,256.77918701171876,drop_missing_flags
log1p_BasicSpend,8.989759826660157,23.2,138.8991455078125,drop_missing_flags
log1p_TotalSpend,8.481680107116699,34.0,182.4207794189453,drop_missing_flags
ShoppingMall,8.172518730163574,97.6,199.29147033691407,drop_missing_flags
log1p_LuxurySpend,7.822734928131103,45.2,247.98141784667968,drop_missing_flags
log1p_Spa,7.066915702819824,31.6,215.70181579589843,drop_missing_flags
log1p_ShoppingMall,6.585794830322266,32.8,212.4877471923828,drop_missing_flags
Destination,6.507996082305908,31.4,177.70816955566406,drop_missing_flags
CabinNum,6.469628620147705,281.8,209.90232849121094,drop_missing_flags
log1p_SpendPerActiveCategory,6.2110371589660645,38.8,166.53136596679687,drop_missing_flags
AgeGroup,6.147903251647949,73.2,170.11334533691405,drop_missing_flags
IsChild,5.800277853012085,3.8,194.53760375976563,drop_missing_flags
SpendPerAge,5.490929412841797,84.0,117.15862884521485,drop_missing_flags
Age,5.242948246002197,185.4,227.94625854492188,drop_missing_flags
Spa,5.192103576660156,83.8,208.31876525878906,drop_missing_flags
log1p_VRDeck,5.003453922271729,29.8,204.14897613525392,drop_missing_flags
VRDeck,4.88007698059082,64.6,186.2873962402344,drop_missing_flags
GroupSize,4.699845981597901,57.0,200.36822814941405,drop_missing_flags
VIP,4.121633863449096,9.4,221.44735260009764,drop_missing_flags
SurnameFreq,3.9820658683776857,89.6,148.55213623046876,drop_missing_flags
GroupMemberNo,3.6571433544158936,29.0,176.51888275146484,drop_missing_flags
GroupMemberIsLeader,3.576991891860962,3.4,104.7891342163086,drop_missing_flags
IsSolo,3.017903518676758,3.2,25.942227935791017,drop_missing_flags
HasAnyLuxurySpend,2.1005834579467773,0.4,62.12971496582031,drop_missing_flags
IsMultiPassengerGroup,1.7790962219238282,1.4,6.294923973083496,drop_missing_flags
IsSenior,1.052325677871704,0.4,166.18950500488282,drop_missing_flags
CryoSleepSpendAnomaly,0.0,0.0,0.0,drop_missing_flags
AgeWasOutOfRange,0.0,0.0,0.0,drop_missing_flags
