feature,gain,weight,cover,view
CryoSleep,57.405818176269534,69.8,545.6740539550781,drop_spend_core
SpendPerGroupMember,36.08212633132935,154.0,239.21495361328124,drop_spend_core
SpendPerActiveCategory,33.056894874572755,139.8,237.57354736328125,drop_spend_core
log1p_SpendPerActiveCategory,31.336718559265137,73.4,193.91689758300782,drop_spend_core
LuxuryShare,26.7613956451416,160.6,326.8575378417969,drop_spend_core
Deck,21.152777481079102,119.8,209.54026794433594,drop_spend_core
HomePlanet,19.767337799072266,93.8,276.9402770996094,drop_spend_core
LuxuryMinusBasic,17.879287719726562,143.2,317.32737426757814,drop_spend_core
DeckSide,14.297136497497558,355.0,294.88788452148435,drop_spend_core
Side,13.345096397399903,49.8,141.2470230102539,drop_spend_core
HomePlanetDestination,11.828480339050293,215.2,288.045166015625,drop_spend_core
SpendPerAge,11.6451247215271,120.6,189.3857849121094,drop_spend_core
CabinNumBin,9.92724323272705,141.8,236.53165588378906,drop_spend_core
log1p_LuxurySpend,9.565545272827148,59.6,316.4872131347656,drop_spend_core
LuxurySpend,9.12902374267578,158.6,299.154296875,drop_spend_core
log1p_BasicSpend,7.209624290466309,36.0,186.4178009033203,drop_spend_core
BasicSpend,6.440814971923828,107.2,189.21168823242186,drop_spend_core
CabinNum,6.1556541442871096,314.4,212.63998718261718,drop_spend_core
Destination,6.068775177001953,34.6,171.30747985839844,drop_spend_core
IsChild,5.759545612335205,3.6,75.83094177246093,drop_spend_core
AgeGroup,5.650196552276611,89.8,187.4308349609375,drop_spend_core
IsMultiPassengerGroup,5.5585644245147705,1.4,62.37412929534912,drop_spend_core
Age,5.41274356842041,220.2,254.95635070800782,drop_spend_core
VIP,4.958522891998291,15.4,271.5930236816406,drop_spend_core
VRDeckMissing,4.784472942352295,9.0,368.6294219970703,drop_spend_core
GroupSize,4.3681902408599855,61.6,180.75977783203126,drop_spend_core
SpaMissing,4.344856548309326,9.4,473.84910888671874,drop_spend_core
VIPMissing,4.166234827041626,4.0,182.11744232177733,drop_spend_core
HomePlanetMissing,4.160241508483887,4.2,250.8676513671875,drop_spend_core
SurnameFreq,3.91479172706604,101.8,148.65936126708985,drop_spend_core
FoodCourtMissing,3.880854368209839,6.6,320.01511535644534,drop_spend_core
CryoSleepMissing,3.7360864162445067,10.6,308.07186431884764,drop_spend_core
MissingCount,3.6685039520263674,20.2,90.85218124389648,drop_spend_core
GroupMemberNo,3.6205243110656737,30.0,161.6287384033203,drop_spend_core
GroupMemberIsLeader,3.488570308685303,3.8,185.74707412719727,drop_spend_core
IsSolo,3.471849727630615,4.4,40.24875736236572,drop_spend_core
ShoppingMallMissing,3.359845590591431,3.8,346.2098754882812,drop_spend_core
DestinationMissing,3.218283939361572,3.0,258.01503295898436,drop_spend_core
AgeMissing,3.2077680110931395,4.6,470.8652587890625,drop_spend_core
HasAnyLuxurySpend,3.194698143005371,1.6,20.543131828308105,drop_spend_core
RoomServiceMissing,3.1680506229400636,6.2,179.7904251098633,drop_spend_core
NameMissing,3.0933461666107176,2.6,198.7904541015625,drop_spend_core
IsSenior,1.4765436172485351,1.2,102.66497192382812,drop_spend_core
CryoSleepSpendAnomaly,0.0,0.0,0.0,drop_spend_core
CabinMissing,0.0,0.0,0.0,drop_spend_core
AgeWasOutOfRange,0.0,0.0,0.0,drop_spend_core
