feature,gain,weight,cover,view
IsZeroSpend,394.8034240722656,14.8,913.4363037109375,drop_spend_structure
SpendCount,74.8367374420166,40.2,274.6909698486328,drop_spend_structure
CryoSleep,44.78251075744629,67.0,464.8867492675781,drop_spend_structure
Deck,22.407976150512695,139.4,191.439501953125,drop_spend_structure
TotalSpend,17.014020729064942,154.6,178.46250915527344,drop_spend_structure
FoodCourt,14.240826416015626,213.2,276.2485015869141,drop_spend_structure
log1p_ShoppingMall,13.168952178955077,56.6,288.9241119384766,drop_spend_structure
log1p_TotalSpend,12.956035995483399,66.2,193.088720703125,drop_spend_structure
ShoppingMall,12.788663864135742,166.0,283.7930023193359,drop_spend_structure
log1p_VRDeck,12.047380065917968,104.8,275.0404113769531,drop_spend_structure
Spa,11.329076194763184,269.2,275.95836181640624,drop_spend_structure
HomePlanet,11.158575630187988,64.8,171.4187744140625,drop_spend_structure
Side,11.136831474304199,54.8,124.82071838378906,drop_spend_structure
DeckSide,10.566155624389648,384.8,294.11060791015626,drop_spend_structure
log1p_Spa,10.439596557617188,93.0,274.5972503662109,drop_spend_structure
VRDeck,10.160681915283202,243.8,266.9997192382813,drop_spend_structure
RoomService,9.994250106811524,191.0,291.1319580078125,drop_spend_structure
CabinNumBin,9.556192588806152,149.2,219.9421813964844,drop_spend_structure
log1p_FoodCourt,9.358999633789063,88.4,259.07867126464845,drop_spend_structure
log1p_RoomService,8.78356637954712,70.4,329.4466552734375,drop_spend_structure
SpendPerGroupMember,8.527677154541015,134.2,145.42210388183594,drop_spend_structure
HomePlanetDestination,7.767269039154053,232.6,261.1428955078125,drop_spend_structure
SpendPerAge,6.393033790588379,131.0,120.61343383789062,drop_spend_structure
Destination,6.046854496002197,31.6,155.60318603515626,drop_spend_structure
AgeGroup,5.595346832275391,101.2,164.97920837402344,drop_spend_structure
CabinNum,5.48632287979126,375.4,194.2013366699219,drop_spend_structure
Age,4.860222434997558,242.4,229.08306884765625,drop_spend_structure
IsChild,4.614816331863404,3.8,103.47283096313477,drop_spend_structure
VRDeckMissing,4.440832662582397,14.2,388.0186340332031,drop_spend_structure
ShoppingMallMissing,4.390520811080933,10.4,436.3419250488281,drop_spend_structure
FoodCourtMissing,4.381996107101441,9.6,413.1260498046875,drop_spend_structure
GroupSize,4.347407674789428,73.8,185.47138671875,drop_spend_structure
RoomServiceMissing,4.312882137298584,11.4,310.4957733154297,drop_spend_structure
VIPMissing,4.283203411102295,6.2,255.93832702636718,drop_spend_structure
HomePlanetMissing,4.182191991806031,4.2,296.0859069824219,drop_spend_structure
NameMissing,4.121074390411377,3.6,352.07749633789064,drop_spend_structure
VIP,3.9812057495117186,13.0,285.8384185791016,drop_spend_structure
SurnameFreq,3.7868791103363035,115.6,135.5409133911133,drop_spend_structure
MissingCount,3.7305475234985352,21.6,98.87345275878906,drop_spend_structure
CryoSleepMissing,3.5627821922302245,13.2,327.9351745605469,drop_spend_structure
SpaMissing,3.5452630519866943,5.6,419.37197265625,drop_spend_structure
GroupMemberIsLeader,3.520415687561035,5.8,231.90151977539062,drop_spend_structure
GroupMemberNo,3.4179755210876466,40.8,178.83682556152343,drop_spend_structure
IsSolo,3.360066604614258,4.8,29.224015998840333,drop_spend_structure
AgeMissing,3.1297558307647706,4.2,500.87523193359374,drop_spend_structure
DestinationMissing,2.561485481262207,3.2,209.41944580078126,drop_spend_structure
IsMultiPassengerGroup,1.926001739501953,0.8,26.114180755615234,drop_spend_structure
IsSenior,1.6870155334472656,0.4,118.88304748535157,drop_spend_structure
CryoSleepSpendAnomaly,0.0,0.0,0.0,drop_spend_structure
CabinMissing,0.0,0.0,0.0,drop_spend_structure
AgeWasOutOfRange,0.0,0.0,0.0,drop_spend_structure
