feature,gain,weight,cover,view
IsZeroSpend,551.003564453125,8.0,971.6698974609375,drop_surname
SpendCount,189.79398040771486,30.0,478.19093627929686,drop_surname
CryoSleep,33.920646286010744,67.6,463.75551147460936,drop_surname
LuxuryShare,32.83178787231445,137.2,332.9395446777344,drop_surname
RoomService,26.149996185302733,165.6,319.9963806152344,drop_surname
Deck,20.4615177154541,120.0,204.16800231933593,drop_surname
HomePlanet,20.004166030883788,61.2,228.63131103515624,drop_surname
log1p_RoomService,18.21057243347168,73.8,294.4743957519531,drop_surname
LuxuryMinusBasic,16.25202522277832,135.6,323.0326904296875,drop_surname
TotalSpend,13.764906406402588,97.8,163.01895446777343,drop_surname
Side,13.267235565185548,50.6,129.73699340820312,drop_surname
DeckSide,11.916398811340333,339.4,293.3180297851562,drop_surname
LuxurySpend,10.561430358886719,163.4,237.9498077392578,drop_surname
SpendPerActiveCategory,10.359356117248534,112.0,176.764990234375,drop_surname
log1p_LuxurySpend,10.226863861083984,45.0,259.5483795166016,drop_surname
log1p_FoodCourt,9.829795169830323,38.6,225.43523254394532,drop_surname
HomePlanetDestination,9.791061973571777,200.8,253.9020782470703,drop_surname
CabinNumBin,9.41435203552246,146.2,215.7753936767578,drop_surname
log1p_BasicSpend,8.512922096252442,21.6,134.4857307434082,drop_surname
log1p_TotalSpend,8.303195667266845,40.8,179.82206115722656,drop_surname
SpendPerGroupMember,8.11294345855713,94.8,133.55582122802736,drop_surname
BasicSpend,7.927815723419189,61.8,144.6431396484375,drop_surname
FoodCourt,7.4852118492126465,108.4,199.25774230957032,drop_surname
ShoppingMall,6.923682022094726,101.0,205.15221252441407,drop_surname
CabinNum,6.159632015228271,311.6,190.93699645996094,drop_surname
log1p_ShoppingMall,5.908586502075195,36.4,175.7622314453125,drop_surname
log1p_SpendPerActiveCategory,5.825992298126221,33.8,154.8189697265625,drop_surname
AgeGroup,5.808504295349121,83.6,171.73990783691406,drop_surname
Destination,5.737966632843017,32.6,178.21546630859376,drop_surname
VIPMissing,5.592717790603638,5.2,265.9533996582031,drop_surname
log1p_Spa,5.533855724334717,35.8,210.13946228027345,drop_surname
IsChild,5.188008117675781,4.2,135.7370590209961,drop_surname
Age,5.055316066741943,206.8,229.4050323486328,drop_surname
SpendPerAge,5.052037715911865,86.4,120.32012023925782,drop_surname
Spa,4.701038074493408,81.6,235.51367797851563,drop_surname
log1p_VRDeck,4.667328643798828,28.4,200.47997436523437,drop_surname
VRDeckMissing,4.648394680023193,14.4,374.53863525390625,drop_surname
RoomServiceMissing,4.4503223419189455,9.4,382.0458953857422,drop_surname
VRDeck,4.441058206558227,74.8,181.69667053222656,drop_surname
HomePlanetMissing,4.386748790740967,3.8,318.7146850585938,drop_surname
GroupSize,4.282178020477295,64.2,198.95822448730468,drop_surname
CryoSleepMissing,4.217749786376953,10.4,465.2215209960938,drop_surname
VIP,4.1984038829803465,8.6,261.264404296875,drop_surname
FoodCourtMissing,4.191420030593872,8.6,451.7049865722656,drop_surname
MissingCount,3.8204896450042725,21.0,80.36113357543945,drop_surname
SpaMissing,3.5698230266571045,5.8,456.6488464355469,drop_surname
GroupMemberNo,3.5319143772125243,28.8,213.94178314208983,drop_surname
GroupMemberIsLeader,3.4773455619812013,4.0,191.3730041503906,drop_surname
IsSolo,3.3789745330810548,5.0,42.42829971313476,drop_surname
ShoppingMallMissing,3.346700429916382,8.6,348.80780029296875,drop_surname
DestinationMissing,3.2209197998046877,3.4,212.19967956542968,drop_surname
NameMissing,3.1163893222808836,5.4,368.06492919921874,drop_surname
AgeMissing,2.893322563171387,3.4,462.8271545410156,drop_surname
IsMultiPassengerGroup,2.385813093185425,1.6,51.537632369995116,drop_surname
HasAnyLuxurySpend,1.077348232269287,0.4,11.198811340332032,drop_surname
IsSenior,0.6442432403564453,0.2,6.737689971923828,drop_surname
CabinMissing,0.3091423034667969,0.2,8.319563293457032,drop_surname
CryoSleepSpendAnomaly,0.0,0.0,0.0,drop_surname
AgeWasOutOfRange,0.0,0.0,0.0,drop_surname
