feature,gain,weight,cover,view
IsZeroSpend,557.4787536621094,7.8,953.4977661132813,drop_vip
SpendCount,199.7124465942383,26.6,491.3953125,drop_vip
CryoSleep,37.006527709960935,66.0,470.36851196289064,drop_vip
LuxuryShare,34.28102416992188,132.8,339.57257080078125,drop_vip
RoomService,24.70388412475586,165.2,300.0118041992188,drop_vip
Deck,22.35697250366211,115.8,204.82467346191407,drop_vip
log1p_RoomService,21.186363220214844,72.2,336.85626831054685,drop_vip
HomePlanet,19.13018455505371,59.4,232.62544860839844,drop_vip
TotalSpend,16.42222309112549,80.6,188.77830352783204,drop_vip
LuxuryMinusBasic,16.155452728271484,127.8,312.25706176757814,drop_vip
Side,13.379032516479493,50.4,126.00460968017578,drop_vip
DeckSide,12.331182479858398,336.2,281.80340576171875,drop_vip
LuxurySpend,10.937031555175782,153.0,242.362109375,drop_vip
log1p_LuxurySpend,10.280064105987549,43.6,249.8219787597656,drop_vip
CabinNumBin,9.967160606384278,135.2,218.87589111328126,drop_vip
SpendPerActiveCategory,9.956371402740478,112.8,164.12359619140625,drop_vip
HomePlanetDestination,9.938978385925292,187.4,259.7388610839844,drop_vip
log1p_BasicSpend,9.738739490509033,17.6,130.3666763305664,drop_vip
FoodCourt,9.607550430297852,98.2,197.84000549316406,drop_vip
SpendPerGroupMember,9.421321582794189,77.8,152.95709533691405,drop_vip
log1p_TotalSpend,9.127975559234619,36.8,177.34606018066407,drop_vip
log1p_FoodCourt,8.918183135986329,35.2,228.85106811523437,drop_vip
BasicSpend,8.181818199157714,57.6,132.10619201660157,drop_vip
ShoppingMall,7.42438440322876,96.2,210.97655334472657,drop_vip
IsChild,6.53415060043335,3.8,121.21426315307617,drop_vip
log1p_SpendPerActiveCategory,6.298489952087403,28.8,156.46841278076172,drop_vip
CabinNum,6.229868316650391,301.0,196.44869079589844,drop_vip
log1p_ShoppingMall,6.198265647888183,33.8,176.0986083984375,drop_vip
AgeGroup,5.713735198974609,79.2,168.41846923828126,drop_vip
Destination,5.635983848571778,31.0,163.73328857421876,drop_vip
SpendPerAge,5.204204273223877,86.0,120.17857208251954,drop_vip
Age,5.1739325523376465,183.4,230.83907165527344,drop_vip
log1p_Spa,5.150714778900147,24.4,215.60753173828124,drop_vip
Spa,5.016218852996826,87.8,225.0035400390625,drop_vip
log1p_VRDeck,4.99065752029419,28.4,183.06362915039062,drop_vip
IsSolo,4.813322687149048,6.0,135.90428771972657,drop_vip
FoodCourtMissing,4.640690422058105,8.0,345.7262359619141,drop_vip
VRDeckMissing,4.556507301330567,11.4,447.06804809570315,drop_vip
SpaMissing,4.439864206314087,6.0,340.953564453125,drop_vip
GroupSize,4.397296953201294,60.2,203.87682189941407,drop_vip
VRDeck,4.3966930389404295,68.0,192.80821533203124,drop_vip
CryoSleepMissing,4.396295070648193,10.6,417.0275939941406,drop_vip
VIPMissing,4.389382076263428,5.4,275.038533782959,drop_vip
RoomServiceMissing,4.180074834823609,9.6,380.41501770019534,drop_vip
HomePlanetMissing,4.138178968429566,5.0,354.3535552978516,drop_vip
SurnameFreq,4.049478912353516,81.6,144.36011962890626,drop_vip
GroupMemberIsLeader,3.786731243133545,2.8,258.30320930480957,drop_vip
MissingCount,3.544489336013794,20.8,66.71876068115235,drop_vip
GroupMemberNo,3.4288132190704346,29.6,210.1622512817383,drop_vip
ShoppingMallMissing,3.3508893966674806,8.8,338.2124938964844,drop_vip
NameMissing,2.86535758972168,3.2,293.2884002685547,drop_vip
DestinationMissing,2.634850358963013,1.8,227.63003540039062,drop_vip
AgeMissing,2.025082731246948,3.4,297.3255676269531,drop_vip
IsMultiPassengerGroup,0.9769014358520508,0.8,24.547708892822264,drop_vip
HasAnyLuxurySpend,0.8079093933105469,0.6,4.590037155151367,drop_vip
CryoSleepSpendAnomaly,0.0,0.0,0.0,drop_vip
CabinMissing,0.0,0.0,0.0,drop_vip
IsSenior,0.0,0.0,0.0,drop_vip
AgeWasOutOfRange,0.0,0.0,0.0,drop_vip
