feature,gain,weight,cover,view
IsZeroSpend,336.5680877685547,6.2,830.8740112304688,full_common_native
SpendCount,161.54228973388672,30.0,399.2017883300781,full_common_native
CryoSleep,42.13541793823242,69.2,458.049609375,full_common_native
LuxuryShare,33.67375259399414,149.0,350.0501708984375,full_common_native
RoomService,23.77066078186035,176.4,310.2310729980469,full_common_native
Deck,23.064010620117188,128.4,195.48133239746093,full_common_native
log1p_RoomService,19.968754005432128,71.8,331.4849609375,full_common_native
log1p_TotalSpend,19.906803798675536,42.8,160.6115692138672,full_common_native
TotalSpend,19.06345729827881,109.0,200.46866455078126,full_common_native
SpendPerGroupMember,15.22489948272705,97.4,155.86859130859375,full_common_native
LuxuryMinusBasic,14.59690456390381,150.4,313.0303588867188,full_common_native
Side,14.225762939453125,51.4,117.04600067138672,full_common_native
HomePlanet,12.305739974975586,61.2,213.7511779785156,full_common_native
DeckSide,11.083132362365722,376.2,281.3397216796875,full_common_native
log1p_SpendPerActiveCategory,9.918008995056152,42.2,174.24915466308593,full_common_native
SpendPerActiveCategory,9.69667558670044,110.6,165.77588500976563,full_common_native
CabinNumBin,9.627924633026122,146.2,228.2828796386719,full_common_native
LuxurySpend,9.266011238098145,147.8,243.17422180175782,full_common_native
HomePlanetDestination,9.063535118103028,227.6,255.40777587890625,full_common_native
FoodCourt,8.686008071899414,111.6,197.44179992675782,full_common_native
BasicSpend,7.345664978027344,62.2,115.65315551757813,full_common_native
log1p_LuxurySpend,7.212915134429932,48.4,243.17565002441407,full_common_native
log1p_BasicSpend,7.193413543701172,21.8,138.92855224609374,full_common_native
Destination,6.877271556854248,30.0,185.1828369140625,full_common_native
IsChild,6.834306335449218,2.2,73.94658699035645,full_common_native
log1p_FoodCourt,6.635304355621338,43.8,209.61090698242188,full_common_native
ShoppingMall,6.218879890441895,109.4,207.26223449707032,full_common_native
CabinNum,5.828450870513916,335.8,200.3467803955078,full_common_native
log1p_ShoppingMall,5.6773632049560545,39.2,216.91294860839844,full_common_native
AgeGroup,5.469666004180908,96.0,154.8002166748047,full_common_native
SpendPerAge,5.1747355461120605,98.0,112.36496429443359,full_common_native
log1p_Spa,4.910439109802246,38.6,240.14325866699218,full_common_native
Spa,4.875048828125,98.6,218.34005737304688,full_common_native
VRDeckMissing,4.87088565826416,14.2,371.15537109375,full_common_native
log1p_VRDeck,4.829900741577148,34.8,192.02349090576172,full_common_native
Age,4.787265968322754,223.6,235.2542938232422,full_common_native
GroupSize,4.593881988525391,74.4,203.28119506835938,full_common_native
IsSolo,4.487913918495178,4.4,61.38277473449707,full_common_native
VIP,4.4840553283691404,10.6,280.01158752441404,full_common_native
FoodCourtMissing,4.473921537399292,9.6,346.13421325683595,full_common_native
VRDeck,4.4237161636352536,77.8,191.33436889648436,full_common_native
VIPMissing,4.377517604827881,5.2,281.73133239746096,full_common_native
ShoppingMallMissing,4.208882904052734,10.4,400.8792663574219,full_common_native
RoomServiceMissing,4.201329374313355,10.4,356.9776977539062,full_common_native
MissingCount,4.0464733123779295,24.4,70.10755729675293,full_common_native
SpaMissing,3.861943483352661,6.8,425.39402465820314,full_common_native
SurnameFreq,3.761283254623413,110.6,141.8039352416992,full_common_native
GroupMemberIsLeader,3.6504616260528566,4.0,218.7916572570801,full_common_native
CryoSleepMissing,3.6290322303771974,10.2,434.28760986328126,full_common_native
GroupMemberNo,3.514365816116333,36.0,213.08294677734375,full_common_native
NameMissing,3.229690504074097,2.2,299.87581329345704,full_common_native
HomePlanetMissing,2.9800648212432863,4.6,264.70145111083986,full_common_native
AgeMissing,2.7008973598480224,3.2,439.0673828125,full_common_native
IsMultiPassengerGroup,2.491014003753662,1.2,42.79762201309204,full_common_native
DestinationMissing,2.1196025371551515,2.6,244.91385498046876,full_common_native
HasAnyLuxurySpend,1.6518025875091553,0.4,37.585534286499026,full_common_native
CabinMissing,0.9189373970031738,0.4,3.084119510650635,full_common_native
IsSenior,0.8581647872924805,0.4,85.2812255859375,full_common_native
CryoSleepSpendAnomaly,0.0,0.0,0.0,full_common_native
AgeWasOutOfRange,0.0,0.0,0.0,full_common_native
