y_true,y_proba
0,0.6940417
1,0.33627132
0,0.023486393
0,0.020865196
1,0.34080538
1,0.15424824
1,0.74272794
1,0.7327122
1,0.31878802
1,0.97165084
1,0.97135466
1,0.9904507
1,0.30766708
0,0.39948487
1,0.660062
0,0.6708202
0,0.12597917
0,0.09736695
1,0.98436195
1,0.43886068
0,0.11951724
0,0.6667078
0,0.6642595
0,0.67640424
1,0.4099702
0,0.6755592
0,0.42120552
0,0.06917837
1,0.993515
0,0.16226642
0,0.251043
0,0.19260025
0,0.35168996
1,0.04915751
1,0.886652
1,0.20310485
1,0.97358483
0,0.08817988
0,0.20185377
0,0.010170397
0,0.5841846
1,0.5918959
0,0.012427258
0,0.5918959
1,0.5972699
1,0.58377725
0,0.120622136
1,0.98241425
0,0.12878938
0,0.17421381
0,0.007245776
1,0.8975828
1,0.75944394
1,0.9672513
1,0.8136318
0,0.72501475
0,0.05767721
0,0.4651158
1,0.983193
1,0.67640424
0,0.18085994
1,0.7327122
1,0.8215902
0,0.03076204
0,0.06272697
1,0.15069713
0,0.13471298
0,0.87669295
0,0.1436276
0,0.5550537
1,0.9989044
1,0.7465871
1,0.81660193
0,0.12583631
0,0.72501475
0,0.06928867
1,0.98241425
1,0.8681374
1,0.10474834
1,0.99426407
0,0.5761914
1,0.67403644
1,0.7212722
1,0.72700244
0,0.30377945
0,0.48553872
1,0.592701
1,0.58377725
0,0.36565468
0,0.5787322
1,0.97218966
0,0.5587588
1,0.53939915
1,0.8056877
0,0.12601763
1,0.6244163
1,0.7312924
0,0.7212722
0,0.13916385
0,0.068946116
0,0.71659535
0,0.32042322
1,0.5834839
0,0.021519579
0,0.026339428
1,0.24863859
1,0.976043
1,0.6504595
1,0.9944344
1,0.6901997
0,0.52193016
1,0.9731378
1,0.33792377
0,0.01831842
1,0.9343764
1,0.9828269
0,0.081226505
0,0.31612626
1,0.98268795
0,0.11801859
0,0.06348658
0,0.07959738
1,0.72088146
1,0.98462504
0,0.037345823
1,0.834878
0,0.44523713
1,0.59365255
0,0.05158023
1,0.9920156
1,0.58752847
0,0.036255833
0,0.60347015
1,0.61329246
0,0.57161325
1,0.7327122
0,0.15817936
1,0.72501475
0,0.58075464
0,0.1080932
0,0.021440098
1,0.97028786
1,0.97045976
1,0.5111586
0,0.72232914
1,0.98127764
1,0.98306316
0,0.12096874
0,0.5841846
0,0.093990184
1,0.72232914
1,0.58075464
1,0.42827073
0,0.1806088
0,0.028192757
0,0.028334478
1,0.54579526
0,0.4309229
1,0.41378346
0,0.06259608
1,0.9826388
1,0.4942932
0,0.20236038
1,0.72088146
0,0.21087754
0,0.72700244
1,0.58075464
0,0.4382933
0,0.088406116
1,0.98241425
0,0.09782692
1,0.88356334
1,0.22624739
0,0.13566704
0,0.56103295
1,0.5996881
0,0.7312924
1,0.58752847
1,0.99320966
1,0.9931278
1,0.9731846
1,0.2682466
1,0.99221486
0,0.16413128
1,0.86627364
0,0.592701
1,0.9612358
1,0.10344496
1,0.98436195
0,0.15928198
0,0.09077958
0,0.09354335
0,0.061352473
0,0.01746742
0,0.14246051
1,0.5918959
1,0.5996881
1,0.4249355
0,0.592701
0,0.21485285
0,0.073513396
0,0.41378346
1,0.5996881
0,0.15148789
0,0.046680402
0,0.075486064
1,0.67403644
0,0.052660834
0,0.07412729
0,0.66138387
0,0.26490662
1,0.98462504
1,0.6859543
0,0.662914
0,0.03380094
1,0.58075464
0,0.13384457
0,0.038115468
0,0.71659535
0,0.027616976
0,0.33042783
1,0.97045976
0,0.14760572
1,0.9799257
0,0.006929831
0,0.20265587
0,0.72501475
1,0.8586224
1,0.9862873
1,0.99337906
0,0.023702139
0,0.089548625
0,0.07758375
0,0.7312924
1,0.9924383
0,0.2731589
0,0.38378647
1,0.35689652
1,0.9533797
0,0.05304407
1,0.98306316
0,0.08157367
0,0.13320382
0,0.13923801
1,0.5972699
1,0.9751957
0,0.23924984
1,0.8861992
0,0.121807836
1,0.97358483
1,0.9145675
0,0.14567848
0,0.10572037
1,0.8955283
1,0.6511922
1,0.5841846
1,0.32558987
1,0.6102426
1,0.6102426
0,0.42770088
1,0.78898317
0,0.09685861
0,0.2742633
1,0.99426407
1,0.8012395
1,0.99301046
1,0.99352854
1,0.944448
1,0.87798953
1,0.9934502
1,0.34058753
1,0.9308853
0,0.8586224
0,0.041473147
1,0.71309346
0,0.0033684343
0,0.017458295
0,0.40605164
1,0.8613477
0,0.27034122
0,0.0053490587
1,0.16693006
1,0.58075464
1,0.11204296
1,0.4309229
0,0.032575104
1,0.665366
1,0.99624944
1,0.9924247
0,0.5722131
0,0.5599361
