y_true,y_proba
0,0.69926345
1,0.33914968
0,0.022898031
0,0.022075843
1,0.30727988
1,0.15044554
1,0.72396445
1,0.73530203
1,0.3114769
1,0.9736829
1,0.9720232
1,0.99042445
1,0.33119923
0,0.38480824
1,0.69051987
0,0.66963476
0,0.1224334
0,0.09707622
1,0.9835195
1,0.44217697
0,0.11289217
0,0.6717025
0,0.6639794
0,0.6735479
1,0.40589467
0,0.6740055
0,0.41227585
0,0.07442085
1,0.9937785
0,0.17771912
0,0.28704092
0,0.17620939
0,0.34057337
1,0.049620718
1,0.88569754
1,0.23041305
1,0.9759286
0,0.13692188
0,0.23284794
0,0.008339523
0,0.5828266
1,0.5916285
0,0.01316364
0,0.5916285
1,0.5960629
1,0.58325803
0,0.11599293
1,0.98311424
0,0.11830687
0,0.15796928
0,0.006264346
1,0.8868567
1,0.769144
1,0.9682615
1,0.80033094
0,0.7259608
0,0.056160334
0,0.48201206
1,0.98328775
1,0.6735479
0,0.18225874
1,0.73530203
1,0.8221502
0,0.02815775
0,0.06508249
1,0.16239725
0,0.1328622
0,0.8701008
0,0.13306111
0,0.6142269
1,0.9990374
1,0.7513386
1,0.8306488
0,0.11352094
0,0.7259608
0,0.07280001
1,0.98311424
1,0.8711479
1,0.10576349
1,0.9942368
0,0.60084194
1,0.67395765
1,0.7197221
1,0.72790056
0,0.3553579
0,0.4888037
1,0.59347874
1,0.58325803
0,0.37673047
0,0.5988057
1,0.97486997
0,0.6061953
1,0.5427037
1,0.81025517
0,0.13133307
1,0.653738
1,0.7321783
0,0.7197221
0,0.132442
0,0.0729247
0,0.7153506
0,0.3358924
1,0.5838771
0,0.023769205
0,0.028339675
1,0.23475128
1,0.9759615
1,0.65176004
1,0.99521905
1,0.6786289
0,0.5129138
1,0.97203785
1,0.36082548
0,0.017709652
1,0.9338387
1,0.9832025
0,0.106684506
0,0.31298068
1,0.9832054
0,0.10954908
0,0.06304724
0,0.080837876
1,0.72067064
1,0.98546857
0,0.029723369
1,0.8236583
0,0.44344845
1,0.59396964
0,0.045078147
1,0.9916835
1,0.58618134
0,0.033902735
0,0.6087091
1,0.64293975
0,0.57845014
1,0.73530203
0,0.16746758
1,0.7259608
0,0.58012426
0,0.112393335
0,0.018529087
1,0.9691066
1,0.9727683
1,0.49482432
0,0.7248639
1,0.9811725
1,0.98270375
0,0.14401862
0,0.5828266
0,0.07360731
1,0.7248639
1,0.58012426
1,0.4231853
0,0.16968367
0,0.03189253
0,0.031048823
1,0.5572239
0,0.42809203
1,0.41697052
0,0.06341293
1,0.9816877
1,0.45913202
0,0.20501523
1,0.72067064
0,0.2052216
0,0.72790056
1,0.58012426
0,0.4367036
0,0.08656088
1,0.98311424
0,0.09356259
1,0.88522965
1,0.24845588
0,0.13665257
0,0.555378
1,0.5987034
0,0.7321783
1,0.58618134
1,0.9926603
1,0.993002
1,0.972312
1,0.2691179
1,0.99233645
0,0.17425571
1,0.87261015
0,0.59347874
1,0.96270293
1,0.09891475
1,0.9835195
0,0.14632137
0,0.10668426
0,0.11041133
0,0.066893384
0,0.01580735
0,0.14722094
1,0.5916285
1,0.5987034
1,0.4279578
0,0.59347874
0,0.24182406
0,0.077961564
0,0.41697052
1,0.5987034
0,0.14489143
0,0.049297348
0,0.08591506
1,0.67395765
0,0.05715724
0,0.072190516
0,0.6580406
0,0.2551186
1,0.98546857
1,0.690522
0,0.66765136
0,0.03440628
1,0.58012426
0,0.13339616
0,0.040656716
0,0.7153506
0,0.030128129
0,0.2921087
1,0.9727683
0,0.12830992
1,0.9786284
0,0.0064926143
0,0.1928838
0,0.7259608
1,0.8595602
1,0.9861799
1,0.99364305
0,0.021120168
0,0.089185596
0,0.06947422
0,0.7321783
1,0.9922758
0,0.24966897
0,0.37921536
1,0.3932198
1,0.9504686
0,0.047806554
1,0.98270375
0,0.08167041
0,0.13370779
0,0.1255612
1,0.5960629
1,0.9766009
0,0.24226475
1,0.9112604
0,0.11270912
1,0.9759286
1,0.9171577
0,0.14810966
0,0.10233569
1,0.8802085
1,0.6726932
1,0.5828266
1,0.370465
1,0.6052411
1,0.6052411
0,0.39457604
1,0.7870225
0,0.11429929
0,0.29535133
1,0.9942368
1,0.78513914
1,0.99305034
1,0.9934783
1,0.94330335
1,0.8304036
1,0.99342465
1,0.32446742
1,0.93545496
0,0.8595602
0,0.040668957
1,0.7088944
0,0.0033850828
0,0.015929712
0,0.40579692
1,0.86325413
0,0.23298085
0,0.004775048
1,0.15596311
1,0.58012426
1,0.13517772
1,0.42809203
0,0.03889372
1,0.681046
1,0.995282
1,0.99326915
0,0.57591695
0,0.5598865
0,0.21998131
0,0.7153506
0,0.5828266
0,0.7321783
1,0.34714857
1,0.95154
1,0.9959453
0,0.752453
0,0.11446229
1,0.98212504
0,0.009963296
0,0.049300555
1,0.9830646
1,0.01744
1,0.921314
1,0.7259608
1,0.9926603
0,0.5828266
0,0.17295055
0,0.690522
1,0.58618134
0,0.39263988
1,0.98828983
1,0.5221043
1,0.5960629
0,0.54152554
1,0.81144696
1,0.9720232
0,0.20174724
1,0.72388136
1,0.7248639
0,0.20832376
0,0.11167543
1,0.19884765
0,0.058948968
0,0.17698297
1,0.9803954
1,0.34449017
0,0.09452962
1,0.9803954
0,0.026383772
0,0.58012426
0,0.239683
1,0.5853898
0,0.06592542
0,0.0072652292
1,0.99357796
0,0.015119463
1,0.99215925
1,0.99215925
0,0.19275743
1,0.99305034
1,0.47483608
1,0.8185202
1,0.972312
1,0.96680963
0,0.10173377
0,0.00729661
0,0.72219294
1,0.5838771
1,0.661399
0,0.1623403
0,0.59347874
0,0.7321783
0,0.13264939
1,0.8593376
0,0.06561388
0,0.022574693
0,0.018546976
1,0.72067064
1,0.9862396
0,0.013148894
0,0.19733468
0,0.14038137
1,0.9738433
1,0.3168972
0,0.11222559
0,0.016157428
0,0.08592938
0,0.5987034
0,0.019064685
0,0.8418427
0,0.056204356
0,0.16639781
1,0.9093427
0,0.14290363
0,0.72790056
1,0.972312
0,0.008383164
1,0.97054684
1,0.9733244
0,0.10020055
1,0.9786284
1,0.97906107
1,0.36224586
1,0.3853421
1,0.98941326
1,0.94694877
1,0.6561454
1,0.98076355
0,0.061034337
1,0.971312
0,0.0016710239
1,0.98768425
1,0.72219294
1,0.55760443
0,0.15482602
0,0.06462208
0,0.58082944
1,0.99288225
0,0.3969994
0,0.055743966
0,0.61780924
0,0.082083166
0,0.19182193
0,0.047318343
0,0.054885335
1,0.9691066
1,0.8312775
0,0.06801412
1,0.5960629
1,0.72790056
1,0.6639794
1,0.9926603
1,0.81144696
1,0.99215925
1,0.91919947
1,0.993002
1,0.9934783
0,0.2151373
1,0.37177396
0,0.58618134
0,0.4470612
1,0.9695995
0,0.26114908
1,0.7248639
1,0.90541655
1,0.12937991
1,0.57413155
0,0.7828394
0,0.1342152
0,0.26280272
0,0.027908802
1,0.75754386
0,0.43285397
0,0.8595602
1,0.9861799
1,0.98657644
0,0.00313902
1,0.99608886
0,0.27349868
1,0.72388136
0,0.026292019
0,0.20379317
1,0.9835195
1,0.9786284
0,0.059362702
0,0.1676679
1,0.7321783
0,0.07658558
0,0.14215098
0,0.03975505
0,0.02576582
0,0.5828266
1,0.7197221
1,0.7911801
1,0.9934783
1,0.9832054
0,0.44196197
1,0.50457233
0,0.4078116
0,0.27511808
1,0.91083777
0,0.14493594
0,0.034396395
1,0.99305034
1,0.99326915
1,0.99376017
0,0.7098843
1,0.993002
1,0.99305034
1,0.98657644
1,0.55760443
1,0.98715055
1,0.9939114
1,0.9710981
1,0.5960629
1,0.99215925
0,0.14457262
0,0.10042033
1,0.98553145
1,0.72790056
0,0.30578512
1,0.27664128
0,0.47284025
1,0.40694097
1,0.8185202
0,0.18128294
1,0.9862396
0,0.005318415
0,0.5916285
0,0.5987034
1,0.58325803
0,0.08106604
0,0.0034833928
0,0.14130478
0,0.08300749
1,0.45898604
1,0.97883624
1,0.97953516
1,0.9785165
1,0.97904265
0,0.02140617
1,0.9832054
0,0.07556212
0,0.12103418
0,0.13264564
0,0.20867364
0,0.43451405
1,0.6052832
1,0.16401531
1,0.98546857
1,0.121578045
0,0.36277938
1,0.9920873
1,0.9816877
1,0.95456225
1,0.97797954
0,0.09142016
1,0.80900544
0,0.8095857
0,0.61000234
1,0.56418955
1,0.060683616
0,0.27928957
0,0.35432437
1,0.9720232
1,0.97187376
0,0.00819231
0,0.26667523
1,0.67395765
1,0.72219294
0,0.12957013
1,0.9710981
1,0.5003477
1,0.95073956
1,0.97883624
0,0.9816877
1,0.9769587
1,0.9813534
1,0.97904265
0,0.03842558
1,0.9785165
0,0.029023748
0,0.28877655
1,0.62273836
0,0.7602127
0,0.15284207
1,0.6158614
0,0.40225318
1,0.5987034
0,0.25771898
1,0.98212504
1,0.98768425
1,0.98270375
1,0.98768425
1,0.9828188
1,0.9786284
0,0.060468066
1,0.96337795
0,0.035182595
0,0.59347874
0,0.21256894
0,0.044350937
0,0.72219294
0,0.023672922
0,0.56258845
0,0.06262017
1,0.51293063
1,0.58325803
0,0.5960629
0,0.73530203
1,0.8711479
1,0.8711479
0,0.43321818
1,0.9835195
1,0.9930449
1,0.98212504
0,0.3489911
1,0.97906107
0,0.08008963
0,0.017665925
0,0.71712387
0,0.1930419
1,0.4341865
0,0.31262004
0,0.14210215
1,0.73530203
1,0.97054684
1,0.56418955
0,0.72067064
1,0.5598865
1,0.7321783
1,0.5824793
0,0.16771525
1,0.9942368
1,0.9932162
1,0.72790056
1,0.021410065
0,0.059932582
1,0.9862396
1,0.9832054
0,0.14180547
0,0.08994166
1,0.91563815
0,0.05198073
0,0.036221337
0,0.05958074
0,0.469539
1,0.971312
1,0.5790795
0,0.027756644
1,0.92014664
1,0.9065757
0,0.7052723
1,0.99233645
1,0.9924966
1,0.18693832
1,0.65361756
0,0.075102374
1,0.99218965
1,0.98768425
1,0.98270375
0,0.6935291
1,0.7248639
1,0.690522
1,0.09711042
0,0.030706413
1,0.6644778
0,0.4942285
0,0.4464109
1,0.7259608
0,0.7153506
0,0.5577301
1,0.107643254
0,0.0033284936
1,0.98617435
0,0.17192852
0,0.13124059
0,0.03883828
1,0.58618134
0,0.04105919
0,0.72388136
0,0.72067064
0,0.72219294
0,0.17400742
0,0.58012426
0,0.59347874
0,0.58618134
1,0.98657644
0,0.1481874
1,0.8797882
1,0.86714876
1,0.98076355
0,0.22963427
1,0.9835195
0,0.060480453
0,0.023877341
0,0.080124535
1,0.99326915
1,0.9862396
0,0.3990571
0,0.43564168
1,0.6740055
1,0.810669
0,0.066742934
1,0.37414467
1,0.41960394
1,0.98546857
0,0.06192083
1,0.97441745
0,0.31819844
1,0.7197221
1,0.58012426
1,0.4564451
1,0.7197221
1,0.89209
1,0.9578245
1,0.8004787
0,0.074789256
0,0.008532971
1,0.97235286
0,0.053988427
1,0.58618134
0,0.44114792
1,0.51094365
0,0.59396964
0,0.58618134
1,0.59347874
1,0.5960629
1,0.81144696
0,0.08983368
0,0.35367936
0,0.044673678
0,0.5960629
1,0.18271656
1,0.28360066
1,0.50715846
0,0.7207788
0,0.06594268
0,0.0237943
0,0.3393204
0,0.9751183
1,0.98076355
0,0.014720942
1,0.97797954
0,0.1801889
1,0.7153506
0,0.72790056
0,0.12807992
1,0.9472058
0,0.025418159
1,0.83026564
1,0.96447974
1,0.9934783
0,0.02152575
1,0.99361885
0,0.049316883
1,0.98493445
0,0.7321783
0,0.7153506
1,0.13023275
0,0.13347784
0,0.29586035
0,0.11323331
1,0.97054684
1,0.99326915
0,0.72790056
0,0.47054073
0,0.7197221
0,0.73530203
1,0.5598865
1,0.72388136
0,0.5828266
0,0.005073989
1,0.6735479
1,0.6740055
1,0.40589467
0,0.3862722
1,0.5261698
0,0.7507333
0,0.08630529
0,0.15716209
1,0.98076355
1,0.99218965
0,0.04689926
1,0.5828266
0,0.5960629
0,0.12622352
0,0.110277615
0,0.015806325
1,0.9465162
1,0.72388136
0,0.5828266
0,0.05588378
1,0.98546857
1,0.98546857
0,0.09730092
1,0.9759286
0,0.24271294
1,0.98270375
0,0.18344367
1,0.9830646
1,0.7557414
0,0.11040372
1,0.57591695
0,0.2886942
1,0.92090404
0,0.2724714
0,0.07128849
1,0.9194938
0,0.06578397
1,0.98768425
1,0.9194938
1,0.98212504
0,0.39383906
0,0.00939642
0,0.58618134
1,0.94319123
1,0.5785111
1,0.6873281
0,0.31285074
1,0.4601091
1,0.72388136
1,0.7625663
0,0.1833676
1,0.58012426
1,0.41460106
0,0.13485762
1,0.24090742
1,0.9861232
1,0.18980859
1,0.81144696
0,0.053351916
0,0.31449977
0,0.3744352
0,0.04979068
0,0.2490535
0,0.24074791
0,0.73530203
1,0.9832025
1,0.9803954
1,0.9408616
1,0.99215925
1,0.6580406
0,0.15447915
1,0.9487851
1,0.7153506
0,0.13422295
0,0.7321783
0,0.57591695
0,0.7197221
1,0.99361885
1,0.99361885
0,0.5873856
1,0.72219294
0,0.49348044
0,0.35750696
1,0.97392356
0,0.008196348
0,0.73810077
0,0.57591695
0,0.83092004
1,0.97611165
0,0.19938605
0,0.09185743
0,0.038360037
0,0.03778242
0,0.72219294
1,0.72067064
0,0.84918934
1,0.9974921
0,0.36813816
1,0.58463
0,0.57748723
1,0.33478743
0,0.58618134
1,0.9629145
1,0.2700535
0,0.5934759
0,0.29830435
0,0.16903311
1,0.6567416
0,0.027946005
0,0.26716304
1,0.7248639
0,0.055886183
1,0.15229307
1,0.987822
0,0.004877766
0,0.23102823
0,0.07939995
0,0.063146055
0,0.72388136
1,0.972312
0,0.16099375
1,0.9122937
1,0.9926603
0,0.581794
0,0.31117278
1,0.9828188
1,0.97906107
1,0.9854637
0,0.05975274
0,0.35435742
1,0.58463
0,0.06700642
1,0.59396964
1,0.07606447
1,0.810669
1,0.6849064
0,0.02769859
0,0.03688609
0,0.19706944
1,0.92224574
1,0.56258845
1,0.6217484
1,0.17141312
0,0.08912465
0,0.19153054
0,0.06130628
0,0.4341865
1,0.0700884
0,0.32901484
1,0.59396964
1,0.7248639
0,0.3419925
0,0.120602965
0,0.7321783
1,0.9386827
1,0.98076355
0,0.17554095
1,0.73429304
1,0.9727683
1,0.9691066
0,0.049932018
0,0.09082624
0,0.08266966
1,0.9803954
1,0.58463
0,0.59347874
0,0.07384962
1,0.864998
0,0.72790056
0,0.2870749
1,0.96952754
1,0.58618134
0,0.4341865
1,0.72790056
0,0.18871793
0,0.7644645
0,0.45398983
1,0.72219294
0,0.19828808
1,0.73530203
0,0.7321783
1,0.7153506
1,0.5896182
0,0.11641648
0,0.87704873
1,0.11786601
0,0.43823817
0,0.54390776
0,0.60319096
1,0.80212307
0,0.015067045
1,0.20978887
0,0.0874161
1,0.9740845
0,0.008987598
0,0.10005761
0,0.7197221
0,0.16636142
1,0.97953516
0,0.6645484
1,0.9790028
0,0.10408524
0,0.7248639
1,0.92733824
0,0.17420608
1,0.98768425
1,0.95876634
0,0.04417538
0,0.1243786
1,0.6580406
1,0.47059193
1,0.9922794
1,0.9924966
0,0.06083352
0,0.58325803
1,0.5916285
0,0.7259608
1,0.9786284
0,0.16328181
0,0.14154597
1,0.58325803
1,0.8830731
1,0.97906107
0,0.07894643
0,0.032069836
1,0.58325803
0,0.015086027
0,0.4341865
0,0.20151336
0,0.7197221
1,0.8595513
0,0.16896082
0,0.102600574
1,0.8753756
1,0.9828188
0,0.12055624
0,0.16092527
0,0.58012426
