y_true,y_proba
0,0.70078385
1,0.37846753
0,0.025119428
0,0.021037975
1,0.33372957
1,0.15027297
1,0.73754096
1,0.73298156
1,0.317841
1,0.97166604
1,0.9708924
1,0.99042493
1,0.2938324
0,0.4109884
1,0.6525722
0,0.69477993
0,0.1251214
0,0.09861697
1,0.9843961
1,0.44015878
0,0.102448486
0,0.66674
0,0.6654967
0,0.6767721
1,0.40133554
0,0.6768183
0,0.419442
0,0.069177404
1,0.9934608
0,0.16183904
0,0.24188654
0,0.18935913
0,0.37861925
1,0.051013123
1,0.88731366
1,0.20177665
1,0.9725312
0,0.08435702
0,0.20997739
0,0.011435834
0,0.58450747
1,0.59264576
0,0.012317782
0,0.59264576
1,0.5972084
1,0.58320487
0,0.12242053
1,0.9813684
0,0.13003862
0,0.18430915
0,0.00777067
1,0.90244675
1,0.76057374
1,0.9657577
1,0.79434526
0,0.7238959
0,0.05179127
0,0.48248178
1,0.98300487
1,0.6767721
0,0.1926305
1,0.73298156
1,0.82483995
0,0.031188428
0,0.066160865
1,0.1537286
0,0.1290332
0,0.8877078
0,0.14279024
0,0.55877155
1,0.99895775
1,0.7476387
1,0.8196109
0,0.12755135
0,0.7238959
0,0.066933505
1,0.9813684
1,0.8683001
1,0.112489805
1,0.99420804
0,0.55293655
1,0.677505
1,0.72163373
1,0.7270842
0,0.3138173
0,0.47127715
1,0.59080064
1,0.58320487
0,0.37872064
0,0.56391734
1,0.9717806
0,0.59142214
1,0.5427312
1,0.80711746
0,0.13027945
1,0.6329072
1,0.72997296
0,0.72163373
0,0.14337039
0,0.06934068
0,0.71622527
0,0.31844854
1,0.58311886
0,0.021390777
0,0.027790004
1,0.2666614
1,0.9775421
1,0.65234387
1,0.9944736
1,0.65340286
0,0.53308845
1,0.97352934
1,0.32922798
0,0.019507626
1,0.93643683
1,0.98336184
0,0.0823406
0,0.32350916
1,0.9830942
0,0.11712245
0,0.06116765
0,0.080273904
1,0.7198303
1,0.9844753
0,0.033145167
1,0.84398395
0,0.46177632
1,0.59391886
0,0.04808133
1,0.9918488
1,0.58750224
0,0.03648615
0,0.6067873
1,0.6259616
0,0.57012856
1,0.73298156
0,0.16930105
1,0.7238959
0,0.5795113
0,0.11882088
0,0.023159888
1,0.97085315
1,0.970977
1,0.5286368
0,0.72149336
1,0.9821221
1,0.9831163
0,0.11147896
0,0.58450747
0,0.09890141
1,0.72149336
1,0.5795113
1,0.4117001
0,0.17499897
0,0.028805971
0,0.024289219
1,0.528658
0,0.42721206
1,0.4121254
0,0.06197368
1,0.98297846
1,0.52603465
0,0.19723365
1,0.7198303
0,0.15725307
0,0.7270842
1,0.5795113
0,0.43786198
0,0.0901642
1,0.9813684
0,0.09740063
1,0.8842621
1,0.21250045
0,0.13159394
0,0.5493275
1,0.59847146
0,0.72997296
1,0.58750224
1,0.9931282
1,0.9932448
1,0.97323436
1,0.25619462
1,0.9923874
0,0.158937
1,0.8609678
