y_true,y_proba
0,0.51814497
1,0.2926473
0,0.020479223
0,0.026597241
1,0.22072503
1,0.17742941
1,0.80542755
1,0.6439044
1,0.32328147
1,0.96775043
1,0.9702837
1,0.98534346
1,0.27986425
0,0.20981796
1,0.6678909
0,0.6288056
0,0.08170067
0,0.089569405
1,0.9832198
1,0.31922054
0,0.102051936
0,0.47241282
0,0.49370894
0,0.44720903
1,0.256342
0,0.4487675
0,0.4117848
0,0.08191262
1,0.9879004
0,0.20091371
0,0.3231507
0,0.14947572
0,0.3396592
1,0.07379919
1,0.9294356
1,0.3446375
1,0.9383832
0,0.19009191
0,0.12549226
0,0.025326505
0,0.6569551
1,0.63091016
0,0.017861914
0,0.74600476
1,0.684716
1,0.67859364
0,0.059727877
1,0.990075
0,0.10682595
0,0.16099995
0,0.011888334
1,0.90090084
1,0.7861699
1,0.96871793
1,0.87142247
0,0.66386586
0,0.13579229
0,0.32269058
1,0.9883593
1,0.7723881
0,0.105922684
1,0.62303865
1,0.7822808
0,0.04885217
0,0.078361176
1,0.059031915
0,0.14130151
0,0.91656685
0,0.09762506
0,0.6216507
1,0.99584895
1,0.55511034
1,0.73363453
0,0.16086504
0,0.6642294
0,0.11008004
1,0.9905297
1,0.91029435
1,0.05927808
1,0.9914297
0,0.47550297
1,0.7156582
1,0.58577
1,0.6682366
0,0.42407212
0,0.48783475
1,0.7485758
1,0.68246377
0,0.27703753
0,0.68033445
1,0.9526018
0,0.7189425
1,0.74709284
1,0.78641033
0,0.095527925
1,0.6318925
1,0.64755803
0,0.70445967
0,0.08639766
0,0.040597923
0,0.65236413
0,0.28484702
1,0.3943215
0,0.030608108
0,0.04392629
1,0.24540398
1,0.98209894
1,0.7137988
1,0.993399
1,0.70511496
0,0.31735954
1,0.97113144
1,0.2512587
0,0.049621724
1,0.90731746
1,0.98041105
0,0.024465475
0,0.30146447
1,0.9801482
0,0.13244648
0,0.07512939
0,0.07191508
1,0.4738411
1,0.9875795
0,0.024803128
1,0.76263076
0,0.37191322
1,0.6977616
0,0.034732413
1,0.9862291
1,0.6424902
0,0.038430512
0,0.443216
1,0.48801184
0,0.23260398
1,0.5430819
0,0.052747596
1,0.5539463
0,0.5761419
0,0.052989226
0,0.019435849
1,0.9812914
1,0.98080015
1,0.5761836
0,0.6656774
1,0.981531
1,0.9821429
0,0.0543587
0,0.6220771
0,0.083321586
1,0.53915757
1,0.56072325
1,0.37426573
0,0.12027528
0,0.04139424
0,0.026369542
1,0.44106555
0,0.50106496
1,0.39686728
0,0.017158125
1,0.9654482
1,0.27647987
