y_true,y_proba
0,0.53959143
1,0.30178067
0,0.022353893
0,0.030289015
1,0.25868207
1,0.17907685
1,0.8364681
1,0.64832866
1,0.3456944
1,0.96836567
1,0.96646523
1,0.9869645
1,0.27840993
0,0.15723316
1,0.62496454
0,0.6323004
0,0.098994784
0,0.09795449
1,0.9845524
1,0.29270205
0,0.097572275
0,0.47453597
0,0.48311913
0,0.4506708
1,0.23504993
0,0.45053652
0,0.4234675
0,0.09327057
1,0.98805827
0,0.19400153
0,0.30969787
0,0.14206365
0,0.34919685
1,0.056615993
1,0.92768043
1,0.33857828
1,0.9364722
0,0.14850125
0,0.12965846
0,0.020774752
0,0.6625586
1,0.6233029
0,0.014409195
0,0.74536985
1,0.69268125
1,0.6719358
0,0.061237738
1,0.9901383
0,0.11568681
0,0.15423514
0,0.010903655
1,0.9067552
1,0.7930074
1,0.9715066
1,0.8828072
0,0.6541832
0,0.14427601
0,0.3437066
1,0.98769265
1,0.7836124
0,0.09146641
1,0.6248728
1,0.80732113
0,0.055806305
0,0.08602863
1,0.06489127
0,0.11893929
0,0.9271052
0,0.095997535
0,0.5979417
1,0.99624985
1,0.6206147
1,0.77057564
0,0.17206328
0,0.6541832
0,0.13006574
1,0.991155
1,0.9206472
1,0.058317054
1,0.99075365
0,0.51983213
1,0.7091992
1,0.5724137
1,0.65447444
0,0.42276388
0,0.41991985
1,0.7483635
1,0.6742787
0,0.2976695
0,0.6921757
1,0.945559
0,0.74329793
1,0.75878006
1,0.76490414
0,0.10165076
1,0.6639413
1,0.63413
0,0.6924419
0,0.077468105
0,0.040223893
0,0.64751655
0,0.25114727
1,0.42219698
0,0.03612409
0,0.038967818
1,0.27880642
1,0.98249143
1,0.71870387
1,0.9931288
1,0.72104126
0,0.37696218
1,0.9740184
1,0.24513946
0,0.05322734
1,0.89903647
1,0.980168
0,0.020991025
0,0.34270024
1,0.97995424
0,0.11183785
0,0.070280835
0,0.07628927
1,0.48040104
1,0.98845494
0,0.023935864
1,0.78655016
0,0.41132712
1,0.6926706
0,0.029705755
1,0.98579687
1,0.6643377
0,0.032515787
0,0.42483366
1,0.413881
0,0.23376796
1,0.5469323
0,0.055705026
1,0.55420864
0,0.58992183
0,0.045083523
0,0.018730504
1,0.9786431
1,0.9804967
1,0.4608083
0,0.64903146
1,0.9819292
1,0.98183686
0,0.050491605
0,0.6269288
0,0.07055523
1,0.5317973
1,0.57265425
1,0.36821076
0,0.11940011
0,0.03914286
0,0.025434015
1,0.40497455
0,0.5101779
1,0.4036328
0,0.017805992
1,0.96196973
1,0.31182206
0,0.06767253
1,0.51668334
0,0.2027466
0,0.59728414
1,0.64282715
0,0.5578979
0,0.14934328
1,0.9896824
0,0.16247296
1,0.9274369
1,0.215078
0,0.093442366
0,0.5970513
1,0.51522547
0,0.5990727
1,0.5225726
1,0.9945017
1,0.99321634
1,0.98003197
1,0.18635441
1,0.9888361
0,0.054019094
1,0.85256875
0,0.63144827
1,0.96263045
1,0.06393645
1,0.98850495
0,0.1876099
0,0.09717936
0,0.17713907
0,0.077908844
0,0.02016206
0,0.08082503
1,0.4900695
1,0.39679733
1,0.30751804
0,0.56449366
0,0.28066495
0,0.033090625
0,0.39661792
1,0.39679733
0,0.08236607
0,0.050895274
0,0.07758603
1,0.32140622
0,0.06884398
0,0.08780022
0,0.5234133
0,0.22596851
1,0.9897133
1,0.75921434
0,0.5111517
0,0.07680099
1,0.5478193
0,0.11108084
0,0.06456398
0,0.5770776
0,0.06365391
0,0.4950043
1,0.9668988
0,0.12414355
1,0.98073155
0,0.009135577
0,0.35840666
0,0.5177008
1,0.90268236
1,0.9892191
1,0.9885512
0,0.032729633
0,0.10656825
0,0.081649505
0,0.6169317
1,0.9885106
0,0.44684482
0,0.4827629
1,0.23334259
1,0.9458231
0,0.03789426
1,0.9879453
0,0.050810933
0,0.1511704
0,0.08442041
1,0.5917661
1,0.9720168
0,0.25209248
1,0.89498866
0,0.07542128
1,0.9644011
1,0.9370024
0,0.14714682
0,0.035251215
1,0.93847686
1,0.613559
1,0.6930761
1,0.4790385
1,0.7241624
1,0.7241624
0,0.6036875
1,0.8422124
0,0.06947604
0,0.22709449
1,0.99075365
1,0.6550688
1,0.9942211
1,0.99329174
1,0.9702196
1,0.88206893
1,0.99175465
1,0.6289814
1,0.91920006
0,0.86106724
0,0.05341149
1,0.54361725
0,0.005100162
0,0.026623167
0,0.27877468
1,0.8870537
0,0.18654537
0,0.008073738
1,0.6074846
1,0.69567716
1,0.1490888
1,0.63069236
0,0.05093214
1,0.57835424
