y_true,y_proba
0,0.5083712
1,0.31728968
0,0.021603888
0,0.029171988
1,0.20286097
1,0.1732908
1,0.8019083
1,0.63687176
1,0.3154564
1,0.9673551
1,0.97239614
1,0.98182565
1,0.29391423
0,0.18326263
1,0.6476806
0,0.660553
0,0.068778135
0,0.08606564
1,0.9830076
1,0.30246505
0,0.11244521
0,0.45422158
0,0.49183917
0,0.43905154
1,0.24962534
0,0.463217
0,0.42207322
0,0.08504861
1,0.9880717
0,0.22015452
0,0.31513038
0,0.14032307
0,0.33408937
1,0.07003947
1,0.93074507
1,0.34042406
1,0.93845105
0,0.19643874
0,0.12158101
0,0.029322192
0,0.66062117
1,0.6338139
0,0.018935641
0,0.736617
1,0.6661976
1,0.6704698
0,0.060814127
1,0.9897755
0,0.112613834
0,0.1539327
0,0.011858768
1,0.9056926
1,0.79358166
1,0.9720866
1,0.86618215
0,0.65585154
0,0.13165188
0,0.31520453
1,0.9881535
1,0.7806082
0,0.0976891
1,0.6182673
1,0.7863207
0,0.04561672
0,0.07068995
1,0.0584747
0,0.13265003
0,0.91729194
0,0.09344994
0,0.6240781
1,0.996028
1,0.5414876
1,0.7258664
0,0.15816522
0,0.6575718
0,0.116865486
1,0.99104863
1,0.90921426
1,0.06828803
1,0.9908212
0,0.4397477
1,0.7143144
1,0.57612115
1,0.67350715
0,0.4018216
0,0.49498805
1,0.75333214
1,0.67558414
0,0.28858116
0,0.6963098
1,0.9591062
0,0.6486502
1,0.7478778
1,0.7855422
0,0.08539734
1,0.6600824
1,0.63379025
0,0.7034919
0,0.08903179
0,0.04159645
0,0.6604734
0,0.27438715
1,0.39199615
0,0.037726868
0,0.040183365
1,0.27283475
1,0.98157805
1,0.71692103
1,0.993409
1,0.7143685
0,0.3353847
1,0.97155875
1,0.30767083
0,0.055434447
1,0.9104206
1,0.97955847
0,0.024055565
0,0.3382531
1,0.98138094
0,0.12566257
0,0.069234945
0,0.080088384
1,0.47486356
1,0.98744327
0,0.026315806
1,0.7671464
0,0.39277378
1,0.6915371
0,0.031235525
1,0.9868637
1,0.6488232
0,0.039898973
0,0.42656055
1,0.46183655
0,0.24154972
1,0.53928185
0,0.05552507
1,0.54516804
0,0.5776352
0,0.05773604
0,0.02048164
1,0.9815534
1,0.98029596
1,0.5838961
0,0.6609592
1,0.98238486
1,0.98312473
0,0.059114803
0,0.6230585
0,0.08406341
1,0.5320274
1,0.5648462
1,0.35632893
0,0.119638175
0,0.03565034
0,0.028911954
1,0.43587503
0,0.4988524
1,0.4039574
0,0.017125385
1,0.9642923
1,0.29215232
0,0.07713013
1,0.5252581
0,0.21682149
0,0.59752107
1,0.6333026
0,0.548734
0,0.14492895
1,0.9892781
0,0.18046783
1,0.92400694
1,0.17314996
0,0.09992865
0,0.499583
