y_true,y_proba
0,0.5373985
1,0.37401628
0,0.022326097
0,0.019859286
1,0.34076595
1,0.15422149
1,0.7501921
1,0.76397794
1,0.35044694
1,0.975128
1,0.9779442
1,0.9834501
1,0.41452765
0,0.43516716
1,0.6236601
0,0.66876125
0,0.13379546
0,0.09865892
1,0.9839838
1,0.413412
0,0.11641414
0,0.51254207
0,0.5501148
0,0.5026142
1,0.45669994
0,0.4999318
0,0.5361868
0,0.06844611
1,0.99219847
0,0.15314096
0,0.33282378
0,0.24264713
0,0.3391597
1,0.03994307
1,0.93354565
1,0.2036751
1,0.96867687
0,0.08647809
0,0.19953841
0,0.011346783
0,0.5923653
1,0.5813628
0,0.015045837
0,0.6322096
1,0.6348625
1,0.6128002
0,0.104502074
1,0.98427755
0,0.1330206
0,0.1934805
0,0.008318867
1,0.89169246
1,0.8500328
1,0.971333
1,0.86765116
0,0.72352546
0,0.0719388
0,0.46550322
1,0.9820288
1,0.6832549
0,0.20127352
1,0.74129754
1,0.86569405
0,0.036186066
0,0.07597186
1,0.15298022
0,0.13455908
0,0.8976536
0,0.1415409
0,0.53893024
1,0.99887675
1,0.73948956
1,0.809714
0,0.110057525
0,0.72352546
0,0.08132761
1,0.9871159
1,0.920558
1,0.119520605
1,0.9931056
0,0.59256196
1,0.7045153
1,0.72044414
1,0.7591863
0,0.26868752
0,0.40264857
1,0.6424914
1,0.6128002
0,0.37357268
0,0.59204835
1,0.97470164
0,0.51048154
1,0.6132397
1,0.7989256
0,0.12932672
1,0.78655225
1,0.75596005
0,0.75427985
0,0.16004269
0,0.067763574
0,0.74471444
0,0.31595492
1,0.6276469
0,0.023432173
0,0.03316829
1,0.2660186
1,0.98364097
1,0.67472833
1,0.99240106
1,0.6744006
0,0.5547929
1,0.97274303
1,0.34553012
0,0.022484282
1,0.93779343
1,0.9804178
0,0.07109785
0,0.30428505
1,0.9816831
0,0.120682426
0,0.061111793
0,0.06925796
1,0.7165409
1,0.98597354
0,0.026679462
1,0.8027246
0,0.46295515
1,0.6367984
0,0.043800365
1,0.99036574
1,0.6548801
0,0.037354473
0,0.43829253
1,0.58736295
0,0.42333972
1,0.73015714
0,0.19988136
1,0.72352546
0,0.57209677
0,0.105095595
0,0.022633256
1,0.97200704
1,0.97538537
1,0.5601829
0,0.7727912
1,0.9808015
1,0.98223394
0,0.12285485
0,0.5923653
0,0.099892795
1,0.7208392
1,0.57209677
1,0.41844985
0,0.16311401
0,0.02737535
0,0.021393247
1,0.4955699
0,0.49759677
1,0.47219935
0,0.060189154
1,0.9800849
1,0.50424784
0,0.2234451
1,0.7165409
0,0.20213197
0,0.7235159
1,0.6309423
0,0.5476867
0,0.09796711
1,0.9871159
0,0.122134626
1,0.9354628
1,0.21758996
0,0.14194237
0,0.6059296
1,0.59824777
0,0.7344784
1,0.5816024
1,0.9936628
1,0.993453
1,0.97843355
1,0.25855014
1,0.9919176
0,0.15498988
1,0.8912818
0,0.58901554
1,0.9581043
1,0.104895234
1,0.9866114
0,0.15430449
0,0.09138781
0,0.11866176
0,0.063104235
0,0.015303212
0,0.1552958
1,0.5813628
1,0.42801628
1,0.39503226
0,0.42837372
0,0.22161613
0,0.042498466
0,0.42914593
1,0.42801628
0,0.15019879
0,0.07904949
0,0.105147265
1,0.42896375
0,0.073002666
0,0.060065497
0,0.44190797
0,0.335021
1,0.98703957
1,0.7179486
0,0.6577212
0,0.035470765
1,0.57209677
0,0.13037278
0,0.039757717
0,0.72025186
0,0.030552438
0,0.38174033
1,0.96880096
0,0.1611069
1,0.9795005
0,0.0084042745
0,0.2639946
0,0.72352546
1,0.87842447
1,0.98742014
1,0.9942917
0,0.023375405
0,0.08713192
0,0.07316325
0,0.7344784
1,0.99110264
0,0.27332032
0,0.37118706
1,0.35834965
1,0.95033985
0,0.0467257
1,0.98223394
0,0.083668865
0,0.12841351
0,0.16343503
1,0.5933911
1,0.973491
0,0.22720994
1,0.88109654
0,0.11227283
1,0.96867687
1,0.9332908
0,0.1597225
0,0.1344759
1,0.9075752
1,0.6255625
1,0.6374172
1,0.28943488
1,0.61098963
1,0.61098963
0,0.4858751
1,0.81431824
0,0.11835893
0,0.2786949
1,0.9931056
1,0.7618776
1,0.99518615
1,0.99542123
1,0.98059195
1,0.8803055
1,0.9929235
1,0.43562353
1,0.9248623
0,0.8630274
0,0.041929156
1,0.7133642
0,0.003163823
0,0.017441554
0,0.3801526
1,0.8633559
0,0.24040039
0,0.0074001453
1,0.36905754
1,0.5911782
1,0.14816427
1,0.5389707
0,0.032588053
1,0.6784146
1,0.99602705
1,0.9933917
0,0.50779223
0,0.51721567
0,0.20039505
0,0.72025186
0,0.5923653
0,0.7344784
1,0.26226574
1,0.97775126
1,0.9954431
0,0.73848873
0,0.10648794
1,0.9813345
0,0.009844508
0,0.05097713
1,0.9877923
1,0.017607892
1,0.9570904
1,0.72352546
1,0.9924614
0,0.5923653
0,0.20403887
0,0.7015775
1,0.5816024
0,0.40833923
1,0.9887937
1,0.49037883
1,0.5933911
0,0.54478055
1,0.813252
1,0.96714664
0,0.19992782
1,0.75240064
1,0.7727912
0,0.21935923
0,0.14360316
1,0.23467322
0,0.04626118
0,0.12315837
1,0.98183995
1,0.32968897
0,0.08488285
1,0.97877103
0,0.023075296
0,0.57209677
0,0.25323448
1,0.5887355
0,0.046673764
0,0.007272906
1,0.9813538
0,0.042636335
1,0.9779489
1,0.9779489
0,0.21532764
1,0.98123056
1,0.5510132
1,0.8227652
1,0.97843355
1,0.9717013
0,0.106710196
0,0.0064352774
0,0.7777881
1,0.5153914
1,0.6603464
0,0.20004207
0,0.58901554
0,0.7344784
0,0.11493358
1,0.8757368
0,0.055977613
0,0.022257326
0,0.012289581
1,0.7165409
1,0.98643404
0,0.014385608
0,0.16950957
0,0.12930453
1,0.97031707
1,0.34781387
0,0.09102767
0,0.018672012
0,0.099455915
0,0.6397294
0,0.018498074
0,0.8405184
0,0.047691744
0,0.14639984
1,0.9052286
0,0.17828663
0,0.7235159
1,0.98037696
0,0.0061531626
1,0.97574645
1,0.9777336
0,0.1216859
1,0.9845652
1,0.98201674
1,0.35342205
1,0.35330406
1,0.9911701
1,0.94265676
1,0.60228616
1,0.97917956
0,0.059603658
1,0.97537905
0,0.0015836466
1,0.9860677
1,0.7182805
1,0.48990455
0,0.14402544
0,0.03162847
0,0.53631455
1,0.99221486
0,0.4116135
0,0.06028256
0,0.6504412
0,0.10739511
0,0.1885016
0,0.040218253
0,0.044940233
1,0.9669426
1,0.8591974
0,0.0580211
1,0.6458505
1,0.7235159
1,0.696512
1,0.99498624
1,0.85060453
1,0.9933867
1,0.9308224
1,0.9947242
1,0.994793
0,0.21539481
1,0.4416181
0,0.6350751
0,0.5109303
1,0.9689164
0,0.20827334
1,0.7208392
1,0.9098188
1,0.11784548
1,0.66721314
0,0.7745342
0,0.0956426
0,0.2410974
0,0.026187668
1,0.6271235
0,0.43603718
0,0.8630274
1,0.98742014
1,0.9867406
0,0.003705644
1,0.9973481
0,0.23688357
1,0.7244706
0,0.024353871
0,0.30190337
1,0.9866114
1,0.9845652
0,0.057446536
0,0.17865801
1,0.7344784
0,0.09641861
0,0.15705799
0,0.045132224
0,0.033424366
0,0.5923653
1,0.72044414
1,0.8255427
1,0.99360687
1,0.9821194
0,0.30356038
1,0.5655475
0,0.42947593
0,0.3371669
1,0.9465998
0,0.18281756
0,0.0360124
1,0.9898084
1,0.98889357
1,0.9913802
0,0.7812038
1,0.989882
1,0.9898084
1,0.9844851
1,0.38093558
1,0.9885039
1,0.9937553
1,0.9726167
1,0.5933911
1,0.9909337
0,0.11862884
0,0.12022229
1,0.98470026
1,0.7235159
0,0.2599954
1,0.24762815
0,0.47402096
1,0.3427112
1,0.8227652
0,0.13307066
1,0.98805404
0,0.0059560463
0,0.5813628
0,0.65168
1,0.64325094
0,0.084375866
0,0.003889615
0,0.107121326
0,0.0843601
1,0.47604457
1,0.97475165
1,0.9780844
1,0.9792735
1,0.97694606
0,0.04957116
1,0.9821194
0,0.059509397
0,0.13291864
0,0.118915655
0,0.1882016
0,0.39150247
1,0.5744203
1,0.08273274
1,0.98597354
1,0.14068155
0,0.34901127
1,0.9914604
1,0.98224217
1,0.960414
1,0.9801418
0,0.08694226
1,0.7979229
0,0.7826151
0,0.6581866
1,0.6187257
1,0.12728767
0,0.26544383
0,0.37299553
1,0.9779442
1,0.97748536
0,0.0058391597
0,0.27692634
1,0.7045153
1,0.7182805
0,0.12774073
1,0.9726167
1,0.4960328
1,0.9229929
1,0.912733
0,0.95877045
1,0.9047077
1,0.94361734
1,0.9242508
0,0.026891211
1,0.92277414
0,0.024941206
0,0.33638564
1,0.6637917
0,0.7721055
0,0.13820206
1,0.54837316
0,0.45286712
1,0.59824777
0,0.24759972
1,0.9813345
1,0.98981124
1,0.98700386
1,0.98981124
1,0.9852684
1,0.9845652
0,0.07651409
1,0.96103925
0,0.03756838
0,0.58901554
0,0.21780348
0,0.04698201
0,0.7182805
0,0.030970372
0,0.48125514
0,0.06686672
1,0.6052129
1,0.64325094
0,0.6458505
0,0.73015714
1,0.946414
1,0.946414
0,0.33838037
1,0.9880062
1,0.99082726
1,0.98558044
0,0.54398173
1,0.98201674
0,0.08814893
0,0.010356071
0,0.70461994
0,0.15534337
1,0.2589702
0,0.26119593
0,0.15024813
1,0.73015714
1,0.9658382
1,0.41820917
0,0.756175
1,0.62586
1,0.75596005
1,0.60858595
0,0.18447691
1,0.9937332
1,0.99308735
1,0.7235159
1,0.032210764
0,0.055789445
1,0.98643404
1,0.9816831
0,0.15418507
0,0.12447834
1,0.93718106
0,0.0585317
0,0.04356761
0,0.0744735
0,0.2983522
1,0.96955806
1,0.5830893
0,0.031526882
1,0.9350975
1,0.87848043
0,0.64854705
1,0.99200946
1,0.9921315
1,0.19450308
1,0.6762607
0,0.07309691
1,0.9907934
1,0.98981124
1,0.98700386
0,0.7391219
1,0.7208392
1,0.7015775
1,0.109017454
0,0.028607408
1,0.6975433
0,0.43438503
0,0.36268795
1,0.72352546
0,0.72025186
0,0.5688087
1,0.14720719
0,0.002917059
1,0.99002075
0,0.13050885
0,0.12713209
0,0.04599453
1,0.5816024
0,0.05461003
0,0.7244706
0,0.7165409
0,0.7182805
0,0.17293628
0,0.6309423
0,0.6424914
0,0.6350751
1,0.9844851
0,0.15153496
1,0.92593926
1,0.9246445
1,0.98419863
0,0.28971407
1,0.9869618
0,0.062199473
0,0.025802257
0,0.079188995
1,0.9918273
1,0.98643404
0,0.47199598
0,0.56734717
1,0.70504
1,0.82821625
0,0.06935351
1,0.41039857
1,0.49767828
1,0.98597354
0,0.05073085
1,0.9721017
0,0.33043647
1,0.72044414
1,0.57209677
1,0.44888964
1,0.72044414
1,0.8550458
1,0.9649987
1,0.8488082
0,0.074604526
0,0.008151858
1,0.9762504
0,0.05661647
1,0.45443752
0,0.43459177
1,0.51554894
0,0.4741111
0,0.45443752
1,0.42837372
1,0.44555032
1,0.813252
0,0.13588186
0,0.21770172
0,0.033578325
0,0.5933911
1,0.19743411
1,0.28459907
1,0.50184655
0,0.7061741
0,0.07462252
0,0.021314055
0,0.3350784
0,0.9564603
1,0.97917956
0,0.010779471
1,0.97938234
0,0.18519743
1,0.72025186
0,0.7235159
0,0.10166792
1,0.95220345
0,0.01736675
1,0.88880914
1,0.95937157
1,0.994793
0,0.024425635
1,0.99443895
0,0.047255754
1,0.9840736
0,0.7344784
0,0.72025186
1,0.09739391
0,0.101968884
0,0.2936504
0,0.11806041
1,0.97224003
1,0.9918273
0,0.6939942
0,0.48800817
0,0.6825536
0,0.7271567
1,0.59951574
1,0.6726151
0,0.5923653
0,0.0046052923
