y_true,y_proba
0,0.5351819
1,0.40269986
0,0.023332207
0,0.02067114
1,0.35241216
1,0.16676983
1,0.7481507
1,0.7647539
1,0.35078326
1,0.9753891
1,0.9771327
1,0.98482275
1,0.41170472
0,0.44203788
1,0.6244313
0,0.67911243
0,0.13423403
0,0.100060105
1,0.9837251
1,0.41723484
0,0.108808115
0,0.52077216
0,0.5426233
0,0.50510436
1,0.45438823
0,0.5058975
0,0.52683675
0,0.06582083
1,0.9922083
0,0.15319335
0,0.3210749
0,0.23195565
0,0.3429678
1,0.04212069
1,0.9348961
1,0.17913917
1,0.9691841
0,0.09430607
0,0.20227027
0,0.01094723
0,0.5914018
1,0.58174825
0,0.013197474
0,0.6347313
1,0.63568103
1,0.61279994
0,0.105194286
1,0.9844446
0,0.1361998
0,0.19612727
0,0.008480137
1,0.89839774
1,0.8480401
1,0.97084016
1,0.8440877
0,0.7211184
0,0.06812802
0,0.46594182
1,0.98159134
1,0.6836853
0,0.2064991
1,0.7443841
1,0.8699428
0,0.03526699
0,0.07411877
1,0.1585838
0,0.14367256
0,0.9078776
0,0.14362724
0,0.5499474
1,0.9988924
1,0.7434952
1,0.8176336
0,0.11480546
0,0.7211184
0,0.0843981
1,0.9870844
1,0.91928685
1,0.11717417
1,0.9933671
0,0.5761879
1,0.7029795
1,0.72038275
1,0.7590155
0,0.28883988
0,0.40165973
1,0.6365801
1,0.61279994
0,0.3612089
0,0.58380514
1,0.9746362
0,0.5321752
1,0.6141121
1,0.80020636
0,0.12882224
1,0.77368194
1,0.7545146
0,0.754051
0,0.15423048
0,0.07035805
0,0.74181896
0,0.32164794
1,0.6308285
0,0.023038339
0,0.032647647
1,0.26124236
1,0.9836653
1,0.67696244
1,0.9926224
1,0.64398116
0,0.5529071
1,0.9737465
1,0.34311968
0,0.022655845
1,0.93733346
1,0.98090744
0,0.0749008
0,0.29725647
1,0.981985
0,0.12518081
0,0.061308652
0,0.06900406
1,0.71636486
1,0.98553866
0,0.024460688
1,0.8070175
0,0.47218695
1,0.6405655
0,0.042016976
1,0.99060786
1,0.6559917
0,0.037126567
0,0.44905764
1,0.61295795
0,0.42558828
1,0.72975063
0,0.1956801
1,0.7211184
0,0.5708622
0,0.11101544
0,0.021296415
1,0.97223425
1,0.975372
1,0.55279994
0,0.7713397
1,0.980873
1,0.98220694
0,0.119279146
0,0.5914018
0,0.10649469
1,0.7204968
1,0.5708622
1,0.42257005
0,0.16813746
0,0.027805965
0,0.02068775
1,0.4864482
0,0.4910954
1,0.47044173
0,0.063363016
1,0.9797665
1,0.53412354
0,0.22139955
1,0.71636486
0,0.20362906
0,0.7231914
1,0.628332
0,0.54755974
0,0.09761228
1,0.9870844
0,0.11448942
1,0.9366654
1,0.21214111
0,0.13814038
0,0.60647756
1,0.59724885
0,0.73277074
1,0.5814878
1,0.9937671
1,0.9933981
1,0.9781904
1,0.26275712
1,0.9915679
0,0.15290253
1,0.8943676
0,0.58732575
1,0.9598511
1,0.10311991
1,0.986598
0,0.14781258
0,0.092308104
0,0.11308309
0,0.064324796
0,0.015417777
0,0.16247116
1,0.58174825
1,0.42955238
1,0.39757982
0,0.43099064
0,0.22346933
0,0.04248147
0,0.42701536
1,0.42955238
0,0.14113887
0,0.076609634
0,0.106564485
1,0.4258988
0,0.07307905
0,0.06066049
0,0.43465382
0,0.3180844
1,0.98696077
1,0.71642464
0,0.6586458
0,0.03560161
1,0.5708622
0,0.13958934
0,0.043144282
0,0.7196667
0,0.031179637
0,0.38511667
1,0.9680772
0,0.17115639
1,0.97955704
0,0.008290373
0,0.26730004
0,0.7211184
1,0.8766173
1,0.9877011
1,0.99454415
0,0.023134526
0,0.08991917
0,0.0786852
0,0.73277074
1,0.9913883
0,0.26750022
0,0.3699091
1,0.36489695
1,0.9494584
0,0.046347268
1,0.98220694
0,0.080976024
0,0.12869921
0,0.16404186
1,0.59379894
1,0.9737263
0,0.22862068
1,0.88858664
0,0.11487104
1,0.9691841
1,0.9322311
0,0.15722907
0,0.13327262
1,0.9051793
1,0.6266812
1,0.6383518
1,0.2741193
1,0.6131199
1,0.6131199
0,0.4879643
1,0.8141755
0,0.1162987
0,0.29758182
1,0.9933671
1,0.74284256
1,0.9951302
1,0.99537563
1,0.98053443
1,0.88823
1,0.99298304
1,0.41748875
1,0.92558956
0,0.86247885
0,0.040565565
1,0.71090394
0,0.0031576708
0,0.018251736
0,0.372272
1,0.8706787
0,0.24019527
0,0.007191719
1,0.35847393
1,0.5925582
1,0.1392329
1,0.53588855
0,0.033194475
1,0.68351996
1,0.99590075
1,0.99331474
0,0.51228684
0,0.5162302
0,0.21111746
0,0.7196667
0,0.5914018
0,0.73277074
1,0.2669476
1,0.9775006
1,0.9956956
0,0.72845775
0,0.10828291
1,0.9814485
0,0.009565474
0,0.051596224
1,0.9877409
1,0.020560587
1,0.9560254
1,0.7211184
1,0.9925001
0,0.5914018
0,0.19280653
0,0.70121217
1,0.5814878
0,0.3956867
1,0.989332
1,0.5265058
1,0.59379894
0,0.5436429
1,0.8123921
1,0.96688527
0,0.20191725
1,0.75491965
1,0.7713397
0,0.23676114
0,0.1381485
1,0.23567688
0,0.044344105
0,0.12579258
1,0.98171014
1,0.31781614
0,0.08719312
1,0.978965
0,0.024049267
0,0.5708622
0,0.25425416
1,0.5859119
0,0.046528425
0,0.006982536
1,0.98096675
0,0.0405325
1,0.9774909
1,0.9774909
0,0.20560701
1,0.981506
1,0.553339
1,0.8186531
1,0.9781904
1,0.9723279
0,0.10398541
0,0.0062488904
0,0.78031474
1,0.50898284
1,0.652146
0,0.19982903
0,0.58732575
0,0.73277074
0,0.11494239
1,0.8784331
