y_true,y_proba
0,0.516333
1,0.3658177
0,0.023554796
0,0.025137514
1,0.35112765
1,0.14844139
1,0.74052656
1,0.75943166
1,0.37957838
1,0.9756497
1,0.9747385
1,0.9797702
1,0.44272742
0,0.41736603
1,0.63070846
0,0.68880653
0,0.15304387
0,0.09398104
1,0.9840396
1,0.4194824
0,0.11203513
0,0.52023774
0,0.55777985
0,0.51374066
1,0.4597531
0,0.5382278
0,0.5446039
0,0.072006695
1,0.9923977
0,0.13413322
0,0.3063448
0,0.22362484
0,0.3399413
1,0.048601836
1,0.93573636
1,0.18343787
1,0.9673162
0,0.064635366
0,0.17537959
0,0.012040108
0,0.5920124
1,0.5801392
0,0.008275957
0,0.6317609
1,0.63551295
1,0.6107922
0,0.089727454
1,0.9843307
0,0.14861697
0,0.18893163
0,0.009322177
1,0.8996607
1,0.8541375
1,0.9701818
1,0.79445565
0,0.7221089
0,0.07275413
0,0.47334743
1,0.9818032
1,0.6854332
0,0.20637815
1,0.7453106
1,0.84505963
0,0.034170866
0,0.087660976
1,0.15994671
0,0.13670847
0,0.9078685
0,0.1366942
0,0.5344277
1,0.99915564
1,0.7393895
1,0.8356124
0,0.11918402
0,0.7221089
0,0.0745691
1,0.98694915
1,0.9218805
1,0.09866246
1,0.9934337
0,0.5374271
1,0.6931928
1,0.7191947
1,0.75545496
0,0.27570635
0,0.3788308
1,0.6435823
1,0.6107922
0,0.3415299
0,0.5760198
1,0.98100567
0,0.6101336
1,0.5987193
1,0.78642416
0,0.11659721
1,0.77782315
1,0.75489676
0,0.7554449
0,0.11659625
0,0.07494098
0,0.74159473
0,0.29351863
1,0.62885034
0,0.021423906
0,0.022950042
1,0.273588
1,0.9831338
1,0.6720658
1,0.9925955
1,0.67776865
0,0.5693751
1,0.97235674
1,0.35492378
0,0.022108527
1,0.9328891
1,0.9802256
0,0.065804064
0,0.32731467
1,0.980409
0,0.1498932
0,0.055721644
0,0.07697071
1,0.7176484
1,0.985579
0,0.019669903
1,0.82601476
0,0.46689567
1,0.62880254
0,0.043786682
1,0.9904512
1,0.6548838
0,0.03804436
0,0.4594267
1,0.56937534
0,0.4268923
1,0.7292354
0,0.21444885
1,0.7221089
0,0.57472
0,0.09299263
0,0.02217414
1,0.974327
1,0.9736955
1,0.5762408
0,0.7746638
1,0.9814817
1,0.98255473
0,0.14148392
0,0.5920124
0,0.107760526
1,0.72157365
1,0.57472
1,0.405751
0,0.18007688
0,0.02367634
0,0.01967079
1,0.526186
0,0.5017797
1,0.47444075
0,0.06376328
1,0.98000056
1,0.513499
0,0.21603714
1,0.7176484
0,0.17871346
0,0.72407055
1,0.6246979
0,0.55296344
0,0.09855092
1,0.98694915
0,0.119337864
1,0.9402738
1,0.17397405
0,0.14379448
0,0.59939754
1,0.5970687
0,0.7346363
1,0.58317226
1,0.99394625
1,0.99367684
1,0.9769395
1,0.21583143
1,0.9917944
0,0.18250543
1,0.9050536
0,0.5903015
1,0.9554826
1,0.095458634
1,0.98739666
0,0.16468455
0,0.10328475
0,0.10785572
0,0.056630347
0,0.014848059
0,0.16126399
1,0.5801392
1,0.43168837
1,0.39910153
0,0.42486686
0,0.21403605
0,0.039235387
0,0.4214349
1,0.43168837
0,0.19293596
0,0.07637574
0,0.10131405
1,0.4274701
0,0.086654276
0,0.057763968
0,0.45008728
0,0.32885724
1,0.9874442
1,0.7285033
0,0.64227486
0,0.0353942
1,0.57472
0,0.15053955
0,0.037373822
0,0.7241255
0,0.026485097
0,0.39276445
1,0.96820414
0,0.16263627
1,0.9800673
0,0.009433651
0,0.30387345
0,0.7221089
1,0.8793173
1,0.9862726
1,0.9937257
0,0.02009517
0,0.097787775
0,0.061524995
0,0.7346363
1,0.99047625
0,0.30496225
0,0.37982357
