Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,TotalSpend,SpendCount,GroupMemberNo,GroupSize,CabinNum,SurnameFreq,LuxurySpend,BasicSpend,LuxuryShare,SpendPerActiveCategory,HasAnyLuxurySpend,AgeWasOutOfRange,IsChild,IsSenior,IsSolo,IsMultiPassengerGroup,GroupMemberIsLeader,AgeMissing,HomePlanetMissing,CryoSleepMissing,CabinMissing,DestinationMissing,VIPMissing,RoomServiceMissing,FoodCourtMissing,ShoppingMallMissing,SpaMissing,VRDeckMissing,NameMissing,IsZeroSpend,HomePlanet,CryoSleep,Destination,VIP,Deck,Side,AgeGroup,CabinNumBin,DeckSide,HomePlanetDestination,Surname
39.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Europa,False,TRAPPIST-1e,False,B,P,Adult,CabinBin_1,B_P,Europa_TRAPPIST-1e,Ofracculy
24.0,109.0,9.0,25.0,549.0,44.0,736.0,5,1,1,0,4,593.0,143.0,0.8046132971506106,147.2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,F,S,YoungAdult,CabinBin_1,F_S,Earth_TRAPPIST-1e,Vines
58.0,43.0,3576.0,0.0,6715.0,49.0,10383.0,4,1,2,0,6,6764.0,3619.0,0.651386748844376,2595.75,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Europa,False,TRAPPIST-1e,True,A,S,MiddleAge,CabinBin_1,A_S,Europa_TRAPPIST-1e,Susent
33.0,0.0,1283.0,371.0,3329.0,193.0,5176.0,4,2,2,0,6,3522.0,1654.0,0.6803167857832721,1294.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europa,False,TRAPPIST-1e,False,A,S,Adult,CabinBin_1,A_S,Europa_TRAPPIST-1e,Susent
16.0,303.0,70.0,151.0,565.0,2.0,1091.0,5,1,1,1,6,567.0,524.0,0.5192307692307693,218.2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,F,S,Teen,CabinBin_1,F_S,Earth_TRAPPIST-1e,Santantines
44.0,0.0,483.0,0.0,291.0,0.0,774.0,2,1,1,0,7,291.0,483.0,0.37548387096774194,387.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,PSO J318.5-22,False,F,P,Adult,CabinBin_1,F_P,Earth_PSO J318.5-22,Hinetthews
26.0,42.0,1539.0,3.0,0.0,0.0,1584.0,3,1,2,2,7,0.0,1584.0,0.0,528.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,F,S,YoungAdult,CabinBin_1,F_S,Earth_TRAPPIST-1e,Jacostaffey
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,0,7,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Earth,True,TRAPPIST-1e,False,G,S,YoungAdult,CabinBin_1,G_S,Earth_TRAPPIST-1e,Jacostaffey
35.0,0.0,785.0,17.0,216.0,0.0,1018.0,3,1,1,3,5,216.0,802.0,0.21197252208047104,339.3333333333333,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,F,S,Adult,CabinBin_1,F_S,Earth_TRAPPIST-1e,Beston
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3,1,3,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Europa,True,55 Cancri e,False,B,P,Teen,CabinBin_1,B_P,Europa_55 Cancri e,Flatic
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,3,1,3,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Europa,True,TRAPPIST-1e,False,B,P,Adult,CabinBin_1,B_P,Europa_TRAPPIST-1e,Flatic
45.0,39.0,7295.0,589.0,110.0,124.0,8157.0,5,3,3,1,3,234.0,7923.0,0.028683500858053445,1631.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europa,False,55 Cancri e,False,B,P,MiddleAge,CabinBin_1,B_P,Europa_55 Cancri e,Flatic
32.0,73.0,0.0,1123.0,0.0,113.0,1309.0,3,1,1,1,4,113.0,1196.0,0.08625954198473282,436.3333333333333,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mars,False,TRAPPIST-1e,False,F,P,Adult,CabinBin_1,F_P,Mars_TRAPPIST-1e,Barne
