feature,gain,weight,cover
IsZeroSpend,493.6578369140625,23.4,1155.8810302734375
SpendCount,50.0136173248291,72.6,294.52008056640625
CryoSleep,26.748225021362305,134.8,408.206103515625
LuxuryShare,16.014458847045898,388.0,208.7631408691406
RoomService,15.973792266845702,414.0,232.73135375976562
Deck,15.415325546264649,313.8,164.19982299804687
TotalSpend,14.351457214355468,336.4,140.5230224609375
log1p_TotalSpend,13.988554763793946,155.2,135.75843658447266
LuxuryMinusBasic,13.401177024841308,358.2,248.0013641357422
log1p_RoomService,12.982569313049316,162.0,245.46532592773437
HomePlanet,11.874710273742675,150.0,208.80132141113282
DeckSide,9.7698486328125,624.6,263.3366638183594
Side,8.055049228668214,192.8,92.80596466064453
SpendPerGroupMember,7.768911075592041,316.2,114.32866973876953
LuxurySpend,6.899171924591064,354.8,230.63006896972655
HomePlanetDestination,6.415224552154541,417.4,217.04967651367187
log1p_FoodCourt,6.267706108093262,140.4,137.84475860595703
CabinNumBin,6.185093593597412,362.6,159.78852233886718
SpendPerActiveCategory,5.392575740814209,376.2,137.63952178955077
FoodCourt,5.249505805969238,260.6,137.28831329345704
log1p_ShoppingMall,4.6973669052124025,121.8,133.96557006835937
Destination,4.110693693161011,114.0,126.16591186523438
ShoppingMall,4.101392221450806,267.8,121.32832794189453
IsChild,4.0739295959472654,18.0,59.80486145019531
CabinNum,4.0176959991455075,945.8,133.43898315429686
BasicSpend,3.8741857528686525,203.0,107.44767303466797
log1p_VRDeck,3.797772169113159,98.2,120.60439910888672
AgeGroup,3.6925886631011964,261.2,126.55553283691407
SpendPerAge,3.459290933609009,299.2,98.91596984863281
Spa,3.4514442920684814,247.6,145.9567657470703
log1p_Spa,3.3522823333740233,111.0,149.83715209960937
Age,3.3086901664733888,652.0,143.333251953125
VRDeck,3.0674118041992187,218.8,128.79190826416016
VRDeckMissing,2.884136438369751,22.4,484.5197326660156
ShoppingMallMissing,2.8062007188797,16.6,367.46396484375
HasAnyLuxurySpend,2.7909145593643188,3.4,22.266165924072265
GroupSize,2.7535143375396727,175.6,113.82599639892578
FoodCourtMissing,2.6967132568359373,15.4,434.3598388671875
VIPMissing,2.6637691497802733,10.8,263.23227844238284
VIP,2.6137306690216064,16.0,288.3956665039062
NameMissing,2.5065670728683473,3.4,368.80467834472654
GroupMemberNo,2.4595477104187013,107.0,110.40373229980469
SurnameFreq,2.4216418266296387,346.2,87.751416015625
SpaMissing,2.4188814640045164,7.6,540.63154296875
RoomServiceMissing,2.4053775787353517,13.4,379.6123016357422
MissingCount,2.3316134929656984,68.6,60.194401550292966
CryoSleepMissing,2.2614142417907717,20.4,415.4682922363281
GroupMemberIsLeader,2.2138479948043823,18.0,136.2084098815918
IsSolo,2.1284326553344726,19.2,46.15629081726074
DestinationMissing,2.087420177459717,2.8,255.89431762695312
HomePlanetMissing,1.9724692344665526,5.2,225.49789733886718
IsMultiPassengerGroup,1.8533324956893922,8.4,30.259119033813477
AgeMissing,1.4666849851608277,5.2,400.58246459960935
IsSenior,1.315288507938385,0.6,271.3024642944336
CabinMissing,0.204302978515625,0.2,22.121253967285156
AgeWasOutOfRange,0.0,0.0,0.0
CryoSleepSpendAnomaly,0.0,0.0,0.0
