feature,gain,weight,cover
IsZeroSpend,574.123681640625,20.6,1221.9723388671875
SpendCount,69.49151039123535,55.8,336.372216796875
CryoSleep,34.234423065185545,86.6,488.1553466796875
Deck,21.151684951782226,143.4,178.87681274414064
RoomService,19.952380180358887,302.4,271.5650329589844
LuxuryShare,19.669823265075685,271.4,252.9230712890625
SpendPerGroupMember,19.352234840393066,158.4,130.4786117553711
TotalSpend,18.569153785705566,195.4,149.47571411132813
LuxuryMinusBasic,17.973105239868165,242.0,312.45350341796876
HomePlanet,17.893510818481445,46.4,265.3905303955078
log1p_RoomService,14.172507667541504,129.0,245.79200439453126
DeckSide,12.569854545593262,452.0,249.95656127929686
SpendPerActiveCategory,12.123239517211914,209.8,166.98755798339843
log1p_TotalSpend,11.573884391784668,76.4,137.27108459472657
te_HomePlanet,9.187534713745118,161.4,141.8266830444336
LuxurySpend,9.168578338623046,293.0,234.38594665527344
Side,8.965901470184326,32.6,99.50713348388672
FoodCourt,8.780030345916748,200.6,145.61355590820312
HomePlanetDestination,8.101078987121582,250.2,232.23888244628907
log1p_FoodCourt,7.790725612640381,74.2,137.69052124023438
BasicSpend,7.470701408386231,119.2,135.34716186523437
log1p_ShoppingMall,6.976216888427734,77.8,121.80189056396485
CabinNumBin,6.488024806976318,201.4,138.0660598754883
te_DeckSide,6.297232341766358,366.4,140.2817398071289
te_Side,6.0346495628356935,203.2,81.10024871826172
ShoppingMall,5.474618625640869,189.4,138.2924819946289
te_Deck,5.258627223968506,202.8,99.84579925537109
te_CabinNumBin,5.010780668258667,296.4,124.98261260986328
IsChild,4.857660841941834,3.6,50.050514793396
log1p_VRDeck,4.838460397720337,56.6,122.19034271240234
CabinNum,4.678555679321289,603.2,137.20105590820313
Destination,4.44965181350708,44.6,149.38756256103517
te_HomePlanetDestination,4.322430229187011,196.6,116.86184692382812
log1p_Spa,4.31911153793335,80.0,155.18441772460938
Spa,4.266138124465942,149.6,146.05547180175782
AgeGroup,4.2455967426300045,164.6,129.05941314697264
group_has_cryosleep,4.168307447433472,60.2,211.48150634765625
SpendPerAge,4.064634323120117,189.4,106.013720703125
ShoppingMallMissing,4.060578727722168,11.2,448.54644775390625
Age,3.8122156143188475,351.6,158.38916931152343
VRDeck,3.8069596767425535,145.2,115.14313507080078
VIP,3.7905168533325195,8.2,247.6193115234375
group_max_spend,3.6548141956329347,234.0,98.01142578125
group_mean_spend,3.625255489349365,216.2,103.75476989746093
te_AgeGroup,3.463871383666992,204.2,83.91773681640625
te_Destination,3.33153715133667,145.4,89.16074981689454
group_size_from_ids,3.323801326751709,39.4,114.74633712768555
VRDeckMissing,3.3164581298828124,14.4,485.2148376464844
GroupSize,3.238340473175049,87.0,113.68285827636718
VIPMissing,3.142713689804077,7.6,239.6731689453125
FoodCourtMissing,3.070872592926025,10.2,406.37366180419923
group_mean_age,2.98064284324646,290.4,90.6810676574707
MissingCount,2.8545196056365967,34.8,46.003937530517575
SurnameFreq,2.8433688640594483,183.0,114.68259887695312
GroupMemberNo,2.809547472000122,53.4,113.28823547363281
GroupMemberIsLeader,2.692663240432739,8.4,75.01330070495605
RoomServiceMissing,2.485745668411255,9.6,306.8407257080078
IsMultiPassengerGroup,2.4794174432754517,3.6,56.70425872802734
IsSolo,2.4660125255584715,6.6,48.64657192230224
NameMissing,2.3066444396972656,1.0,312.45268096923826
HasAnyLuxurySpend,2.029384803771973,1.8,19.028716850280762
CryoSleepMissing,2.0206662893295286,11.8,392.58056640625
SpaMissing,2.0106530666351317,4.4,479.13702392578125
AgeMissing,1.364721989631653,2.8,344.2067565917969
DestinationMissing,1.3505950927734376,1.4,186.368798828125
HomePlanetMissing,0.9353058815002442,1.6,118.8739013671875
IsSenior,0.5375846862792969,0.2,14.200492858886719
CabinMissing,0.1264312744140625,0.2,26.593350219726563
CryoSleepSpendAnomaly,0.0,0.0,0.0
AgeWasOutOfRange,0.0,0.0,0.0
