y_true,y_proba
0,0.30243355
1,0.11107945
0,0.007895674
0,0.016907929
1,0.07088368
1,0.13338956
1,0.7692692
1,0.6151341
1,0.483165
1,0.98313695
1,0.96682936
1,0.97290426
1,0.331291
0,0.15933427
1,0.5557213
0,0.6885345
0,0.18157347
0,0.080643326
1,0.98603463
1,0.63116044
0,0.10578616
0,0.6078525
0,0.81477183
0,0.78970623
1,0.5557674
0,0.81769526
0,0.57161486
0,0.10873597
1,0.995109
0,0.11064777
0,0.74307334
0,0.14207965
0,0.12899125
1,0.06435045
1,0.9230431
1,0.1124519
1,0.9900765
0,0.23852952
0,0.23049192
0,0.022231614
0,0.7845786
1,0.65093493
0,0.013552476
0,0.52997625
1,0.6212335
1,0.5970503
0,0.09416099
1,0.97621185
0,0.13004363
0,0.10119318
0,0.0029415665
1,0.87889636
1,0.92781365
1,0.9631017
1,0.8240883
0,0.5986695
0,0.12684202
0,0.5055675
1,0.9719972
1,0.637383
0,0.15445964
1,0.73355156
1,0.51987207
0,0.1614269
0,0.04785723
1,0.10249823
0,0.11010153
0,0.9026185
0,0.114906244
0,0.50272226
1,0.98902726
1,0.49586236
1,0.89636034
0,0.030784732
0,0.6987126
0,0.05635963
1,0.9746266
1,0.9265053
1,0.09242887
1,0.9932225
0,0.098427065
1,0.8165426
1,0.55241877
1,0.5211153
0,0.46844816
0,0.5395994
1,0.8087414
1,0.72569686
0,0.4270367
0,0.4086231
1,0.95281154
0,0.3932234
1,0.35480615
1,0.853848
0,0.12338159
1,0.23385878
1,0.5993498
0,0.5232712
0,0.23347731
0,0.075116135
0,0.6395027
0,0.26603347
1,0.688279
0,0.006936375
0,0.122786075
1,0.44748846
1,0.9469124
1,0.9195822
1,0.98784757
1,0.6150495
0,0.28463733
1,0.6023101
1,0.67901486
0,0.008936899
1,0.9619303
1,0.9636687
0,0.07625018
0,0.59710395
1,0.9793611
0,0.076503105
0,0.058279134
0,0.08458992
1,0.61013114
1,0.9673552
0,0.038811397
1,0.68452436
0,0.38677648
1,0.7415795
0,0.19254176
1,0.9923038
1,0.51741457
0,0.05549344
0,0.25660124
1,0.5539715
0,0.3375854
1,0.42917693
0,0.09636309
1,0.60595155
0,0.73395073
0,0.11511072
0,0.03801642
1,0.933302
1,0.9619009
1,0.40278676
0,0.6357576
1,0.9591845
1,0.9694893
0,0.11467294
0,0.64861995
0,0.11277744
1,0.5360969
1,0.45298117
1,0.5988429
0,0.18275994
0,0.01152319
0,0.018069051
1,0.50842106
0,0.6521089
1,0.51105857
0,0.0867637
1,0.9729187
1,0.17349759
0,0.06681078
1,0.44885376
0,0.38750508
0,0.6408144
1,0.6852053
0,0.42972022
0,0.10296947
1,0.97668886
0,0.080797456
1,0.9610625
1,0.21657544
0,0.14061205
0,0.15586692
1,0.40289122
0,0.506652
1,0.57707286
1,0.99166405
1,0.9918304
1,0.98230046
1,0.17049003
1,0.99417746
0,0.081870325
1,0.8837439
0,0.63159573
1,0.9681637
1,0.07793072
1,0.9767521
0,0.072896935
0,0.09050269
0,0.073930115
0,0.14210664
0,0.053387277
0,0.09898198
1,0.5870487
1,0.3591835
1,0.3906347
0,0.62125844
0,0.4333342
0,0.105405964
0,0.61245054
1,0.63039386
0,0.15461314
0,0.12981527
0,0.068626486
1,0.45270133
0,0.038656384
0,0.05139268
0,0.4699051
0,0.109658204
1,0.9774129
1,0.5895563
0,0.56157625
0,0.035971638
