y_true,y_proba
0,0.48782498
1,0.109920494
0,0.0018717617
0,0.0059709176
1,0.082246974
1,0.121199936
1,0.74843186
1,0.5300942
1,0.4903508
1,0.98602
1,0.97228515
1,0.9756271
1,0.35555887
0,0.13797782
1,0.53732663
0,0.6258949
0,0.20552962
0,0.11707056
1,0.9760987
1,0.6131643
0,0.10072115
0,0.695081
0,0.90318537
0,0.8737144
1,0.61395156
0,0.83975196
0,0.62550914
0,0.13021357
1,0.9965724
0,0.11548414
0,0.84773797
0,0.1395976
0,0.14160453
1,0.07904888
1,0.93915033
1,0.12319862
1,0.99055594
0,0.28987938
0,0.15110303
0,0.03079004
0,0.7587209
1,0.52467066
0,0.009499603
0,0.46361414
1,0.6871663
1,0.597153
0,0.08735548
1,0.9809616
0,0.15950271
0,0.12543298
0,0.002606234
1,0.89386827
1,0.85778
1,0.9435895
1,0.8345996
0,0.62042373
0,0.121240854
0,0.4950037
1,0.9772749
1,0.6382324
0,0.16438246
1,0.84995407
1,0.5874988
0,0.11657284
0,0.08241539
1,0.10523411
0,0.09290525
0,0.8196287
0,0.1757297
0,0.5691474
1,0.9954982
1,0.5721835
1,0.868753
0,0.03889076
0,0.6574669
0,0.033395503
1,0.97985166
1,0.89385265
1,0.10283061
1,0.99609715
0,0.1020176
1,0.67449194
1,0.5455482
1,0.46284533
0,0.48898983
0,0.59180653
1,0.6951233
1,0.6359808
0,0.44154334
0,0.48256862
1,0.92698795
0,0.32171977
1,0.31979114
1,0.80475295
0,0.15500236
1,0.23239434
1,0.72273445
0,0.61531824
0,0.26483312
0,0.08671154
0,0.576008
0,0.23017333
1,0.7060935
0,0.0022414045
0,0.061496776
1,0.32001108
1,0.93847305
1,0.85346067
1,0.9907595
1,0.46998063
0,0.283928
1,0.78068393
1,0.71759856
0,0.0023387156
1,0.956543
1,0.96282214
0,0.05928802
0,0.47286126
1,0.96551657
0,0.07864709
0,0.085072376
0,0.05754785
1,0.57188785
1,0.96035534
0,0.023333669
1,0.5922913
0,0.3509493
1,0.6399602
0,0.22910452
1,0.99633276
1,0.42093238
0,0.06272811
0,0.38231114
1,0.60244507
0,0.40647015
1,0.43235227
0,0.060664885
1,0.5758959
0,0.6736445
0,0.13075727
0,0.031696264
1,0.9311393
1,0.95659804
1,0.55394495
0,0.60818976
1,0.95936644
1,0.97007984
0,0.09543425
0,0.5071707
0,0.08958243
1,0.5991939
1,0.4081885
1,0.6231463
0,0.12687938
0,0.0041135885
0,0.017657684
1,0.5639227
0,0.6785939
1,0.4836988
0,0.11267056
1,0.975684
1,0.18875371
0,0.028531294
1,0.44527403
0,0.5051465
0,0.7360693
1,0.5906472
0,0.33992153
0,0.09303081
1,0.9803212
0,0.036662474
1,0.9600564
1,0.21974562
0,0.17367679
0,0.17723006
1,0.47406155
0,0.5397074
1,0.47840983
1,0.9931716
1,0.9946207
1,0.98415875
1,0.13911092
1,0.99499243
0,0.08132325
1,0.9243408
0,0.54336756
1,0.96744597
1,0.10779975
1,0.97986424
0,0.07427206
0,0.074718535
0,0.07482438
0,0.13820224
0,0.029658288
0,0.06613011
1,0.4959349
1,0.25672668
1,0.31127366
0,0.4754242
0,0.31558537
0,0.0765488
0,0.65963966
1,0.4949319
0,0.16862398
0,0.124423936
0,0.034032147
1,0.32831898
0,0.029271083
0,0.048665334
0,0.39816192
0,0.10618065
1,0.9679569
1,0.50969106
0,0.5623351
0,0.026643174
1,0.5439088
0,0.12662028
0,0.019905947
0,0.6168772
0,0.047185067
0,0.4340233
1,0.96262723
0,0.1272012
1,0.9506562
0,0.008332886
0,0.36187086
0,0.49090797
1,0.7605416
1,0.9823803
1,0.97727716
0,0.003024857
0,0.05122744
0,0.014507328
0,0.42374325
1,0.985669
0,0.3135173
0,0.3916182
1,0.32344994
1,0.8650024
0,0.12940256
1,0.9757343
0,0.21779817
0,0.13350756
0,0.13355802
1,0.43907353
1,0.9752064
0,0.13727415
1,0.6783075
0,0.074560955
1,0.99138826
1,0.84099585
0,0.047043435
0,0.09788403
1,0.87804615
1,0.7635257
1,0.5506266
1,0.43516448
1,0.8709877
1,0.9421801
0,0.52935195
1,0.9675637
0,0.06469134
0,0.28453934
1,0.99683654
1,0.91274184
1,0.9940872
1,0.9936499
1,0.9859511
1,0.9001537
1,0.9947968
1,0.65520877
1,0.9757637
0,0.829297
0,0.09231032
1,0.63347054
0,0.0041930196
0,0.026516404
0,0.21267723
1,0.8357859
0,0.23774347
0,0.002077731
1,0.3658958
1,0.6311362
1,0.15480913
1,0.7288311
0,0.07846327
1,0.66099006
1,0.98914623
1,0.99239105
0,0.31003082
0,0.33906803
0,0.24552359
0,0.6947448
0,0.7068345
0,0.4829955
1,0.53945076
1,0.98357844
1,0.99405634
0,0.7820386
0,0.09712836
1,0.9759923
0,0.009065201
0,0.14607047
1,0.9851012
1,0.056306656
1,0.9736414
1,0.56359076
1,0.9969856
0,0.60340315
0,0.07238412
0,0.4531791
1,0.8290564
0,0.32133824
1,0.9346525
1,0.620162
1,0.6288593
0,0.61853313
1,0.70383203
1,0.9838896
0,0.26769516
1,0.46488
1,0.55344456
0,0.31930864
0,0.2364481
1,0.13640729
0,0.114091136
0,0.4331031
1,0.9745233
1,0.2592099
0,0.09655689
1,0.9659149
0,0.012782646
0,0.46648186
0,0.29496983
1,0.44736236
0,0.02654694
0,0.0009041585
1,0.9934581
0,0.0009538325
1,0.9933518
1,0.9948487
0,0.3038025
1,0.99425715
1,0.1975055
1,0.969262
1,0.9845271
1,0.99170905
0,0.13721994
0,0.004777319
0,0.5580596
1,0.799051
1,0.4674988
0,0.27461728
0,0.45728
0,0.6387215
0,0.17870496
1,0.9232691
0,0.12630345
0,0.0021015052
0,0.0068074223
1,0.49671045
1,0.9657826
0,0.0030093791
0,0.07821124
0,0.044704456
1,0.935984
1,0.24470918
0,0.14671241
0,0.021239555
0,0.23755418
0,0.46192765
0,0.07287119
0,0.73206526
0,0.22662674
0,0.095833085
1,0.9628944
0,0.10197218
0,0.5777801
1,0.97693604
0,0.0013076693
1,0.9676542
1,0.9283374
0,0.08713188
1,0.9842376
1,0.9695248
1,0.5056251
1,0.5712881
1,0.98137605
1,0.9744441
1,0.67431283
1,0.95724994
0,0.06841906
1,0.9759041
0,0.0011500026
1,0.9632116
1,0.5572861
1,0.47850892
0,0.11727183
0,0.10291397
0,0.6132712
1,0.99172735
0,0.19846064
0,0.17161144
0,0.5656888
0,0.04566825
0,0.042533036
0,0.0994328
0,0.11176181
1,0.98123735
1,0.5787659
0,0.12063585
1,0.48848167
1,0.5492957
1,0.5276889
1,0.9935017
1,0.97939694
1,0.9957201
1,0.9835897
1,0.9941186
1,0.99457514
0,0.20907359
1,0.536908
0,0.5758464
0,0.458937
1,0.99272376
0,0.08556308
1,0.5707864
1,0.7468449
1,0.15837571
1,0.7064063
0,0.69827
0,0.052129555
0,0.12657653
0,0.03528353
1,0.39190415
0,0.5212999
0,0.7248685
1,0.9687045
1,0.96620154
0,0.0009695099
1,0.97851574
0,0.22718096
1,0.6622465
0,0.15667763
0,0.13823548
1,0.955635
1,0.9676876
0,0.07450937
0,0.053087108
1,0.5543765
0,0.14736448
0,0.17229694
0,0.048599444
0,0.009809484
0,0.65045446
1,0.52199703
1,0.9661252
1,0.995417
1,0.9767268
0,0.31895107
1,0.31948158
0,0.36388952
0,0.4238437
1,0.9120986
0,0.07652738
0,0.10015945
1,0.9938356
1,0.9944806
1,0.98759615
0,0.78717226
1,0.9947266
1,0.9958658
1,0.9610214
1,0.43066606
1,0.967558
1,0.9710442
1,0.9768891
1,0.53838754
1,0.9923631
0,0.044382457
0,0.05992123
1,0.9515323
1,0.40227243
0,0.18982829
1,0.14573804
0,0.45923105
1,0.3804106
1,0.6129957
0,0.13346143
1,0.9662262
0,0.00057786424
0,0.57841176
0,0.7714003
1,0.64178765
0,0.08323083
0,0.0008121089
0,0.072980985
0,0.05568961
1,0.58529913
1,0.98365873
1,0.9871023
1,0.992065
1,0.977767
0,0.0066357264
1,0.9622659
0,0.071452364
0,0.0405081
0,0.09882587
0,0.23174722
0,0.633315
1,0.5631515
1,0.15084632
1,0.9620076
1,0.071883455
0,0.08700154
1,0.9970392
1,0.97521544
1,0.94399357
1,0.99016035
0,0.054095075
1,0.8005746
0,0.4822905
0,0.5526212
1,0.48783943
1,0.10964022
0,0.1162368
0,0.10610446
1,0.9788967
1,0.9603772
0,0.0026871995
0,0.11230276
1,0.64111495
1,0.6204791
0,0.068633355
1,0.98881185
1,0.46734297
1,0.9653058
1,0.9845399
0,0.9622115
1,0.9698593
1,0.9717863
1,0.98796767
0,0.0071124895
1,0.9661213
0,0.048631027
0,0.27401432
1,0.93112814
0,0.7235563
0,0.18707147
1,0.6276447
0,0.3782918
1,0.42448542
0,0.38649008
1,0.95930356
1,0.9795944
1,0.9920127
1,0.9618205
1,0.97180474
1,0.9831753
0,0.09896861
1,0.9646766
0,0.0943373
0,0.61896396
0,0.50956565
0,0.047284298
0,0.6066614
0,0.042377803
0,0.54279006
0,0.113454476
1,0.27675912
1,0.4780144
0,0.48285505
0,0.4681057
1,0.9610721
1,0.94992864
0,0.052056067
1,0.97896636
1,0.9896423
1,0.9646547
0,0.20874977
1,0.976991
0,0.09193636
0,0.0017767805
0,0.29298353
0,0.103413954
1,0.32206327
0,0.1246375
0,0.12951276
1,0.4914968
1,0.914336
1,0.29953346
0,0.5186992
1,0.36802736
1,0.7419483
1,0.443832
0,0.15539236
1,0.99451977
1,0.996775
1,0.5045359
1,0.070671804
0,0.06376424
1,0.9581867
1,0.95047605
0,0.11556004
0,0.3801507
1,0.79670763
0,0.14775153
0,0.09460204
0,0.07214702
0,0.3979195
1,0.9770095
1,0.45799354
0,0.021592736
1,0.9751219
1,0.96211106
0,0.5707329
1,0.99777883
1,0.9976121
1,0.16123055
1,0.890067
0,0.11389783
1,0.99579155
1,0.96989554
1,0.96510094
0,0.44139788
1,0.59405804
1,0.41577846
1,0.27095443
0,0.042867295
1,0.5771734
0,0.42745498
0,0.4917081
1,0.5526213
0,0.6516702
0,0.056766085
1,0.18891825
0,0.0015083983
1,0.9640938
0,0.11814909
0,0.11772303
0,0.16815954
1,0.46625966
0,0.052889377
0,0.5595587
0,0.56721014
0,0.47772312
0,0.17508273
0,0.5176446
0,0.37850165
0,0.35922605
1,0.96378154
0,0.4070631
1,0.80700654
1,0.9744701
1,0.980992
0,0.4688244
1,0.96821386
0,0.055990335
0,0.013571817
0,0.06758456
1,0.9919137
1,0.9626815
0,0.50225353
0,0.5675426
1,0.6099749
1,0.9727647
