feature,gain
IsZeroSpend,512.9522216796875
SpendCount,54.912926864624026
CryoSleep,28.302177047729494
LuxuryShare,16.747353744506835
RoomService,16.362764739990233
Deck,15.895657730102538
TotalSpend,15.216053581237793
log1p_RoomService,13.633262443542481
LuxuryMinusBasic,13.632263565063477
log1p_TotalSpend,12.541073226928711
HomePlanet,11.84028663635254
DeckSide,10.017586135864258
SpendPerGroupMember,8.834540700912475
Side,7.628825283050537
LuxurySpend,7.0762981414794925
log1p_FoodCourt,6.534888648986817
HomePlanetDestination,6.453478050231934
CabinNumBin,6.305742359161377
SpendPerActiveCategory,5.727834749221802
FoodCourt,5.3999831199646
log1p_ShoppingMall,4.790969467163086
Destination,4.270825290679932
CabinNum,4.2291953563690186
ShoppingMall,4.1092133045196535
IsChild,4.042423057556152
BasicSpend,4.021864414215088
log1p_VRDeck,3.9483324527740478
AgeGroup,3.8045779705047607
SpendPerAge,3.6911299228668213
Spa,3.6673429012298584
Age,3.343307638168335
log1p_Spa,3.2222063064575197
VIP,3.116338109970093
VRDeck,3.0973386764526367
VRDeckMissing,3.0030548572540283
RoomServiceMissing,2.8314326763153077
GroupSize,2.754263401031494
FoodCourtMissing,2.7386247634887697
VIPMissing,2.697810649871826
ShoppingMallMissing,2.6088913917541503
HasAnyLuxurySpend,2.519557237625122
SurnameFreq,2.4888118267059327
GroupMemberIsLeader,2.4852636814117433
SpaMissing,2.459896993637085
CryoSleepMissing,2.39520902633667
GroupMemberNo,2.3940940856933595
IsSolo,2.306556487083435
MissingCount,2.230136251449585
NameMissing,1.9715892314910888
HomePlanetMissing,1.924522066116333
IsMultiPassengerGroup,1.9129502058029175
DestinationMissing,1.7139070510864258
AgeMissing,1.569675326347351
IsSenior,1.0760353565216065
CabinMissing,0.4524248123168945
AgeWasOutOfRange,0.0
CryoSleepSpendAnomaly,0.0
