feature,gain
te_Destination,1082.764208984375
te_Side,346.37278442382814
SpendPerGroupMember,206.6737060546875
log1p_TotalSpend,194.47552490234375
te_HomePlanet,118.2788330078125
te_AgeGroup,26.34961853027344
FoodCourt,20.6205322265625
log1p_FoodCourt,20.51744384765625
IsSenior,18.31403503417969
DeckSide,13.92293701171875
te_Deck,11.21020736694336
log1p_VRDeck,0.0
LuxuryShare,0.0
CabinNumBin,0.0
TotalSpend,0.0
IsZeroSpend,0.0
SpendCount,0.0
IsChild,0.0
CryoSleepSpendAnomaly,0.0
AgeGroup,0.0
LuxurySpend,0.0
BasicSpend,0.0
SpendPerActiveCategory,0.0
log1p_Spa,0.0
HasAnyLuxurySpend,0.0
IsSolo,0.0
IsMultiPassengerGroup,0.0
GroupMemberIsLeader,0.0
AgeWasOutOfRange,0.0
HomePlanetDestination,0.0
log1p_RoomService,0.0
LuxuryMinusBasic,0.0
SpendPerAge,0.0
log1p_ShoppingMall,0.0
SurnameFreq,0.0
SpaMissing,0.0
NameMissing,0.0
GroupMemberNo,0.0
te_DeckSide,0.0
te_HomePlanetDestination,0.0
te_CabinNumBin,0.0
HomePlanet,0.0
CryoSleep,0.0
Destination,0.0
Age,0.0
VIP,0.0
RoomService,0.0
ShoppingMall,0.0
Spa,0.0
VRDeck,0.0
GroupSize,0.0
VRDeckMissing,0.0
Deck,0.0
CabinNum,0.0
Side,0.0
AgeMissing,0.0
HomePlanetMissing,0.0
CryoSleepMissing,0.0
CabinMissing,0.0
DestinationMissing,0.0
VIPMissing,0.0
RoomServiceMissing,0.0
FoodCourtMissing,0.0
ShoppingMallMissing,0.0
MissingCount,0.0
