feature,gain
IsZeroSpend,506.1011596679688
SpendCount,134.88578033447266
CryoSleep,39.16974639892578
Deck,22.11540756225586
LuxuryShare,19.64535446166992
log1p_RoomService,18.21163101196289
RoomService,15.104304885864257
LuxuryMinusBasic,14.64576358795166
TotalSpend,11.552124309539796
DeckSide,11.423700332641602
SpendPerActiveCategory,11.071314287185668
HomePlanet,10.478108406066895
FoodCourt,9.497905921936034
te_HomePlanet,8.010615253448487
Side,7.818098831176758
HomePlanetDestination,7.802402400970459
SpendPerGroupMember,7.694269847869873
LuxurySpend,7.570375251770019
log1p_FoodCourt,7.4318592071533205
BasicSpend,6.517841625213623
log1p_TotalSpend,6.283363103866577
CabinNumBin,6.064749240875244
ShoppingMall,5.842992115020752
te_DeckSide,5.72644271850586
te_Side,5.672543907165528
log1p_ShoppingMall,5.395115947723388
te_Deck,5.021548080444336
te_CabinNumBin,4.910355520248413
Destination,4.6174345970153805
Spa,4.438857316970825
IsChild,4.2899974346160885
CabinNum,4.245042037963867
te_HomePlanetDestination,4.244424057006836
log1p_Spa,4.1395618438720705
AgeGroup,4.116225528717041
VRDeck,4.098948860168457
SpendPerAge,3.9211737632751467
log1p_VRDeck,3.7694114685058593
Age,3.631342363357544
VRDeckMissing,3.515170097351074
te_Destination,3.3968790054321287
te_AgeGroup,3.2710490226745605
GroupSize,3.078727102279663
VIPMissing,3.0420742511749266
ShoppingMallMissing,2.9602397203445436
RoomServiceMissing,2.8130000114440916
SurnameFreq,2.7757600784301757
MissingCount,2.7068924427032472
IsSolo,2.667110776901245
GroupMemberNo,2.639410305023193
GroupMemberIsLeader,2.6121750354766844
FoodCourtMissing,2.404969835281372
SpaMissing,2.29323263168335
VIP,2.1950886726379393
CryoSleepMissing,2.1878340244293213
IsMultiPassengerGroup,2.0695114850997927
HasAnyLuxurySpend,1.9299290657043457
HomePlanetMissing,1.8473053455352784
NameMissing,1.685708260536194
AgeMissing,1.4774271965026855
IsSenior,1.1688042640686036
DestinationMissing,1.156183910369873
CabinMissing,0.0
AgeWasOutOfRange,0.0
CryoSleepSpendAnomaly,0.0
