feature,gain
IsZeroSpend,499.71702880859374
SpendCount,144.27690582275392
CryoSleep,39.37839202880859
log1p_RoomService,20.882349014282227
LuxuryShare,18.88651065826416
Deck,18.67401180267334
RoomService,17.757075691223143
LuxuryMinusBasic,14.938182830810547
DeckSide,10.70570240020752
NameMissing,10.297454643249512
TotalSpend,9.63076572418213
HomePlanet,9.314633178710938
Side,8.277552509307862
LuxurySpend,7.917142868041992
HomePlanetDestination,7.164273643493653
SpendPerGroupMember,7.00167236328125
FoodCourt,6.68867244720459
SpendPerActiveCategory,6.601041603088379
CabinNumBin,6.1959916114807125
BasicSpend,5.49101676940918
log1p_TotalSpend,5.385239505767823
log1p_ShoppingMall,4.779413032531738
CabinNum,4.671548652648926
log1p_FoodCourt,4.662823963165283
IsChild,4.551081562042237
Destination,4.4334992408752445
ShoppingMall,4.17836742401123
SpendPerAge,4.152104902267456
AgeGroup,3.972107172012329
Age,3.808464765548706
SurnameRate,3.806906795501709
ShoppingMallMissing,3.7164548873901366
Spa,3.470702028274536
VRDeckMissing,3.4156842708587645
VRDeck,3.345391368865967
log1p_Spa,3.2446056365966798
VIPMissing,3.171583652496338
log1p_VRDeck,3.159639263153076
SurnameFreq,3.1016964435577394
GroupSize,2.875257635116577
IsSolo,2.80409574508667
FoodCourtMissing,2.7677369117736816
GroupMemberIsLeader,2.7370370864868163
IsMultiPassengerGroup,2.730459690093994
MissingCount,2.648050308227539
RoomServiceMissing,2.6263914585113524
GroupMemberNo,2.624314022064209
SpaMissing,2.5145676612854
VIP,2.5037731885910035
CryoSleepMissing,2.480994129180908
HomePlanetMissing,2.148191499710083
HasAnyLuxurySpend,1.8520049691200255
AgeMissing,1.5736806631088256
DestinationMissing,0.5234280586242676
IsSenior,0.4150698184967041
CabinMissing,0.39203758239746095
AgeWasOutOfRange,0.0
CryoSleepSpendAnomaly,0.0
