feature,gain
SpendPerActiveCategory,703.6269165039063
IsZeroSpend,696.07041015625
te_Destination,693.9390625
Side,621.965576171875
te_Side,617.5237182617187
Deck,387.98411865234374
te_AgeGroup,275.7755859375
te_DeckSide,226.43722229003907
te_HomePlanetDestination,187.2768524169922
te_CabinNumBin,126.4918312072754
LuxuryMinusBasic,79.174658203125
HomePlanetDestination,75.19229431152344
RoomService,67.92498168945312
Age,30.882818603515624
CryoSleep,9.837588500976562
DeckSide,7.07677001953125
AgeGroup,5.923095703125
BasicSpend,2.450848388671875
HasAnyLuxurySpend,0.0
te_HomePlanet,0.0
LuxuryShare,0.0
LuxurySpend,0.0
IsMultiPassengerGroup,0.0
IsSenior,0.0
IsChild,0.0
IsSolo,0.0
log1p_FoodCourt,0.0
GroupMemberIsLeader,0.0
log1p_RoomService,0.0
log1p_ShoppingMall,0.0
log1p_Spa,0.0
log1p_VRDeck,0.0
log1p_TotalSpend,0.0
SpendPerAge,0.0
SpendPerGroupMember,0.0
CryoSleepSpendAnomaly,0.0
MissingCount,0.0
SpendCount,0.0
VRDeckMissing,0.0
TotalSpend,0.0
AgeMissing,0.0
te_Deck,0.0
HomePlanet,0.0
Destination,0.0
VIP,0.0
FoodCourt,0.0
ShoppingMall,0.0
Spa,0.0
VRDeck,0.0
GroupMemberNo,0.0
GroupSize,0.0
CabinNum,0.0
HomePlanetMissing,0.0
CabinNumBin,0.0
CryoSleepMissing,0.0
CabinMissing,0.0
DestinationMissing,0.0
VIPMissing,0.0
RoomServiceMissing,0.0
FoodCourtMissing,0.0
ShoppingMallMissing,0.0
SpaMissing,0.0
NameMissing,0.0
AgeWasOutOfRange,0.0
SurnameFreq,0.0
SurnameRate,0.0
