feature,gain
IsZeroSpend,642.9460327148438
SpendCount,96.5032974243164
CryoSleep,42.78604927062988
log1p_RoomService,21.75751075744629
Deck,21.59419174194336
LuxuryShare,21.17740249633789
RoomService,17.745480728149413
LuxuryMinusBasic,16.754974555969238
HomePlanet,12.404289245605469
DeckSide,12.386966133117676
NameMissing,12.205397605895996
log1p_TotalSpend,11.74398398399353
SpendPerActiveCategory,11.301163673400879
HomePlanetDestination,8.884985160827636
log1p_FoodCourt,8.72929630279541
SpendPerGroupMember,8.373027229309082
LuxurySpend,8.152362632751466
TotalSpend,8.015770530700683
FoodCourt,7.659118175506592
BasicSpend,7.617894077301026
Side,7.296061229705811
te_HomePlanet,6.85928897857666
ShoppingMall,6.269393730163574
CabinNumBin,6.050700759887695
te_Side,6.040470695495605
te_DeckSide,5.879647064208984
log1p_ShoppingMall,5.3279040336608885
te_CabinNumBin,5.019670200347901
te_Deck,4.785578632354737
Spa,4.773566818237304
CabinNum,4.749556636810302
VRDeck,4.7326761245727536
te_HomePlanetDestination,4.595705986022949
Destination,4.565722560882568
SpendPerAge,4.47886962890625
AgeGroup,4.325366640090943
IsChild,4.199504256248474
SurnameRate,3.938149261474609
Age,3.7727439403533936
log1p_VRDeck,3.762509298324585
log1p_Spa,3.75208101272583
FoodCourtMissing,3.4048441886901855
SurnameFreq,3.3769983768463137
te_AgeGroup,3.3371184349060057
GroupSize,3.3124154567718507
ShoppingMallMissing,3.3112369537353517
VIP,3.2808807611465456
te_Destination,3.2660813331604004
VRDeckMissing,3.1708683490753176
VIPMissing,3.1253718376159667
RoomServiceMissing,3.0011971950531007
MissingCount,2.921455430984497
CryoSleepMissing,2.8676921844482424
SpaMissing,2.8339937686920167
GroupMemberNo,2.8295161724090576
AgeMissing,2.6437283515930177
HasAnyLuxurySpend,2.6284045219421386
GroupMemberIsLeader,2.5361034870147705
IsSolo,2.4801376342773436
IsMultiPassengerGroup,2.4372742414474486
HomePlanetMissing,2.3418811321258546
DestinationMissing,1.9212972164154052
IsSenior,0.7007688522338867
CabinMissing,0.3986562728881836
CryoSleepSpendAnomaly,0.0
AgeWasOutOfRange,0.0
