kind,target_rate_name,target_positive_rate,threshold,honest_oof_acc,positive_rate,changed_vs_v2_best,changed_vs_public_style,changed_vs_anchor_a7,w_a7_blend,w_groupfill,w_legacy_public,w_public,w_stepwise_balanced,w_stepwise_safe_te,w_v2
rank,anchor511,0.51134,0.4977899906454631,0.8222707925917405,0.5115735328501286,125,379,153,0.0,0.05,0.0,0.15,0.4,0.0,0.4
rank,anchor511,0.51134,0.49763797942001875,0.8222707925917405,0.5115735328501286,125,383,151,0.0,0.0,0.0,0.15,0.4,0.0,0.45
logit,anchor511,0.51134,0.037026707893444796,0.8219256873346371,0.5115735328501286,97,393,137,0.05,0.0,0.05,0.1,0.3,0.0,0.5
rank,anchor511,0.51134,0.4978367633302152,0.8219256873346371,0.5115735328501286,125,379,153,0.0,0.05,0.0,0.15,0.35,0.05,0.4
rank,anchor511,0.51134,0.49789522918615536,0.8219256873346371,0.5115735328501286,127,385,149,0.0,0.0,0.05,0.15,0.4,0.0,0.4
logit,anchor511,0.51134,0.03774732488402036,0.8218106522489359,0.5115735328501286,95,397,135,0.05,0.0,0.1,0.1,0.25,0.05,0.45
logit,anchor511,0.51134,0.036405367885620085,0.8218106522489359,0.5115735328501286,103,397,139,0.05,0.0,0.05,0.1,0.3,0.05,0.45
rank,anchor511,0.51134,0.4974041159962582,0.8218106522489359,0.5115735328501286,127,383,147,0.0,0.0,0.05,0.15,0.35,0.05,0.4
rank,anchor511,0.51134,0.497778297474275,0.8218106522489359,0.5115735328501286,143,363,165,0.0,0.0,0.0,0.2,0.3,0.1,0.4
prob,anchor511,0.51134,0.5091328076074314,0.8216956171632348,0.5115735328501286,95,397,137,0.05,0.0,0.05,0.1,0.3,0.0,0.5
prob,anchor511,0.51134,0.5084869268278837,0.8216956171632348,0.5115735328501286,99,399,137,0.05,0.0,0.05,0.1,0.3,0.05,0.45
rank,anchor511,0.51134,0.4964686623012161,0.8216956171632348,0.5115735328501286,125,385,145,0.0,0.0,0.1,0.15,0.3,0.1,0.35
rank,anchor511,0.51134,0.49756782039289055,0.8216956171632348,0.5115735328501286,125,387,147,0.05,0.0,0.0,0.15,0.4,0.0,0.4
rank,anchor511,0.51134,0.4975210477081385,0.8216956171632348,0.5115735328501286,127,381,151,0.05,0.05,0.0,0.15,0.4,0.0,0.35
rank,anchor511,0.51134,0.49825771749298414,0.8216956171632348,0.5115735328501286,127,379,153,0.0,0.05,0.0,0.15,0.3,0.1,0.4
rank,anchor511,0.51134,0.49764967259120674,0.8216956171632348,0.5115735328501286,143,359,165,0.0,0.0,0.05,0.2,0.4,0.0,0.35
rank,anchor511,0.51134,0.4979653882132834,0.8216956171632348,0.5115735328501286,145,359,165,0.05,0.0,0.0,0.2,0.35,0.05,0.35
prob,anchor511,0.51134,0.5083900923696404,0.8215805820775336,0.5115735328501286,99,399,139,0.05,0.0,0.05,0.1,0.25,0.1,0.45
prob,anchor511,0.51134,0.5076381007953644,0.8215805820775336,0.5115735328501286,107,395,149,0.0,0.0,0.0,0.1,0.4,0.0,0.5
logit,anchor511,0.51134,0.03119354233857398,0.8215805820775336,0.5115735328501286,109,393,149,0.0,0.0,0.0,0.1,0.4,0.0,0.5
rank,anchor511,0.51134,0.49681945743685685,0.8215805820775336,0.5115735328501286,125,385,145,0.0,0.0,0.1,0.15,0.35,0.05,0.35
rank,anchor511,0.51134,0.49694808231992516,0.8215805820775336,0.5115735328501286,127,383,149,0.05,0.0,0.05,0.15,0.4,0.0,0.35
rank,anchor511,0.51134,0.4963049579045837,0.8215805820775336,0.5115735328501286,133,381,155,0.05,0.0,0.0,0.15,0.4,0.05,0.35
rank,anchor511,0.51134,0.49659728718428436,0.8215805820775336,0.5115735328501286,133,377,157,0.0,0.0,0.0,0.15,0.45,0.0,0.4
rank,anchor511,0.51134,0.4972988774555659,0.8215805820775336,0.5115735328501286,143,361,165,0.0,0.0,0.05,0.2,0.35,0.05,0.35
rank,anchor511,0.51134,0.4979303086997193,0.8215805820775336,0.5115735328501286,145,357,167,0.05,0.0,0.0,0.2,0.4,0.0,0.35
logit,anchor511,0.51134,0.04062941687267872,0.8214655469918325,0.5115735328501286,95,397,135,0.05,0.0,0.1,0.1,0.3,0.0,0.45
prob,anchor511,0.51134,0.51039082062395,0.8214655469918325,0.5115735328501286,97,399,135,0.05,0.0,0.1,0.1,0.25,0.05,0.45
logit,anchor511,0.51134,0.03440312771961609,0.8214655469918325,0.5115735328501286,99,399,139,0.05,0.0,0.05,0.1,0.25,0.1,0.45
logit,anchor511,0.51134,0.0371914557279467,0.8214655469918325,0.5115735328501286,99,399,143,0.05,0.0,0.0,0.1,0.35,0.0,0.5
rank,anchor511,0.51134,0.497298877455566,0.8214655469918325,0.5115735328501286,115,387,139,0.05,0.0,0.0,0.15,0.35,0.0,0.45
rank,anchor511,0.51134,0.49740411599625817,0.8214655469918325,0.5115735328501286,117,385,139,0.05,0.0,0.05,0.15,0.35,0.0,0.4
rank,anchor511,0.51134,0.4969480823199252,0.8214655469918325,0.5115735328501286,125,385,145,0.0,0.0,0.05,0.15,0.3,0.1,0.4
rank,anchor511,0.51134,0.49760289990645457,0.8214655469918325,0.5115735328501286,125,385,149,0.0,0.0,0.0,0.15,0.35,0.05,0.45
rank,anchor511,0.51134,0.49597754911131897,0.8214655469918325,0.5115735328501286,135,379,157,0.05,0.0,0.0,0.15,0.45,0.0,0.35
rank,anchor511,0.51134,0.49802385406922356,0.8214655469918325,0.5115735328501286,143,361,163,0.05,0.0,0.05,0.2,0.4,0.0,0.3
rank,anchor511,0.51134,0.49801216089803557,0.8214655469918325,0.5115735328501286,143,361,163,0.05,0.0,0.0,0.2,0.3,0.1,0.35
rank,anchor511,0.51134,0.49711178671655754,0.8214655469918325,0.5115735328501286,149,355,167,0.05,0.05,0.0,0.2,0.35,0.05,0.3
logit,mid525,0.525,-0.029983985077207637,0.8214655469918325,0.5251344400280571,147,343,149,0.05,0.05,0.0,0.15,0.4,0.0,0.35
logit,anchor511,0.51134,0.03334744818963242,0.8213505119061314,0.5115735328501286,99,397,139,0.0,0.0,0.05,0.1,0.25,0.1,0.5
prob,anchor511,0.51134,0.5088415469227983,0.8213505119061314,0.5115735328501286,101,397,137,0.05,0.0,0.05,0.1,0.35,0.0,0.45
prob,anchor511,0.51134,0.50744503867795,0.8213505119061314,0.5115735328501286,105,397,139,0.05,0.0,0.1,0.1,0.35,0.0,0.4
prob,anchor511,0.51134,0.5060524357329617,0.8213505119061314,0.5115735328501286,107,393,141,0.0,0.05,0.1,0.1,0.3,0.05,0.4
logit,anchor511,0.51134,0.03362277128291194,0.8213505119061314,0.5115735328501286,107,395,139,0.05,0.0,0.1,0.1,0.35,0.0,0.4
prob,anchor511,0.51134,0.5077006204109363,0.8213505119061314,0.5115735328501286,107,397,147,0.05,0.0,0.0,0.1,0.3,0.1,0.45
prob,anchor511,0.51134,0.5074967942483674,0.8213505119061314,0.5115735328501286,111,393,149,0.05,0.0,0.0,0.1,0.4,0.0,0.45
logit,anchor511,0.51134,0.006742305522270037,0.8213505119061314,0.5115735328501286,119,413,145,0.0,0.05,0.1,0.05,0.45,0.0,0.35
rank,anchor511,0.51134,0.4960477081384472,0.8213505119061314,0.5115735328501286,127,385,147,0.05,0.0,0.05,0.15,0.3,0.1,0.35
rank,anchor511,0.51134,0.49822263797942,0.8213505119061314,0.5115735328501286,127,381,151,0.05,0.05,0.0,0.15,0.3,0.1,0.35
