number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_auc,user_attrs_logloss,user_attrs_mean_best_iter,state
0,0.8131830208213505,2026-04-24 01:24:07.234730,2026-04-24 01:24:12.223366,0 days 00:00:04.988636,0.5779972601681014,0.5780093202212182,0.2904180608409973,0.023688639503640783,5,10,15,2.915443189153755,0.25378155082656645,0.8394633936788146,0.9047902262815183,0.38019665969122374,417.6,COMPLETE
1,0.8131830208213505,2026-04-24 01:24:12.225920,2026-04-24 01:24:20.002866,0 days 00:00:07.776946,0.5917022549267169,0.5909124836035503,1.5212112147976886,0.010485387725194618,2,10,17,0.12561043700013563,0.05342937261279776,0.6849356442713105,0.9044975747800416,0.3809302242912349,848.2,COMPLETE
2,0.8174393189922926,2026-04-24 01:24:20.005011,2026-04-24 01:24:22.894287,0 days 00:00:02.889276,0.8925879806965068,0.728034992108518,0.9983689107917987,0.04091220574443785,0,4,6,0.11400863701127326,0.23423849847112918,0.7465447373174766,0.9049673470057547,0.380229808701832,358.0,COMPLETE
3,0.814333371678362,2026-04-24 01:24:22.896383,2026-04-24 01:24:25.537758,0 days 00:00:02.641375,0.9041986740582306,0.9828160165372797,1.5230688458668533,0.04050837781329675,3,4,2,0.002458603276328005,0.5456725485601478,0.9795542149013333,0.9029104227553018,0.3833102875650171,443.4,COMPLETE
4,0.8134130909927528,2026-04-24 01:24:25.539781,2026-04-24 01:24:30.676222,0 days 00:00:05.136441,0.831261142176991,0.6293899908000085,1.5585553804470549,0.01324458134009936,1,6,1,0.12030178871154672,0.1537592023548176,0.9637281608315128,0.9043427132502289,0.3804570011135389,824.4,COMPLETE
5,0.8131830208213505,2026-04-24 01:24:30.678519,2026-04-24 01:24:32.986931,0 days 00:00:02.308412,0.9609371175115584,0.7989499894055425,0.4424625102595975,0.09323621351781479,2,9,19,0.006080390190296602,0.0015167330688076208,0.9579309401710595,0.9030973894014473,0.3839047601558976,83.6,COMPLETE
6,0.814333371678362,2026-04-24 01:24:32.988850,2026-04-24 01:24:37.754528,0 days 00:00:04.765678,0.7713480415791243,0.6404672548436904,0.7046211248738132,0.02447244097399012,7,5,17,1.6172900811143147,0.0019870215385428634,0.7427013306774357,0.9039202120366925,0.38210530575226415,726.0,COMPLETE
7,0.8115725296215346,2026-04-24 01:24:37.756567,2026-04-24 01:24:40.409660,0 days 00:00:02.653093,0.8645035840204937,0.8534286719238086,3.8563517334297286,0.059189513354636465,0,4,1,0.0019777828512462727,0.02715581955282941,0.9261845713819337,0.9025504113848501,0.38520176590928595,650.2,COMPLETE
8,0.8137581962498562,2026-04-24 01:24:40.412042,2026-04-24 01:24:42.589433,0 days 00:00:02.177391,0.6625916610133735,0.6554911608578311,3.64803089169032,0.07296312489711157,3,7,7,0.3550012525851162,3.538758864779242,0.6254233401144095,0.9047683905676068,0.38067357176802835,320.4,COMPLETE
9,0.813643161164155,2026-04-24 01:24:42.591399,2026-04-24 01:24:48.351738,0 days 00:00:05.760339,0.7468977981821954,0.8854835899772805,2.6136641469099704,0.013170256885255107,0,8,16,0.05130551760589835,0.0012637946338082875,0.8245108790277985,0.9043105287313,0.38089401509716586,891.0,COMPLETE
10,0.814333371678362,2026-04-24 01:24:48.354133,2026-04-24 01:24:51.108263,0 days 00:00:02.754130,0.9002381059711241,0.6657749905614284,0.34006753557966896,0.05595048026466628,1,4,3,3.7117166968097646,0.03880040916855653,0.755794584490384,0.904339193068471,0.3812895850736671,341.8,COMPLETE
11,0.8142183365926607,2026-04-24 01:24:51.110580,2026-04-24 01:24:53.649152,0 days 00:00:02.538572,0.8732170073245593,0.8764856599082996,0.3501357015321491,0.06179840310961765,3,4,7,0.007801494776831739,7.614599855368676,0.9955453518342294,0.9035592743026202,0.3828984481958998,284.6,COMPLETE
12,0.8166340733923847,2026-04-24 01:24:53.651468,2026-04-24 01:24:57.188877,0 days 00:00:03.537409,0.6547624169699514,0.9965034579514433,1.5847233112570527,0.02714413943498471,4,4,1,0.045072387316182606,0.7767128870534549,0.905955467675889,0.9045322472469797,0.38007405648528403,600.0,COMPLETE
13,0.815253652363971,2026-04-24 01:24:57.190890,2026-04-24 01:25:01.539591,0 days 00:00:04.348701,0.7097874900627419,0.9022095997702698,0.9842286216083797,0.01991234083535833,3,6,1,0.48317626471660763,0.8588533504924112,0.8507877687008545,0.9058253979261102,0.3778162669900014,450.0,COMPLETE
14,0.815253652363971,2026-04-24 01:25:01.541551,2026-04-24 01:25:09.575356,0 days 00:00:08.033805,0.5729444370699639,0.8462989002945069,0.3946379118613619,0.011561776932939855,7,4,2,0.03457838689352729,0.5273351142177455,0.8928567547285615,0.9050026282259289,0.37936741303005705,1418.6,COMPLETE
15,0.8170942137351892,2026-04-24 01:25:09.578550,2026-04-24 01:25:13.942338,0 days 00:00:04.363788,0.8931365118390365,0.8202876656076701,0.5975886392411586,0.021820412232223228,0,5,8,0.038062475841010725,0.04057280739203693,0.7801885209455163,0.9048259574497367,0.3803079538350467,541.8,COMPLETE
16,0.816058897963879,2026-04-24 01:25:13.944575,2026-04-24 01:25:17.872867,0 days 00:00:03.928292,0.8714172882433477,0.7488898841049031,0.6745398511910424,0.024755253199242756,0,4,12,0.003043600854554079,0.024319235167945277,0.8102710726586069,0.9035114474722712,0.3826612574480342,600.8,COMPLETE
17,0.8158288277924767,2026-04-24 01:25:17.875346,2026-04-24 01:25:21.396540,0 days 00:00:03.521194,0.9211219172054391,0.7048808345853974,1.918788532708906,0.032518899140500906,0,4,4,0.08944145259254792,0.4908406464052077,0.6815471965742196,0.9048608151893989,0.38033418776839834,440.4,COMPLETE
18,0.8155987576210745,2026-04-24 01:25:21.398833,2026-04-24 01:25:25.200032,0 days 00:00:03.801199,0.9460560281407532,0.8507782535563807,0.25487237717554667,0.02224670103304167,0,6,2,0.15052456254205912,0.11974364289210113,0.8410702542226511,0.9050311866929719,0.3796193706806541,314.8,COMPLETE
19,0.814448406764063,2026-04-24 01:25:25.202019,2026-04-24 01:25:29.363951,0 days 00:00:04.161932,0.6614097715726379,0.743522000268971,0.5858121145788845,0.03314124607177958,1,3,9,0.22484652824355258,0.0075389934396414265,0.6711672840717998,0.9031201250114472,0.38416329605084126,780.2,COMPLETE
20,0.8121477050500403,2026-04-24 01:25:29.367358,2026-04-24 01:25:31.311591,0 days 00:00:01.944233,0.889303036046982,0.7289268862608695,0.9551632934881192,0.09636186353673712,0,6,7,0.008794726346539144,0.038484802005175046,0.7153194172711249,0.9040811610988684,0.38156451232745076,77.2,COMPLETE
21,0.8137581962498562,2026-04-24 01:25:31.313567,2026-04-24 01:25:36.194384,0 days 00:00:04.880817,0.5442329132934108,0.9645491180607223,1.507699356041948,0.029679490385064875,5,4,9,0.0047076097265473914,1.7661009534361163,0.9463061933854492,0.9041731887076805,0.3814208370149675,731.4,COMPLETE
