PassengerId,y_proba
0001_01,0.43406373
0002_01,0.12751368
0003_01,0.0071309344
0003_02,0.014716627
0004_01,0.07615041
0005_01,0.10130696
0006_01,0.75381374
0006_02,0.5523104
0007_01,0.49356565
0008_01,0.9842097
0008_02,0.96458566
0008_03,0.9767822
0009_01,0.3172421
0010_01,0.18690607
0011_01,0.46288967
0012_01,0.6648413
0014_01,0.18495221
0015_01,0.07627812
0016_01,0.9825749
0017_01,0.6075877
0017_02,0.10296242
0020_01,0.7204119
0020_02,0.8358079
0020_03,0.8285711
0020_04,0.5983261
0020_05,0.82195765
0020_06,0.60358083
0022_01,0.1047047
0024_01,0.9932633
0025_01,0.15401712
0026_01,0.7163832
0028_01,0.14541386
0030_01,0.15172023
0031_01,0.04719589
0031_02,0.94387525
0031_03,0.10323803
0034_01,0.98797977
0035_01,0.2321144
0036_01,0.24580969
0038_01,0.023723604
0039_01,0.75234145
0041_01,0.626017
0043_01,0.013022163
0044_01,0.46424964
0044_02,0.6204996
0044_03,0.547708
0045_01,0.083239794
0045_02,0.97752446
0050_01,0.10670673
0051_01,0.10589731
0052_01,0.0037472
0053_01,0.8946211
0056_01,0.8762857
0056_02,0.95746464
0056_03,0.8049129
0058_01,0.6139468
0061_01,0.14343342
0062_01,0.4797674
0064_01,0.9768291
0064_02,0.6831066
0066_01,0.14671971
0067_01,0.77878696
0067_02,0.6306641
0067_03,0.12661515
0068_01,0.05809366
0069_01,0.10539476
0070_01,0.10341489
0071_01,0.8668286
0072_01,0.10440127
0073_01,0.49132422
0074_01,0.9924189
0076_01,0.5087974
0077_01,0.87706167
0078_01,0.036178432
0081_01,0.70075506
0082_01,0.03419774
0082_02,0.9835173
0082_03,0.9279279
0084_01,0.083198346
0085_01,0.99375343
0086_01,0.11304925
0088_01,0.71334815
0090_01,0.5264732
0091_01,0.46992147
0091_02,0.49532494
0092_01,0.5171754
0092_02,0.80031663
0092_03,0.7210472
0097_01,0.44547266
0098_01,0.4280574
0098_02,0.9503535
0099_01,0.45848075
0099_02,0.37487698
0101_01,0.830159
0102_01,0.13104258
0103_01,0.21620682
0103_02,0.7049475
0103_03,0.61901534
0105_01,0.21252523
0107_01,0.0767629
0108_01,0.60343355
0108_02,0.19852798
0108_03,0.69930553
0110_01,0.0065514594
0110_02,0.062291276
0110_03,0.33056515
0110_04,0.9482109
0111_01,0.8927461
0112_01,0.98562366
0113_01,0.60214233
0114_01,0.30434296
0115_01,0.75033087
0116_01,0.6829954
0119_01,0.006006461
0119_02,0.9572219
0120_01,0.9665974
0122_01,0.06681286
0123_01,0.58848697
0126_01,0.9810366
0127_01,0.07467418
0128_01,0.074415565
0128_02,0.07014477
0129_01,0.5863384
0133_01,0.96912694
0133_02,0.03518692
0134_01,0.6351812
0136_01,0.3615701
0138_01,0.70887125
0138_02,0.13781308
0139_01,0.99360394
0140_01,0.46954367
0140_02,0.063071474
0141_01,0.29008776
0144_01,0.61838466
0146_01,0.3774535
0147_01,0.45741493
0148_01,0.09790449
0149_01,0.5818943
0151_01,0.6859524
0152_01,0.13396369
0160_01,0.037683148
0163_01,0.9462685
0163_02,0.96391755
0164_01,0.46838892
0164_02,0.6206434
0165_01,0.96324354
0167_01,0.9751877
0167_02,0.08445703
0169_01,0.5627746
0170_01,0.100789
0171_01,0.5572574
0172_01,0.43043995
0173_01,0.60322386
0174_01,0.15299813
0177_01,0.0077760997
0178_01,0.016728407
0179_01,0.5567981
0179_02,0.6525247
0179_03,0.5252884
0181_01,0.09485321
0182_01,0.97235847
0183_01,0.19118686
0186_01,0.054760035
0188_01,0.45568198
0189_01,0.35974684
0190_01,0.7229418
0192_01,0.634573
0192_02,0.39123055
0192_03,0.07838133
0193_01,0.9776819
0193_02,0.053290997
0193_03,0.9568066
0195_01,0.2021136
0196_01,0.13133897
0197_01,0.2332081
0198_01,0.39629093
0199_01,0.56244564
0200_01,0.5841561
0201_01,0.990869
0201_02,0.9921682
0202_01,0.9875465
0202_02,0.18773301
0203_01,0.993471
0205_01,0.09313611
0206_01,0.8443492
0207_01,0.59122354
0210_01,0.94078845
0211_01,0.0774673
0211_02,0.9798335
0211_03,0.05265787
0212_01,0.081071265
0212_02,0.06930265
