PassengerId,y_proba
0001_01,0.4310809
0002_01,0.13095069
0003_01,0.0070960848
0003_02,0.014071735
0004_01,0.07888966
0005_01,0.10160752
0006_01,0.7539245
0006_02,0.5468454
0007_01,0.4807994
0008_01,0.9844965
0008_02,0.9633803
0008_03,0.97774315
0009_01,0.32493076
0010_01,0.17179497
0011_01,0.4579949
0012_01,0.65139604
0014_01,0.1614279
0015_01,0.082271196
0016_01,0.981157
0017_01,0.60902154
0017_02,0.09973007
0020_01,0.7287885
0020_02,0.84740424
0020_03,0.8450142
0020_04,0.59813416
0020_05,0.8452889
0020_06,0.6116373
0022_01,0.10289144
0024_01,0.99377185
0025_01,0.14476861
0026_01,0.7015454
0028_01,0.14465897
0030_01,0.16445877
0031_01,0.052773163
0031_02,0.9417773
0031_03,0.10093896
0034_01,0.9862566
0035_01,0.25446722
0036_01,0.23551773
0038_01,0.025961244
0039_01,0.7483885
0041_01,0.61834615
0043_01,0.012898921
0044_01,0.45612088
0044_02,0.6277609
0044_03,0.57269245
0045_01,0.0799601
0045_02,0.9752349
0050_01,0.122180626
0051_01,0.10812434
0052_01,0.0031759006
0053_01,0.9018237
0056_01,0.86673474
0056_02,0.95453626
0056_03,0.804501
0058_01,0.6159695
0061_01,0.15759364
0062_01,0.49367604
0064_01,0.9761109
0064_02,0.68167305
0066_01,0.150984
0067_01,0.7895887
0067_02,0.6481154
0067_03,0.12810738
0068_01,0.061786864
0069_01,0.10319791
0070_01,0.10016767
0071_01,0.8789968
0072_01,0.10461766
0073_01,0.5154473
0074_01,0.9925158
0076_01,0.5271444
0077_01,0.87109727
0078_01,0.044822883
0081_01,0.6936474
0082_01,0.036238573
0082_02,0.9808651
0082_03,0.92497915
0084_01,0.08785107
0085_01,0.9934295
0086_01,0.122795306
0088_01,0.71543217
0090_01,0.5257404
0091_01,0.47480032
0091_02,0.48541066
0092_01,0.52447706
0092_02,0.8176508
0092_03,0.72561336
0097_01,0.438199
0098_01,0.42605916
0098_02,0.9560327
0099_01,0.45514598
0099_02,0.38594103
0101_01,0.8383976
0102_01,0.13237068
0103_01,0.23028985
0103_02,0.70245147
0103_03,0.6296873
0105_01,0.20064059
0107_01,0.08073533
0108_01,0.60410464
0108_02,0.19232321
0108_03,0.6846697
0110_01,0.0063426304
0110_02,0.065797456
0110_03,0.3063863
0110_04,0.94687164
0111_01,0.8971164
0112_01,0.98663014
0113_01,0.59964365
0114_01,0.31491712
0115_01,0.76626706
0116_01,0.66307616
0119_01,0.0060807485
0119_02,0.95746434
0120_01,0.96711975
0122_01,0.06924798
0123_01,0.56918013
0126_01,0.9804983
0127_01,0.077829204
0128_01,0.07685239
0128_02,0.07454207
0129_01,0.5997759
0133_01,0.9678838
0133_02,0.03277685
0134_01,0.629721
0136_01,0.35981074
0138_01,0.7066396
0138_02,0.13903522
0139_01,0.9942144
0140_01,0.46418253
0140_02,0.064840995
0141_01,0.28856018
0144_01,0.60954165
0146_01,0.39358482
0147_01,0.4489434
0148_01,0.096390456
0149_01,0.56945735
0151_01,0.6758803
0152_01,0.13672204
0160_01,0.03172105
0163_01,0.94730717
0163_02,0.96128047
0164_01,0.47678623
0164_02,0.62257594
0165_01,0.96480566
0167_01,0.9731563
0167_02,0.079293326
0169_01,0.56166416
0170_01,0.107986696
0171_01,0.56333834
0172_01,0.42394587
0173_01,0.5797055
0174_01,0.16560635
0177_01,0.008303862
0178_01,0.014680087
0179_01,0.5502477
0179_02,0.63661546
0179_03,0.51540583
0181_01,0.08679683
0182_01,0.9705694
0183_01,0.18552905
0186_01,0.05560794
0188_01,0.4589246
0189_01,0.3598421
0190_01,0.72613996
0192_01,0.6264266
0192_02,0.37752905
0192_03,0.076457344
0193_01,0.97747713
0193_02,0.051271487
0193_03,0.95588684
0195_01,0.19485286
0196_01,0.12259088
0197_01,0.24540186
0198_01,0.40276968
0199_01,0.56306356
0200_01,0.57565665
0201_01,0.9905669
0201_02,0.99222976
0202_01,0.98659736
0202_02,0.19648446
0203_01,0.99346906
0205_01,0.09030158
0206_01,0.8519819
0207_01,0.58244765
0210_01,0.93483275
0211_01,0.0745997
0211_02,0.9766114
0211_03,0.05758434
0212_01,0.07694105
0212_02,0.06677638
0213_01,0.14950642
0216_01,0.042814832
0217_01,0.07175228
0219_01,0.55488014
0220_01,0.3343584
0220_02,0.3889993
0220_03,0.596976
0220_04,0.41946995
0220_05,0.09538482
0220_06,0.6146329
0220_07,0.6001692
0221_01,0.17869982
0221_02,0.14071564
0221_03,0.05208573
0221_04,0.4960326
0221_05,0.036316615
0221_06,0.04742633
0221_07,0.5627878
0222_01,0.13489208
0222_02,0.97820884
0222_03,0.6130249
0223_01,0.5842753
0224_01,0.043559626
0225_01,0.48711455
0229_01,0.12171412
0231_01,0.027902123
0232_01,0.5574831
0233_01,0.04690935
0234_01,0.4761353
0237_01,0.9576171
0239_01,0.15516303
0240_01,0.96243805
0241_01,0.008613201
0242_01,0.42098698
0243_01,0.49612933
0244_01,0.791897
0244_02,0.97808784
0245_01,0.9843253
0245_02,0.004457958
0246_01,0.08267781
0248_01,0.021346489
0250_01,0.39233857
0251_01,0.97675145
0252_01,0.31229034
0253_01,0.4358722
0254_01,0.23225352
0255_01,0.89920974
0257_01,0.11602211
0257_02,0.9773619
0258_01,0.1777504
0260_01,0.14456649
0261_01,0.14557521
0263_01,0.46053168
0265_01,0.97319484
0267_01,0.14654328
0269_01,0.7503306
0270_01,0.10592369
0275_01,0.98514885
0277_01,0.9031985
0278_01,0.06223636
0278_02,0.12881397
0281_01,0.9310003
0282_01,0.7450005
0283_01,0.56014633
0283_02,0.403906
0285_01,0.9136875
0285_02,0.9629135
0286_01,0.5164636
0287_01,0.9744004
0287_02,0.09798964
0288_01,0.21096696
0289_01,0.99469376
0290_01,0.8823424
0290_02,0.9923489
0290_03,0.9924134
0290_04,0.98510706
0291_01,0.91234946
0294_01,0.9922603
0297_01,0.5636234
0298_01,0.9787245
0301_01,0.7990423
0302_01,0.08543442
0303_01,0.6792124
0304_01,0.005928481
0305_01,0.026841003
0306_01,0.2385792
0307_01,0.87677056
0309_01,0.2421657
0310_01,0.006001706
0313_01,0.3255742
0313_02,0.66447026
0313_03,0.12142376
0313_04,0.75643176
0314_01,0.07239671
0315_01,0.65701485
0316_01,0.9880683
0316_02,0.98991114
0320_01,0.2986429
0320_02,0.2985707
0321_01,0.20807579
0322_01,0.6981594
0324_01,0.6862864
0326_01,0.5027214
0327_01,0.5226836
0330_01,0.9798552
0330_02,0.9892642
0330_03,0.69379324
0331_01,0.10217813
0333_01,0.97535545
0334_01,0.012835545
0336_01,0.13886112
0337_01,0.9831578
0337_02,0.05839379
0337_03,0.96882266
0338_01,0.55375123
0340_01,0.9945058
0341_01,0.52946776
0343_01,0.097372696
0345_01,0.6470536
0346_01,0.8137651
0347_01,0.35770074
0348_01,0.9416524
0348_02,0.47953326
0350_01,0.6457366
0352_01,0.44037595
0355_01,0.6954418
0356_01,0.98443395
0357_01,0.28337008
0358_01,0.48017377
0358_02,0.5826295
0359_01,0.36134565
0360_01,0.17039196
0361_01,0.12660167
0365_01,0.12556884
0368_01,0.25369346
0368_02,0.9773147
0369_01,0.21782814
0370_01,0.09642791
0371_01,0.96990204
0372_01,0.019280734
0373_01,0.5048149
0375_01,0.3938022
0376_01,0.4668587
0377_01,0.02212493
0378_01,0.0064552343
0378_02,0.9929735
0378_03,0.011632937
0378_04,0.99100626
0378_05,0.9920507
0378_06,0.3092843
0378_07,0.99135727
0379_01,0.15110894
0380_01,0.96800786
0381_01,0.98418754
0381_02,0.98729736
0382_01,0.11206579
0383_01,0.010833163
0383_02,0.58342475
0384_01,0.7053419
0384_02,0.528894
0385_01,0.21721445
0387_01,0.45231092
0388_01,0.66942996
0389_01,0.16426586
0391_01,0.8929835
0392_01,0.10564912
0395_01,0.006674257
0395_02,0.018208317
0396_01,0.4773328
0397_01,0.9703725
0398_01,0.0072394363
0401_01,0.07120061
0401_02,0.037419297
0402_01,0.91861725
0403_01,0.24670063
0405_01,0.14471604
0407_01,0.023465488
0407_02,0.2307323
0407_03,0.5187871
0408_01,0.085519955
0409_01,0.69631124
0410_01,0.2062238
0411_01,0.09152407
0412_01,0.9286762
0413_01,0.11438034
0415_01,0.61825293
0417_01,0.9793535
