PassengerId,y_proba
0001_01,0.40565816
0002_01,0.116608284
0003_01,0.0025486061
0003_02,0.00734446
0004_01,0.09368114
0005_01,0.10164006
0006_01,0.74080473
0006_02,0.5590851
0007_01,0.43971825
0008_01,0.99096894
0008_02,0.9670359
0008_03,0.99051493
0009_01,0.27152675
0010_01,0.20550291
0011_01,0.52179104
0012_01,0.6241564
0014_01,0.13889442
0015_01,0.06291123
0016_01,0.9769283
0017_01,0.6023637
0017_02,0.064265564
0020_01,0.71140647
0020_02,0.794341
0020_03,0.81166923
0020_04,0.51010436
0020_05,0.80273163
0020_06,0.5405539
0022_01,0.12080565
0024_01,0.9941221
0025_01,0.1736237
0026_01,0.42912695
0028_01,0.15577063
0030_01,0.17508265
0031_01,0.038563382
0031_02,0.9697897
0031_03,0.18066423
0034_01,0.99067837
0035_01,0.15646592
0036_01,0.18111807
0038_01,0.029042697
0039_01,0.7005474
0041_01,0.669275
0043_01,0.007921242
0044_01,0.5265797
0044_02,0.6158019
0044_03,0.606724
0045_01,0.0908264
0045_02,0.9859046
0050_01,0.11584462
0051_01,0.09642324
0052_01,0.002792329
0053_01,0.9074987
0056_01,0.7353928
0056_02,0.9106076
0056_03,0.7624646
0058_01,0.6455581
0061_01,0.07839546
0062_01,0.37929896
0064_01,0.9810053
0064_02,0.6937414
0066_01,0.15129495
0067_01,0.7598868
0067_02,0.6221037
0067_03,0.14158659
0068_01,0.06504727
0069_01,0.09125529
0070_01,0.1312163
0071_01,0.90617007
0072_01,0.14347081
0073_01,0.58015853
0074_01,0.996513
0076_01,0.5360978
0077_01,0.75722796
0078_01,0.03017721
0081_01,0.60759145
0082_01,0.030132705
0082_02,0.98086524
0082_03,0.9340152
0084_01,0.085912734
0085_01,0.996091
0086_01,0.15643874
0088_01,0.7629989
0090_01,0.54776585
0091_01,0.49786976
0091_02,0.6255028
0092_01,0.46617022
0092_02,0.7365829
0092_03,0.6402552
0097_01,0.4633632
0098_01,0.416196
0098_02,0.9538468
0099_01,0.3868055
0099_02,0.581117
0101_01,0.7981648
0102_01,0.09271917
0103_01,0.30381033
0103_02,0.5829767
0103_03,0.50323623
0105_01,0.20500328
0107_01,0.10231109
0108_01,0.55775833
0108_02,0.11930966
0108_03,0.64726645
0110_01,0.005049117
0110_02,0.06544953
0110_03,0.21489444
0110_04,0.9643951
0111_01,0.9280244
0112_01,0.9891161
0113_01,0.545687
0114_01,0.4692367
0115_01,0.8798169
0116_01,0.38705575
0119_01,0.003748803
0119_02,0.9456824
0120_01,0.966704
0122_01,0.052219074
0123_01,0.5292474
0126_01,0.97975916
0127_01,0.08515682
0128_01,0.0755773
0128_02,0.07165416
0129_01,0.5243409
0133_01,0.9789904
0133_02,0.020062974
0134_01,0.63898987
0136_01,0.418417
0138_01,0.6908248
0138_02,0.13431497
0139_01,0.9969948
0140_01,0.45267484
0140_02,0.0753936
0141_01,0.30581325
0144_01,0.685403
0146_01,0.4415038
0147_01,0.49413958
0148_01,0.11337387
0149_01,0.6133782
0151_01,0.64355916
0152_01,0.084869295
0160_01,0.02559113
0163_01,0.9588944
0163_02,0.97729856
0164_01,0.36480343
0164_02,0.6499044
0165_01,0.9677761
0167_01,0.97476494
0167_02,0.08051198
0169_01,0.5437244
0170_01,0.11046894
0171_01,0.512806
0172_01,0.42821056
0173_01,0.65904415
0174_01,0.10230633
0177_01,0.007140222
0178_01,0.017096933
0179_01,0.49505222
0179_02,0.6859213
0179_03,0.5884419
0181_01,0.09757267
0182_01,0.96439034
0183_01,0.19386686
0186_01,0.08680633
0188_01,0.43011516
0189_01,0.44217253
0190_01,0.70637053
0192_01,0.7117394
0192_02,0.40737042
0192_03,0.047834206
0193_01,0.9887983
