PassengerId,y_proba
0001_01,0.41580024
0002_01,0.122349896
0003_01,0.0068617137
0003_02,0.01328698
0004_01,0.073636316
0005_01,0.09854171
0006_01,0.7567479
0006_02,0.5480937
0007_01,0.4840436
0008_01,0.9840498
0008_02,0.9645899
0008_03,0.977492
0009_01,0.31955287
0010_01,0.1959584
0011_01,0.440319
0012_01,0.665012
0014_01,0.1807059
0015_01,0.07336675
0016_01,0.9834862
0017_01,0.6119742
0017_02,0.10076964
0020_01,0.7189332
0020_02,0.83560145
0020_03,0.83276683
0020_04,0.60200393
0020_05,0.8340842
0020_06,0.5980854
0022_01,0.10556606
0024_01,0.9935768
0025_01,0.14650466
0026_01,0.69888914
0028_01,0.15243027
0030_01,0.1429548
0031_01,0.049369324
0031_02,0.94114846
0031_03,0.09540169
0034_01,0.98786813
0035_01,0.26068133
0036_01,0.26286146
0038_01,0.023373162
0039_01,0.75208795
0041_01,0.6339756
0043_01,0.01204233
0044_01,0.47190887
0044_02,0.6122421
0044_03,0.54708874
0045_01,0.083348654
0045_02,0.97607076
0050_01,0.106515646
0051_01,0.097708166
0052_01,0.0035576946
0053_01,0.88722116
0056_01,0.87859404
0056_02,0.95757306
0056_03,0.8216945
0058_01,0.6045483
0061_01,0.15076342
0062_01,0.4766802
0064_01,0.97480124
0064_02,0.68290466
0066_01,0.13588148
0067_01,0.77303076
0067_02,0.6132932
0067_03,0.12425109
0068_01,0.062066417
0069_01,0.107874155
0070_01,0.096768714
0071_01,0.88009167
0072_01,0.086761884
0073_01,0.50960004
0074_01,0.9920061
0076_01,0.48773164
0077_01,0.8792226
0078_01,0.037969086
0081_01,0.69740784
0082_01,0.03470297
0082_02,0.98342645
0082_03,0.9302918
0084_01,0.083180904
0085_01,0.993235
0086_01,0.11048639
0088_01,0.7118598
0090_01,0.5293268
0091_01,0.47933635
0091_02,0.49083585
0092_01,0.5300418
0092_02,0.81396884
0092_03,0.73855627
0097_01,0.4380849
0098_01,0.43290773
0098_02,0.95696527
0099_01,0.4327891
0099_02,0.35986865
0101_01,0.83126956
0102_01,0.12956472
0103_01,0.21080449
0103_02,0.7129757
